"TE_Family","Effector_Domain","Count"
"DNA/Crypton","RXLR",1
"DNA/Ginger-1","Peptidase_M14",1
"DNA/Ginger-1","RVT_2",1
"DNA/MULE-MuDR","Crinkler",1
"DNA/MULE-MuDR","NPP",1
"DNA/MULE-MuDR","RXLR",1
"DNA/Maverick","Crinkler",28
"DNA/Maverick","Pectate_lyase",1
"DNA/PIF-HarbS","Crinkler",1
"DNA/PIF-Harbinger","NPP",1
"DNA/PIF-Harbinger","SBP_bac_1",1
"DNA/PiggyBac","Crinkler",3
"DNA/PiggyBac","DDE_Tnp_1_7",3
"DNA/PiggyBac","Pectate_lyase",1
"DNA/TcMar-Ant1","NPP",1
"DNA/TcMar-Mariner","NPP",3
"DNA/TcMar-Mariner","RXLR",1
"DNA/TcMar-Pogo","NPP",3
"DNA/TcMar-Pogo","RXLR",2
"DNA/TcMar-Stowaway","RXLR",2
"DNA/TcMar-Tc2","Crinkler",1
"DNA/TcMar-Tigger","RXLR",1
"DNA/hAT-Ac","Crinkler",1
"DNA/hAT-Tag1","Dimer_Tnp_hAT",1
"LINE/I-Jockey","Glyco_hydro_12",1
"LINE/L1","NPP",1
"LINE/L1","RXLR",1
"LINE/L1","SBP_bac_6",1
"LINE/L2","RhgB_N",1
"LINE/R1","Pectate_lyase",1
"LTR","RVT_2",4
"LTR","RXLR",1
"LTR/Copia","Crinkler",7
"LTR/Copia","Glyco_hydro_30",2
"LTR/Copia","Pkinase",1
"LTR/Copia","RVT_2",9
"LTR/Copia","RXLR",3
"LTR/Copia","SBP_bac_6",1
"LTR/DIRS","Crinkler",1
"LTR/DIRS","NPP",2
"LTR/DIRS","RXLR",1
"LTR/ERV1","NPP",2
"LTR/ERVK","RVT_2",1
"LTR/Gypsy","Abhydrolase_1",1
"LTR/Gypsy","Crinkler",4
"LTR/Gypsy","FAR1",1
"LTR/Gypsy","Glyco_hydro_81",1
"LTR/Gypsy","Integrase_H2C2",3
"LTR/Gypsy","Kazal_2",1
"LTR/Gypsy","NPP",1
"LTR/Gypsy","RXLR",1
"LTR/Ngaro","DPBB_1",1
"LTR/Pao","DUF7492",1
"LTR/Pao","PAN_4",1
"LTR/Pao","RXLR",1
"PLE/Chlamys","Crinkler",1
"RC/Helitron","NPP",1
"RC/Helitron","RXLR",1
"SINE/Alu","Crinkler",1
"Unknown","Crinkler",1
"Unknown","RXLR",1
