,HiC_scaffold_1,HiC_scaffold_2,HiC_scaffold_3,HiC_scaffold_4,HiC_scaffold_5,HiC_scaffold_6,HiC_scaffold_7,HiC_scaffold_8,HiC_scaffold_9,HiC_scaffold_10,HiC_scaffold_11,HiC_scaffold_12,HiC_scaffold_13,HiC_scaffold_14,HiC_scaffold_15,HiC_scaffold_16,HiC_scaffold_17
HiC_scaffold_1,,0.6948,0.6152,0.7052,0.5289,0.8774,0.6907,0.8019,0.7956,0.6207,0.5739,0.6348,0.5343,0.5449,0.6062,0.8664,0.5632
HiC_scaffold_2,0.6948,,0.7404,0.7920,0.6064,0.8625,0.8258,0.8700,0.8930,0.6818,0.6792,0.7164,0.6609,0.6228,0.6776,0.9988,0.6605
HiC_scaffold_3,0.6152,0.7404,,0.8037,0.6011,0.9536,0.8180,0.8938,1.0055,0.7177,0.7041,0.7870,0.6536,0.6558,0.7895,1.0038,0.7034
HiC_scaffold_4,0.7052,0.7920,0.8037,,0.6965,1.0098,0.8844,0.9637,1.0017,0.8026,0.8179,0.9108,0.7558,0.7410,0.7831,1.0792,0.7665
HiC_scaffold_5,0.5289,0.6064,0.6011,0.6965,,0.7962,0.6993,0.7482,0.7783,0.5707,0.6021,0.6009,0.5533,0.5158,0.5965,0.8611,0.5665
HiC_scaffold_6,0.8774,0.8625,0.9536,1.0098,0.7962,,1.0221,1.0991,1.1508,0.9912,0.9179,0.9446,0.9305,0.7928,0.9094,1.2794,0.8446
HiC_scaffold_7,0.6907,0.8258,0.8180,0.8844,0.6993,1.0221,,0.9822,1.0687,0.8165,0.8421,0.8803,0.7649,0.7863,0.8039,1.1133,0.7973
HiC_scaffold_8,0.8019,0.8700,0.8938,0.9637,0.7482,1.0991,0.9822,,1.1578,0.9038,0.8585,0.9034,0.8226,0.8423,0.9303,1.1782,0.8456
HiC_scaffold_9,0.7956,0.8930,1.0055,1.0017,0.7783,1.1508,1.0687,1.1578,,0.9550,0.9209,0.9983,0.9375,0.8440,1.0039,1.2704,0.9413
HiC_scaffold_10,0.6207,0.6818,0.7177,0.8026,0.5707,0.9912,0.8165,0.9038,0.9550,,0.6974,0.6950,0.6801,0.6906,0.7401,0.9652,0.7111
HiC_scaffold_11,0.5739,0.6792,0.7041,0.8179,0.6021,0.9179,0.8421,0.8585,0.9209,0.6974,,0.7687,0.6777,0.6673,0.7550,0.9490,0.6804
HiC_scaffold_12,0.6348,0.7164,0.7870,0.9108,0.6009,0.9446,0.8803,0.9034,0.9983,0.6950,0.7687,,0.6514,0.6813,0.7317,1.0150,0.7095
HiC_scaffold_13,0.5343,0.6609,0.6536,0.7558,0.5533,0.9305,0.7649,0.8226,0.9375,0.6801,0.6777,0.6514,,0.6436,0.6499,0.9179,0.6499
HiC_scaffold_14,0.5449,0.6228,0.6558,0.7410,0.5158,0.7928,0.7863,0.8423,0.8440,0.6906,0.6673,0.6813,0.6436,,0.7260,0.8513,0.6532
HiC_scaffold_15,0.6062,0.6776,0.7895,0.7831,0.5965,0.9094,0.8039,0.9303,1.0039,0.7401,0.7550,0.7317,0.6499,0.7260,,0.9449,0.7095
HiC_scaffold_16,0.8664,0.9988,1.0038,1.0792,0.8611,1.2794,1.1133,1.1782,1.2704,0.9652,0.9490,1.0150,0.9179,0.8513,0.9449,,1.0369
HiC_scaffold_17,0.5632,0.6605,0.7034,0.7665,0.5665,0.8446,0.7973,0.8456,0.9413,0.7111,0.6804,0.7095,0.6499,0.6532,0.7095,1.0369,
