,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g27361,279.456640277218,5.20307687811499,0.322365677984715,16.1402941859142,1.32906337984276e-58,2.28745098304737e-54
g2029,1441.26967883651,5.77333662462482,0.36764490485124,15.7035676231142,1.4297047943550698e-55,1.23033246078225e-51
g21161,3038.9227453054,4.54541626495178,0.295947582918949,15.358855849134,3.08979477663435e-53,1.77261526335513e-49
g21410,605.235388648859,7.74633793918267,0.515393612485482,15.0299455630154,4.67389698408497e-51,2.0110610248271602e-47
g19000,8840.17829560518,5.14360992120053,0.372778692695332,13.7980255363049,2.6192880367755298e-43,9.016113280188739e-40
g22743,2135.32891783835,2.94335409878358,0.216055921070135,13.6231124062928,2.9185923365647494e-42,8.371982117435991e-39
g25073,1653.45402719768,-5.41386628446066,0.401172284783933,-13.4951154150056,1.67093290886823e-41,4.10834661350445e-38
g27968,674.279627261072,-5.59083450601429,0.417378251528601,-13.3951265681393,6.45658794163797e-41,1.38905418829414e-37
g18001,1646.60534839529,-5.430701945992,0.405958875669806,-13.3774681906676,8.18895338591334e-41,1.56600085249949e-37
g18000,1322.86394794918,-5.70078453426688,0.446797703724487,-12.7592073252512,2.77005488411935e-37,4.76754146105782e-34
g9080,1623.04850251604,4.03345322797438,0.324149612065886,12.4431838812584,1.52309413933392e-35,2.38308847564328e-32
g28080,1140.74802942429,3.17524338681485,0.260481973236518,12.1898776616366,3.51949336391619e-34,5.0478333571967906e-31
g24976,1933.08713800369,-5.71195220480221,0.470340247479161,-12.1442981658832,6.1508109405479e-34,8.1432005459823e-31
g13733,1479.19547610149,-5.0046126996671,0.414574334111856,-12.0716896534092,1.49042285410559e-33,1.83226198157224e-30
g12736,575.530508179089,-5.99921376176915,0.498274734532794,-12.0399718187483,2.19030459202201e-33,2.51315548888606e-30
g24361,2009.13759496752,4.94441062419893,0.414815294333835,11.9195475473953,9.36155485961601e-33,1.00701075430532e-29
g18811,151.583432188686,8.09908608275251,0.683447453387506,11.8503420308458,2.14314278632223e-32,2.16974297031717e-29
g15869,1218.00705068274,5.40735382786141,0.458518880411238,11.793088701193,4.23711253471607e-32,4.05138576861101e-29
g2802,825.932886438756,-6.95207793770125,0.592027119317691,-11.7428369594175,7.68640610139121e-32,6.96267028479179e-29
g21295,1061.38631872162,-3.21188289088084,0.276535739692837,-11.6147116985618,3.4695671698211904e-31,2.98573602798962e-28
g19645,1665.6365618619,4.7753054553161,0.415524463764006,11.4922366111955,1.4432609899503e-30,1.18285547133498e-27
g1904,322.501752576282,3.08732095002548,0.269113035199456,11.4722088721465,1.8195456388448697e-30,1.42346363591632e-27
g24979,1727.63666725576,-6.47076507954119,0.564825911295904,-11.4562114629179,2.18881310375721e-30,1.63789836212024e-27
g21990,943.341170051997,-4.62666049937258,0.410105308135311,-11.2816401241167,1.6170272732301e-29,1.11322625598253e-26
g22912,172.114484650234,4.27355604864195,0.378686104948795,11.2852201144793,1.55252462521597e-29,1.11322625598253e-26
g20474,4221.4313723836,-3.4145279083202,0.303257957156955,-11.2594833135837,2.07974491425652e-29,1.37671114304881e-26
g23122,1699.4451406864,-6.33883085762801,0.567246860124288,-11.174730621231,5.42146120195554e-29,3.45588032395766e-26
g21470,297.285721137251,6.42056471789135,0.582414811308818,11.0240409296304,2.92620959696679e-28,1.79867833476412e-25
g2600,255.929513389654,4.51900775720023,0.415012037565927,10.8888594743047,1.30261326283839e-27,7.730785126452241e-25
g6212,7400.51988721898,-3.79385644207231,0.349300754778676,-10.8612889899885,1.76243706699191e-27,1.01111014533326e-24
g27749,556.861844151885,-5.00638679803467,0.467070651617114,-10.718692730321,8.31705160332284e-27,4.6175733917674e-24
g4924,2762.04060397482,-6.26585378497219,0.588978688161016,-10.6385068100447,1.97265206693671e-26,1.0609785851264901e-23
g25142,718.172475347127,-4.44368448810998,0.418936750359716,-10.6070534138971,2.76326242956969e-26,1.4411669598583e-23
g23170,1694.41713176333,-6.23642485591719,0.588803149318661,-10.5916975191687,3.25632401826365e-26,1.64837037289222e-23
g7998,359.533201518028,5.68844363865901,0.537227221215449,10.5885245833024,3.36859315008393e-26,1.6564816201741302e-23
g29724,4876.65756334455,-3.09528849726276,0.296134738776466,-10.4522978629644,1.4301739993940501e-25,6.837423528769741e-23
g7472,3028.23903055095,-5.07104216069072,0.486334886060776,-10.4270581980356,1.86575407328001e-25,8.67878198789789e-23
g12905,954.430449443553,2.73698735647718,0.266897685077132,10.2548186421557,1.12587149864349e-24,5.099309042935039e-22
g18169,364.361058972653,-5.66761544550666,0.560004813564933,-10.1206548733523,4.47411933111733e-24,1.97446327712463e-21
g24987,123.425638689192,4.43028781011699,0.438007110358925,10.1146481537402,4.75723229070402e-24,2.04691812388267e-21
g26870,819.847541922385,-3.67410067261097,0.363546089229301,-10.1062857818107,5.18114041729819e-24,2.174941651759e-21
g10618,386.755908931263,-6.28519581541303,0.625054992655007,-10.0554285451202,8.69423309105458e-24,3.5627725173843004e-21
g3113,220.406951338674,4.29862320500377,0.428232063988854,10.0380694639336,1.0368345386834901e-23,4.14999052215848e-21
g16571,126.275965482957,3.87148075719435,0.387622311732984,9.98776551299566,1.72424629654783e-23,6.74454613861014e-21
g3128,438.713634301647,4.09062445338709,0.411067501280584,9.95122319483713,2.49102326913728e-23,9.52733366336039e-21
g12735,733.006600704041,-5.99437257750692,0.603939820410342,-9.92544683249085,3.22654301943069e-23,1.20721808494395e-20
g23086,2086.42337776309,-4.81730461039583,0.493522080479497,-9.76107209978411,1.65397378905981e-22,6.05671125181028e-20
g873,213.726554717236,2.75545802602747,0.285049146923532,9.66660681418089,4.18007951534867e-22,1.47192204787548e-19
g7619,239.031358777488,3.22100752932679,0.333218597797308,9.66634980946077,4.19058627307527e-22,1.47192204787548e-19
g19816,641.511401526123,4.56188445262256,0.474556538533879,9.61294194094617,7.0505155443134595e-22,2.42692846066358e-19
g18170,219.156751722207,-5.70145079302694,0.599408183460194,-9.51180005603904,1.8739142188765502e-21,6.323909337467521e-19
g25141,440.571855968653,-4.46145403449519,0.470895472521222,-9.47440418275445,2.6828739537816503e-21,8.87979684971845e-19
g6448,3095.22779235424,2.34238447413395,0.248219696464799,9.43673893528481,3.8456165211769005e-21,1.24880954615048e-18
g13706,1136.70457501804,-4.23033684486503,0.450397728870928,-9.39244710551668,5.86221468643173e-21,1.8684180920032697e-18
g6593,2113.85504095928,-3.89804527967549,0.41537201107124,-9.3844678403402,6.3234951463950805e-21,1.9787940902655597e-18
g17499,569.353880412737,3.4484200268176,0.36963732547862,9.32919862016764,1.06674386774444e-20,3.27852298352669e-18
g16547,485.245416336065,-2.83394727463797,0.304960836091958,-9.29282366534244,1.5024841549581e-20,4.53671136683926e-18
g15694,595.199827407957,-8.93916942645282,0.965631023438925,-9.25733454028593,2.09599082616814e-20,6.21967208778963e-18
g18111,1920.99216440625,3.27261672181713,0.354865557377454,9.22213118117912,2.9125284539592603e-20,8.49619105442252e-18
g28453,142.976078145358,-4.14330512066951,0.450162365936868,-9.20402377939025,3.4479094495557304e-20,9.89032825605062e-18
g28230,3127.72493360086,3.26182605472297,0.354515197084477,9.20080741685586,3.5527007996727104e-20,1.00238579447815e-17
g4978,107.33439546013,3.50478557776466,0.384320747580575,9.11942849775463,7.552152024001851e-20,2.09645304008219e-17
g13734,1853.50539276632,-2.6339773815372,0.28922079331289,-9.10715080809444,8.45737874131534e-20,2.31047532566315e-17
g26381,3698.10933077753,-3.67709938990986,0.404099877346101,-9.0994815788091,9.07640296548744e-20,2.4408433037344402e-17
g13979,9559.51173492608,-2.95782516890194,0.32669073907485,-9.05389965224651,1.37951596012453e-19,3.6527460291851104e-17
g16521,153.077899447056,4.13403113517137,0.458354314172035,9.01929142444972,1.8930977510628101e-19,4.93668263538516e-17
g16466,1078.21536281489,-3.50539763770316,0.389778273474907,-8.99331203469152,2.3988997958532704e-19,6.07168593918097e-17
g26757,144.267742708076,-4.2570529785451,0.473315730564202,-8.99410837977137,2.3815740566740403e-19,6.07168593918097e-17
g7028,635.818384538667,3.29719511016529,0.36794327477368,8.96115063441065,3.2130776732157e-19,8.01453330923411e-17
g15137,62.0132988280014,3.26507554485043,0.367055308078398,8.89532305620015,5.82495986898889e-19,1.43219120435954e-16
g24550,861.985546690625,-5.50930339157495,0.621800971095354,-8.8602360685765,7.984518016592271e-19,1.93551464202211e-16
g17367,920.964999772052,-3.33517868713034,0.380462491632321,-8.76611692474922,1.84933962660398e-18,4.42069226576126e-16
g8988,700.23542286224,-3.13185807998031,0.358398398226346,-8.73848235784357,2.36262790112035e-18,5.57029983646334e-16
g24994,293.074907899305,4.86157931014732,0.557663134947484,8.71777064948922,2.8373296585988897e-18,6.59909199380344e-16
g7221,3451.56127751964,-3.89354883423747,0.45028660690752,-8.64682354418133,5.29527558875269e-18,1.21515984210697e-15
