"gene","Compartment","log2FoldChange"
"g11265","A",-8.08205435289041
"g11266","A",-8.74586957809168
"g26192","A",-8.22721079988793
"g4882","A",-10.8224472477916
"g20630","A",-7.34199469463123
"g20779","A",-6.91210196336061
"g20807","A",-7.01179663137952
"g29724","A",7.61683614115543
"g18794","A",-7.18559671900891
"g8865","A",-5.83261640680644
"g11151","A",9.039312660786
"g28228","A",-8.75797637115575
"g18766","A",-6.65913121345651
"g28230","A",-7.34059949519901
"g214","A",-9.26711100467162
"g20035","A",-9.79526988916155
"g29716","A",-6.01674083182594
"g26973","A",-6.35753811667608
"g17854","A",4.03818186871774
"g8360","A",5.9859579653575
"g9080","A",-9.02329675753449
"g6670","A",5.44920950537724
"g20862","A",-5.7636057160713
"g5116","A",6.43554429772338
"g6614","A",-7.57872667904376
"g14444","A",-5.7066171367488
"g16038","A",3.79563852000618
"g23307","A",-6.9728639236608
"g29726","A",7.13576971106308
"g352","A",5.08224194583873
"g11230","A",-10.6612214539414
"g19696","A",-5.79246374206994
"g7189","A",-6.39939382435207
"g10781","A",4.48959380655949
"g11446","A",-7.41454389705236
"g11198","A",4.34885032876204
"g20034","A",-10.6209479742177
"g11834","A",-3.61505840328938
"g17803","A",5.07898639392353
"g5183","A",-10.4489625505381
"g25241","A",4.66211893088638
"g28847","A",5.50628847484945
"g29357","A",-5.75447582482959
"g10262","A",-6.3126956109118
"g24337","A",3.59906516944795
"g11584","A",4.65213586370073
"g7179","A",-5.84877471558609
"g28243","A",-7.70191605929886
"g2029","A",-7.06618220237154
"g5893","A",6.03283238336923
"g582","A",5.8338005996516
"g11233","A",-10.411138234143
"g19618","A",7.49767369166194
"g22489","A",3.46874907975905
"g7542","A",3.86563522377993
"g5843","A",-6.66211439888615
"g19707","A",-4.4408682723449
"g24361","A",-10.6393291993625
"g16811","A",-5.24042631197649
"g871","A",-10.0925896595753
"g14091","A",-6.16076996767351
"g1078","A",-6.68041772203816
"g15880","A",5.92814180043054
"g6486","A",-9.12332975144685
"g7471","A",7.29483723495666
"g12210","A",-6.54386561976695
"g6820","A",4.82770840184368
"g28448","A",8.5630877340807
"g12379","A",3.87788992354322
"g23305","A",-5.65602269043419
