"gene","Compartment","log2FoldChange"
"g25195","A",7.21901957283566
"g25133","A",6.99257677373969
"g5412","A",4.40115821336349
"g20404","A",5.05158327550554
"g4325","A",7.54313094396318
"g16881","A",5.16708171238176
"g13565","A",7.06050770789411
"g20119","A",4.37614295952005
"g15945","A",-3.20274555309736
"g4326","A",5.52470162037494
"g23090","A",-3.74963313608961
"g10262","A",4.67039597187811
"g10114","A",5.40333668428761
"g10733","A",-3.6596727040887
"g9975","A",5.73568209993424
"g6750","A",6.00641995949908
"g1163","A",4.94626059479082
"g29747","A",-2.8804322031629
"g4765","A",-2.89652566220391
"g10618","A",5.61976740000222
"g17815","A",4.82277215402397
"g25132","A",5.50412661016621
"g10307","A",5.08725412492558
"g4925","A",6.11629772396655
"g20660","A",8.31490353963611
"g16924","A",3.70272003540409
"g24336","A",-3.15615096850558
"g7090","A",-2.91476517711107
"g16880","A",5.43761519531425
"g4172","A",4.42382239136228
"g18839","A",4.22631715666036
"g17918","A",-4.00134029882654
"g7067","A",3.31428087245608
"g10321","A",4.63085122851856
"g7189","A",4.05200796021088
"g17079","A",-3.40574005657142
"g14987","A",-3.28713910798897
"g24092","A",-3.29006137942027
"g15800","A",3.59987245740075
"g24923","A",3.09945411648616
"g11737","A",5.04050602687611
"g17051","A",5.03284325267443
"g29138","A",-2.90682803490572
"g21270","A",-2.87686547873295
"g10256","A",5.84208012893025
"g3013","A",4.37513643524341
"g100","A",-3.36006014097266
"g17234","A",-2.6602036066794
"g16869","A",5.36379393648494
"g2079","A",4.97175799914138
"g10553","A",3.42109376011514
"g14657","A",3.04472585589899
"g5879","A",-2.55170116738499
"g4099","A",-2.4465636587899
"g8880","A",-2.77759132780631
"g16693","A",-3.22244230605359
"g16922","A",2.91872631101096
"g873","A",4.96674482756926
"g26871","A",6.24338109502967
"g14496","A",-2.65581418666409
"g20890","A",4.44805182107749
"g21399","A",2.19558000360809
"g198","A",3.31816909104311
"g6990","A",3.8112024983307
"g20958","A",3.77188882987207
"g4735","A",2.80185688301814
"g11029","A",-2.37260579402594
"g2680","A",6.65133834686566
"g2093","A",5.68636734225385
"g76","A",4.49778695953363
"g733","A",-3.70672322316739
"g2086","A",5.17619679654108
"g3315","A",-2.38992105855694
"g12904","A",8.55529896767929
"g16028","A",6.02076219830008
"g7457","A",2.5626092869921
"g14610","A",-2.95962657960418
"g22185","A",-2.85527119676345
"g14848","A",-3.00855210461993
"g16856","A",2.64841492836561
"g7832","A",-2.40660768791784
"g739","A",-2.8023127980104
"g14637","A",6.66506270694952
"g716","A",7.39989901907872
"g3005","A",-3.13950442536422
"g11738","A",-2.80088743974678
"g25189","A",-2.39793857558627
"g22128","A",-3.05016413888321
"g20659","A",7.27722448547259
"g7283","A",4.11139888385587
"g18620","A",2.98973355611776
"g25128","A",-2.42397843561035
"g12811","A",5.58836426844079
"g6754","A",3.8991843011252
"g15823","A",-3.07563131184098
"g16016","A",6.31697104966458
"g22399","A",4.2887603299418
"g7757","A",6.63294274747603
"g8969","A",3.53685181518969
"g22523","A",-2.44043084511244
"g17228","A",-3.00078897956895
"g7754","A",-2.32350644853437
"g13262","A",-2.24218202998032
"g2229","A",6.48650429955311
"g17878","A",-2.35261775227439
"g21012","A",-2.93682892027406
"g7477","A",-2.33655568416955
"g22807","A",6.06986583820517
"g939","A",-2.85196660439119
"g624","A",3.46080443746121
"g14837","A",-2.64644222414863
"g25125","A",-3.21396257436587
"g12048","A",-1.75794066808243
"g15838","A",5.60431791845868
"g17848","A",4.39260805263906
"g390","A",-3.13870984679095
"g17004","A",4.77852882913467
