"gene","Compartment","log2FoldChange"
"g21161","A",4.58891944230138
"g21410","A",7.86112167819813
"g15869","A",6.82874017342465
"g21470","A",6.04703633700364
"g16690","A",2.67485143489012
"g17183","A",2.45713312498802
"g24994","A",4.68358349550765
"g29765","A",3.73687661289425
"g1053","A",4.59175757244634
"g26900","A",4.54055464670707
"g10622","A",3.76239329943635
"g7998","A",4.19410526700293
"g21984","A",4.01636221369941
"g16328","A",2.35314196177902
"g22055","A",4.19842225559476
"g14530","A",3.58099150785014
"g641","A",2.49831837236134
"g6593","A",-3.00445289479817
"g1955","A",6.41868903348671
"g10586","A",2.30214914613729
"g21442","A",-3.23363134655612
"g21340","A",3.06259717705774
"g29680","A",3.78131277763846
"g14177","A",4.56513396185384
"g24987","A",2.78245539013378
"g7619","A",2.15151114512503
"g3086","A",2.25592699637142
"g8381","A",2.18989466122899
"g11532","A",2.5675566738608
"g17076","A",2.46753135311947
"g8160","A",3.61366644330276
"g24991","A",4.54390537769415
"g9295","A",2.51915032576361
"g6866","A",1.44618258728292
"g11599","A",1.5910893659955
"g16424","A",1.91102142603655
"g20788","A",2.5068166892172
"g4252","A",2.30676348452051
"g8916","A",2.5506503368328
"g17351","A",2.60828089903441
"g24095","A",-1.57818422182519
"g24268","A",-3.43595517045125
"g16237","A",4.34403427941806
"g27531","A",3.75715325019364
"g20814","A",2.80999316913195
"g27071","A",2.71402089075503
"g4900","A",7.44406438133731
"g1857","A",-1.71716777223278
"g11868","A",2.00726558190732
"g23286","A",-2.56120326038582
"g29504","A",-6.46967676703298
"g28794","A",-2.70478237988384
"g5650","A",3.20941392853112
"g21596","A",-6.30413224279961
"g1897","A",2.97297735495369
"g5831","A",2.90511558851486
"g1873","A",-3.22247552366608
"g5643","A",3.08361266648153
"g10563","A",7.95069804215721
"g29769","A",-3.54817967235942
"g4312","A",1.77027848642633
"g29488","A",-4.88981618493092
"g14560","A",3.38987249606423
"g24986","A",2.7400583817118
"g6213","A",1.26672507455297
"g25066","A",5.30347607827261
"g28792","A",2.01730079463773
"g17164","A",1.87914547373566
"g24993","A",2.28654195399379
"g6735","A",2.29527798148608
"g29768","A",1.59100567934881
"g13398","A",1.98668538190326
"g20162","A",1.89588524134107
"g3038","A",1.46433943748137
"g10957","A",3.38741187168654
"g5655","A",2.86310713196172
"g12730","A",1.86802206017095
"g6734","A",2.37389649231097
"g4922","A",2.43856940431531
"g21447","A",-2.57932735684568
"g29142","A",1.12102434820785
"g29377","A",3.39970294786205
"g7209","A",1.40284294662849
"g1076","A",3.4919322793321
"g14688","A",5.76164535970607
"g28793","A",1.79719309508819
"g29493","A",-4.61608619814132
"g1280","A",-1.3181139623092
