"gene","Compartment","log2FoldChange"
"g940","A",4.12918192777554
"g11378","A",4.69696570620263
"g17076","A",4.49824111764722
"g21160","A",4.0870168679649
"g21013","A",6.6421132429561
"g10125","A",-3.04315806095349
"g9287","A",3.21416233640322
"g6735","A",5.87662852627567
"g2442","A",4.7402362677766
"g15871","A",4.76925776252151
"g16670","A",5.3374249377173
"g6734","A",9.84296574106348
"g12061","A",-4.4924097393387
"g16690","A",3.19642953047619
"g61","A",3.03696914321065
"g22634","A",2.37281638592814
"g2050","A",-2.82467214377955
"g23278","A",-3.02206169341443
"g8890","A",4.09294018520794
"g28928","A",-4.000544424151
"g6866","A",1.90480919514885
"g15957","A",4.33293939865727
"g1897","A",5.66903976315092
"g22215","A",-2.23975405085277
"g15980","A",-3.30319525815887
"g17165","A",5.27017715655116
"g7035","A",-2.10785439844769
"g29493","A",-3.0473984359479
"g6900","A",3.10549010318887
"g16246","A",2.86339207578196
"g5628","A",4.86857057890875
"g17221","A",7.94938300216046
"g21161","A",2.71607654234809
"g26912","A",2.36837045756683
"g4178","A",-2.54199279418925
"g6857","A",3.05544933089583
"g24351","A",7.46779775475024
"g24095","A",-1.97295423395633
"g27400","A",8.185972859615
"g20227","A",1.61187327135522
"g19733","A",3.56489219017588
"g14063","A",4.43239380451252
"g6720","A",-3.33854571659406
"g24915","A",2.63017167235949
"g26233","A",2.88481302538276
"g21385","A",2.9045879262048
"g6733","A",10.4919673747659
"g10586","A",-2.17755777007663
"g16386","A",1.60179250641813
"g1396","A",1.45463704800914
"g10510","A",-3.72319786178471
"g21447","A",4.58092016261219
"g15870","A",2.80554480401832
"g6214","A",2.02735381606707
"g11104","A",5.15857640868538
"g1709","A",3.33500038046395
"g21495","A",6.83563835675281
"g7209","A",2.04063554737758
"g5656","A",-3.34254822488926
"g69","A",-3.22756226736872
"g4103","A",4.16633493758445
"g22507","A",1.80969857199407
"g26103","A",-3.14511679453107
"g8874","A",2.16475865581058
"g10957","A",7.43095249479186
"g7251","A",1.85008377236458
