,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control_96h,TPM_Early,TPM_Late
g22,-1.689106409,1.032986423,0.965571174,0.143102843,-0.337294804,-0.115259227
g23,-0.683704453,1.746546488,0.682136855,-0.55775649,-0.615657516,-0.571564884
g24,0.371809207,-0.86468588,-0.80861147,0.190986591,-0.629473033,1.739974585
g25,-0.85082084,-0.644105206,-0.565546914,0.347978945,-0.132181505,1.84467552
g26,-0.072029448,-1.07224407,-1.244278569,0.83342205,0.334243336,1.2208867
g27,0.166730201,-1.233531061,-0.191129616,0.314971649,-0.726493628,1.669452455
g28,0.287065677,-0.603210177,-1.546769639,1.407568157,0.032331797,0.423014186
g29,-1.207226621,0.559004678,1.646457879,-0.685926831,-0.152281448,-0.160027658
g30,-0.160402571,-1.715405867,0.259741244,0.325057191,-0.07044633,1.361456334
g31,-1.666092946,-0.691803097,1.029036273,0.693874298,0.275289044,0.359696428
g32,1.36611626,-1.042003659,-0.812363077,-0.280611211,-0.327504606,1.096366294
g33,1.962068343,-0.466823045,-0.87595612,-0.192286312,-0.349378564,-0.077624301
g34,1.856972276,-0.710165134,-0.710165134,0.111832036,0.161691091,-0.710165134
g36,-0.638061087,1.51543012,1.036814229,-0.638061087,-0.638061087,-0.638061087
g37,1.148435706,1.111076487,0.37197398,-0.877162058,-0.877162058,-0.877162058
g39,-0.584319151,1.840521311,0.496755293,-0.584319151,-0.584319151,-0.584319151
g41,-0.323359601,0.320229492,1.896743206,-0.631204365,-0.631204365,-0.631204365
g42,1.201535848,1.005010309,0.446757571,-0.884434576,-0.884434576,-0.884434576
g44,-0.378886261,1.397325765,1.153745855,-0.724061786,-0.724061786,-0.724061786
g45,1.309175623,0.890681144,0.43094247,-0.876933079,-0.876933079,-0.876933079
g46,-1.317382621,-0.296474971,-0.730657664,1.511980621,0.345194676,0.487339959
g47,1.983827697,-0.493111847,-0.473090081,-0.570504164,-0.516835661,0.069714056
g48,-1.944876105,0.990613143,0.29056777,0.276699079,0.20506381,0.181932303
g49,0.224514394,1.869717431,-0.734027643,-0.110284451,-0.378341633,-0.871578099
g50,0.896662214,-1.36102088,-1.105455038,0.963976132,0.369321465,0.236516107
g51,1.446163539,-1.010463805,0.416074489,0.59907582,-0.336142877,-1.114707166
g52,1.691203253,-0.389969411,0.72129033,-0.466953135,-0.637162225,-0.918408811
g53,-0.175070402,-1.331827336,1.595749208,-0.138414348,0.585488135,-0.535925256
g54,0.301742733,-0.684460366,1.164350847,-0.816659564,1.11687803,-1.08185168
g55,1.724844695,-0.749615267,0.507581349,-0.654715954,0.051691467,-0.87978629
g56,0.233291787,-0.636604131,-1.193356196,1.75282952,0.047630805,-0.203791785
g57,-0.487168725,-1.264343401,-0.867695933,0.698828827,0.761548936,1.158830296
g58,1.720157097,-0.782024724,-1.11661868,0.05087246,-0.229390076,0.357003924
g59,1.037387987,-1.070421389,-0.988708428,0.044693113,-0.324239533,1.30128825
g60,-1.406666441,-1.070306277,0.531503477,1.101286078,0.531828579,0.312354585
