"gene","Compartment","log2FoldChange"
"g28275","A",6.80564412148164
"g27286","A",7.61830597287673
"g10237","A",5.8215152080303
"g27278","A",7.62441972287221
"g27236","A",7.05842366445378
"g27215","A",6.90169756310131
"g18001","A",3.47160817782045
"g16429","A",5.51250621679677
"g19602","A",3.86800578374297
"g16431","A",5.60383741378538
"g27151","A",6.66870577686841
"g27199","A",3.5417586055851
"g27273","A",8.05965032176375
"g27160","A",6.57753555229287
"g27148","A",6.0075189343441
"g27149","A",7.12976054665675
"g8994","A",-2.89540502455406
"g27158","A",6.53885516778026
"g27285","A",8.02630979641234
"g10238","A",4.21625430939662
"g15883","A",3.03582580522835
"g18000","A",3.40801421174383
"g27220","A",7.90166046869393
"g27275","A",6.46088281628014
"g27282","A",6.81817995312377
"g27221","A",6.55644658178391
"g15881","A",2.92213296938714
"g27237","A",7.24408481946954
"g19601","A",3.4573130130333
"g20118","A",2.41465222180723
"g6418","A",1.85227657480035
"g27280","A",6.49707615666011
"g27248","A",6.00416323656581
"g2343","A",2.55000858706914
"g7397","A",2.1373612091875
"g27244","A",5.67981506553696
"g27226","A",6.50646457808554
"g1833","A",-3.31264992692159
"g10127","A",2.65953163854924
"g1851","A",-2.50580364638566
"g10136","A",3.16045151525951
"g14482","A",3.64718294776711
"g16283","A",2.08311837147839
"g20119","A",2.08227844139407
"g27238","A",8.17988661275524
"g16564","A",3.94024589465425
"g17355","A",2.70512389045826
"g27224","A",6.25728829962587
"g28933","A",3.42415662409329
"g27284","A",7.42811875074896
"g27252","A",8.19041790476486
"g4142","A",3.24989749063245
"g21157","A",2.14521633600503
"g28225","A",2.10945480252818
"g27246","A",7.11698658715148
"g17478","A",1.44892819242813
"g27217","A",9.68883883148976
"g8969","A",2.15875892240122
"g9282","A",1.8090946112041
"g26089","A",1.32626653494359
"g13257","A",-2.64467493677217
"g4132","A",3.05693348176154
"g27219","A",7.02735569898135
"g2544","A",2.25283492922777
"g8998","A",-2.01296380598945
"g16343","A",2.5110090695142
"g9281","A",1.71192871264037
"g7098","A",3.87641828027784
"g9279","A",1.7248475021113
"g12211","A",1.5451166973347
"g4966","A",2.22459525097744
"g4976","A",2.12494587906436
"g27216","A",7.32243551118434
"g27070","A",2.43347982204691
"g26119","A",1.51093911090706
"g16284","A",2.54545850009129
"g11909","A",3.04854015779272
"g4194","A",2.18689578522787
"g22542","A",3.10008643375465
"g27270","A",4.12958292570703
"g20325","A",3.48957428148327
"g20809","A",-1.95641259401926
"g26995","A",-4.67350021544796
"g9280","A",1.7358777008998
"g9058","A",2.93421985281737
"g16028","A",2.62455630155044
"g2229","A",3.50699544403228
"g2230","A",3.56169514388102
"g5624","A",3.733100927123
"g24066","A",2.43901027361737
"g2133","A",2.98246634857395
"g20136","A",3.42718388196224
"g15817","A",2.50004475067744
"g7992","A",1.70887991786956
"g27124","A",2.97658774639862
"g11402","A",2.23436505390259
"g6288","A",2.61563215770799
"g4753","A",3.65268866992423
"g452","A",1.53419181281531
"g1965","A",1.71354476394817
"g19718","A",-2.22153329194491
"g27337","A",-2.15536889894936
"g26181","A",1.23705167969133
"g9112","A",-1.59455675768269
"g6732","A",2.16103529669279
"g4081","A",1.84412585495198
"g342","A",2.00932463632796
"g8062","A",3.67990987960071
"g16753","A",1.80890151266085
"g14895","A",1.72186688551129
"g26994","A",-4.54800647984419
"g2068","A",2.75158585143733
"g23122","A",2.63200304881229
"g27159","A",8.46493964225049
"g14712","A",2.33409777409501
"g14376","A",2.37291094154064
"g4968","A",2.44370027160545
"g21212","A",2.23058721634828
"g2135","A",2.51855879926513
"g27283","A",8.96535907372345
"g20781","A",-2.11288755281029
"g8927","A",-1.95860754572955
"g27281","A",6.8518871142028
"g22199","A",2.35641419397033
"g2600","A",2.34293564970306
"g3074","A",1.47359874700244
"g27395","A",3.00809934782145
"g25156","A",1.59611906972637
"g2136","A",2.47245097678373
"g22516","A",2.14498033088333
"g27225","A",5.13382466291297
"g1668","A",1.52667176880193
"g6684","A",-1.60503154570522
"g28448","A",2.32584967554431
"g12348","A",1.87074263647711
"g3156","A",-2.24021110910932
"g27218","A",5.03393742189366
"g27328","A",-2.23543038750009
"g22540","A",2.336266962339
"g29119","A",2.25855812774409
"g16622","A",-2.17358696741969
"g23170","A",2.67875294948192
"g27274","A",5.62279670258559
"g25158","A",1.44660919482894
"g1853","A",-1.48496304035909
"g18735","A",-1.34792344967047
"g18811","A",-3.28753122500539
"g3247","A",1.44147698605058
"g7124","A",2.05481688070316
"g27235","A",4.29330476188784
"g25225","A",1.63294503573032
"g4295","A",1.9078166212612
"g27183","A",2.76786339440119
"g26268","A",-2.21476038887369
"g27240","A",7.48347256535542
"g2017","A",2.27547083213523
"g21922","A",-1.42707789232268
"g22541","A",2.63152192081107
"g685","A",-1.79374654012556
"g7094","A",1.90722172679459
"g10919","A",3.25162526588179
"g13198","A",2.60094609096969
"g4865","A",2.14846083991362
"g12351","A",1.76360306708836
"g23280","A",2.32694820133468
"g28943","A",1.51599847831241
"g10126","A",3.14628662871149
"g17215","A",-1.65480378819806
"g27279","A",5.9864200922813
"g6739","A",1.8606761973992
"g6212","A",1.5584104886169
"g8962","A",-3.09297974836821
"g1255","A",1.44601211130027
"g8181","A",3.12775456248957
"g7757","A",2.06286636346756
"g8996","A",-2.7290753044979
"g27331","A",-2.30853925506278
"g17376","A",3.00732690796961
"g8868","A",-1.91699968047595
"g18457","A",1.54423528345831
"g4929","A",-3.31400086688606
"g12248","A",1.97148201823019
"g2173","A",1.22635685207444
"g6898","A",-3.51423563768887
"g13571","A",-2.20690924713155
"g16038","A",0.893888239125903
"g18708","A",-1.29050566051406
"g6160","A",1.34037336606314
"g499","A",2.38751627602229
"g20783","A",-2.02210147702507
"g25224","A",2.41101621077976
"g28982","A",3.13908725647037
"g20389","A",-1.10909917112249
"g11450","A",1.57323358541202
"g24996","A",-2.61023411923666
"g2079","A",-1.47735304152155
"g10099","A",2.76373985036562
"g4411","A",1.84986718454247
"g2132","A",2.18413436922111
"g27272","A",3.99562252496175
"g8063","A",2.81260147587924
"g7125","A",2.22841305342526
"g26996","A",-5.71770287660517
"g10600","A",-3.67623678934271
"g24971","A",1.79021330718138
"g8988","A",1.26018875997402
"g14085","A",2.8736452328429
"g19786","A",1.72372859338321
"g12620","A",-2.27011222251968
"g730","A",1.55177904607812
"g1796","A",-2.29727648371947
"g27214","A",2.75684313347797
"g19801","A",2.81456615773126
"g4928","A",-3.81028817517542
"g54","A",1.95755472974775
"g9273","A",-1.28235940158822
"g11908","A",-1.43015627788512
"g14656","A",1.49945789181409
"g921","A",2.07903952608607
"g12652","A",-2.50464798621791
"g16882","A",-1.40467300145532
"g14330","A",1.40953410402294
"g2083","A",1.4260603635194
"g24911","A",-1.35452980806503
"g9060","A",1.38351717898605
"g6276","A",2.64841230344083
"g8946","A",-4.09747938101228
"g25202","A",2.96110476871496
"g15809","A",2.26677738203774
"g25138","A",2.55876252596844
"g6186","A",-1.74504839594696
"g8367","A",1.31345468347556
"g26183","A",1.72406984590657
"g21493","A",1.44695386992956
"g22112","A",1.35988198167489
"g1798","A",-2.20808526128514
"g26185","A",1.64112442067801
"g665","A",1.41825533464188
"g28224","A",1.89550593235194
"g17237","A",1.26705812347358
"g1835","A",-2.69437700886497
"g6726","A",1.81751222601176
"g27276","A",6.83282023389381
"g19818","A",2.7079252280373
"g28429","A",2.23923161969098
"g7075","A",2.29989914243488
"g13197","A",3.18365612805203
"g28230","A",1.60430351602992
"g17238","A",1.42381288666885
"g6567","A",1.73571585018326
"g21525","A",2.0096140091678
"g3116","A",1.67547497623264
"g816","A",1.18081139399983
"g27430","A",-1.99633876833777
"g14552","A",3.1487297666706
"g27157","A",6.77275435687576
"g19666","A",1.20525347375462
"g6746","A",2.04398286835968
"g28386","A",1.50131837680361
"g7945","A",1.91805607600823
"g17120","A",1.94138048454075
"g28948","A",2.04991843558898
"g12834","A",2.07310537472351
"g8995","A",-2.05094626102714
"g23187","A",-2.61031872738157
"g23121","A",1.26847388233994
"g10020","A",-1.1518133589494
"g27247","A",6.97986560610812
"g1644","A",1.45952529030254
"g27239","A",5.02644895595205
"g1300","A",-1.65805886389937
"g2069","A",2.4635179160607
"g14989","A",1.47890497501451
"g9095","A",1.82808414700491
"g10321","A",-1.33042624888833
"g15853","A",1.42535189041567
"g21575","A",-1.88109964797074
"g28226","A",1.88005742173077
"g23169","A",1.39969450282844
"g27201","A",2.72143639950582
"g27245","A",5.39322221888931
"g19921","A",1.59722268279721
"g17875","A",-0.917062404741133
"g2134","A",1.99758510173431
"g11594","A",2.56786931579711
"g16486","A",1.08473050568778
"g24975","A",1.17634678222607
"g7994","A",1.14470580184613
"g13570","A",2.02939326741865
"g17377","A",3.02725740075227
"g26941","A",-6.68901914571637
"g16342","A",2.77049334755107
"g8961","A",-2.94638010169798
