"gene","Compartment","log2FoldChange"
"g27361","A",5.20307687811499
"g2029","A",5.77333662462482
"g25073","A",-5.41386628446066
"g18001","A",-5.430701945992
"g18000","A",-5.70078453426688
"g9080","A",4.03345322797438
"g24976","A",-5.71195220480221
"g12736","A",-5.99921376176915
"g24361","A",4.94441062419893
"g18811","A",8.09908608275251
"g21295","A",-3.21188289088084
"g19645","A",4.7753054553161
"g1904","A",3.08732095002548
"g21990","A",-4.62666049937258
"g23122","A",-6.33883085762801
"g2600","A",4.51900775720023
"g6212","A",-3.79385644207231
"g4924","A",-6.26585378497219
"g25142","A",-4.44368448810998
"g23170","A",-6.23642485591719
"g29724","A",-3.09528849726276
"g7472","A",-5.07104216069072
"g12905","A",2.73698735647718
"g26870","A",-3.67410067261097
"g10618","A",-6.28519581541303
"g3113","A",4.29862320500377
"g3128","A",4.09062445338709
"g12735","A",-5.99437257750692
"g23086","A",-4.81730461039583
"g873","A",2.75545802602747
"g19816","A",4.56188445262256
"g25141","A",-4.46145403449519
"g6448","A",2.34238447413395
"g17499","A",3.4484200268176
"g16547","A",-2.83394727463797
"g28230","A",3.26182605472297
"g4978","A",3.50478557776466
"g16521","A",4.13403113517137
"g16466","A",-3.50539763770316
"g7028","A",3.29719511016529
"g17367","A",-3.33517868713034
"g8988","A",-3.13185807998031
"g6728","A",-7.00241432376767
"g13198","A",-5.61549092861156
"g19602","A",-4.03409174318034
"g6418","A",-2.3993215604726
"g18783","A",7.59207679437497
"g6288","A",-4.31685961111794
"g19648","A",-4.53961862937456
"g19799","A",4.23347238148509
"g23121","A",-3.071323254023
"g23794","A",2.73540040779433
"g7179","A",2.53796648405329
"g10707","A",-4.81676474421862
"g20235","A",-2.58606968357464
"g7470","A",-5.20018174866801
"g7125","A",-5.92615793785488
"g7396","A",-3.46151271974264
"g28448","A",-4.02348379748717
"g67","A",-3.57357619542953
"g14683","A",-2.70109747337902
"g8159","A",2.57683473422392
"g8158","A",2.54327795027621
"g605","A",-3.50032610317383
"g14895","A",-2.62949912875227
"g29146","A",3.06715496689276
"g16811","A",2.05918196519903
"g5413","A",2.80121566167354
"g7105","A",2.19473742166193
"g16564","A",-4.57695166073862
"g20424","A",3.97780160217046
"g18713","A",-3.10239919982771
"g445","A",2.40283799381219
"g1078","A",3.04391454230562
"g28239","A",-2.65064387112995
"g17355","A",-3.51194196787157
"g11275","A",3.19195208840092
"g82","A",-2.1122510256805
"g21493","A",-3.08759848653764
"g25182","A",-3.74125201981793
"g851","A",3.14488634185521
"g126","A",2.58061159498016
"g13279","A",-5.2593595109395
"g7682","A",2.23840075869947
"g7864","A",2.26632187724111
"g17821","A",-2.13907742536896
"g10148","A",1.55538452924865
"g15945","A",-1.78480031948296
"g12764","A",1.69950273345546
"g1185","A",3.86946939702643
"g12757","A",1.70473810142132
"g22117","A",2.83394335773933
"g29349","A",2.53062430351636
"g16486","A",-1.96417543595555
"g4866","A",-3.33527826866725
"g3165","A",2.07380641666872
"g3114","A",3.00779132191732
"g6975","A",-2.36267128404442
"g2104","A",-3.36477236892569
"g10556","A",-2.86897358945859
"g1365","A",-3.18422302485003
"g24975","A",-2.16542812944008
"g27127","A",2.38923855905049
"g25122","A",-3.82242442549244
"g511","A",1.99609512752382
"g18740","A",-2.77796796567187
"g11870","A",2.68866452586138
"g28447","A",-2.83307346631606
"g6732","A",-3.29506922425419
"g2076","A",3.14713345050532
"g7124","A",-3.28456288961017
"g12834","A",-6.52640355958239
"g25183","A",-3.73780077513352
"g4925","A",-7.45433398329593
"g7181","A",4.59402075828237
"g6567","A",-3.38756923595766
"g816","A",-1.93196217673406
"g8362","A",2.09274236436231
"g10871","A",-3.01390476364814
"g964","A",-2.32894624199751
"g452","A",-1.96808528358508
"g6766","A",3.68642257829857
"g4095","A",-1.52270309437898
"g14713","A",-2.22195134246928
"g1202","A",4.18982454378492
"g10899","A",-3.18249420121692
"g6644","A",-4.78233119930278
"g10237","A",-4.06236875504943
"g7471","A",-2.88478443542708
"g12524","A",1.93127474116859
"g12204","A",-2.82889650791814
"g342","A",-2.81722966177436
"g154","A",-3.85742861222941
"g8157","A",2.1820963088912
"g12211","A",-1.79953568643182
"g13210","A",-3.07759112039214
"g7129","A",1.5934067061531
"g2005","A",1.38493398599983
"g12602","A",2.36487341710698
"g26190","A",2.47937674188667
"g7863","A",2.94363766992345
"g21391","A",3.23635679799813
"g3899","A",3.09168951928638
"g3129","A",2.25244196966249
"g8999","A",-4.08763739536276
"g19598","A",-3.11950706037016
"g5856","A",1.75289086652832
"g2112","A",-3.02293756471534
"g7996","A",1.42937274643494
"g12811","A",-4.84367744199542
"g15829","A",-3.20832021076709
"g14830","A",-3.79879787973927
"g4194","A",-2.48560403118242
"g10554","A",-2.87749933630204
"g20177","A",-2.94948912757217
"g6284","A",-3.25785024675048
"g11216","A",-1.77831373665979
"g16472","A",-4.34564914946387
"g13366","A",2.82634495655092
"g18728","A",2.15029152919545
"g28225","A",-2.19125975572465
"g23169","A",-2.58829302999229
"g21481","A",-4.75289148380127
"g22121","A",1.4670980990954
"g2505","A",-1.80491151220752
"g6813","A",-1.99776260859196
"g16408","A",2.94062346578521
"g16967","A",3.52045184937742
"g18596","A",-2.46652126206554
"g10238","A",-3.17953908147534
"g14084","A",-2.27135812165304
"g27329","A",-2.02651663092635
"g9456","A",-2.71367878690437
"g16669","A",3.52581487330594
"g28815","A",1.62646251133
"g11666","A",2.95876918937582
"g18735","A",1.71786089828137
"g24065","A",-2.52726724632522
"g8854","A",1.47952552652918
"g7094","A",-3.09876119703499
"g23808","A",2.05020921913136
"g14529","A",-2.98439555064255
"g937","A",1.24241819500539
"g5115","A",-3.20938823846874
"g15881","A",-2.39187077907881
"g21389","A",3.26776711349822
"g29571","A",2.94106186419933
"g24267","A",5.36850845547995
"g18698","A",2.18968348497662
"g10262","A",1.72405767383442
"g5625","A",-1.58929258328768
"g21946","A",-1.92935690195359
"g23783","A",-1.51423315787838
"g594","A",2.74581406673898
"g10218","A",-2.4385174543905
"g21073","A",2.44894736769753
"g11402","A",-2.85562433267682
"g20058","A",-2.81562756163642
"g10219","A",-2.04645233449338
"g21280","A",-2.50446806269975
"g17174","A",1.70427362761243
"g1146","A",2.41064076239249
"g921","A",-2.84608694808092
"g22589","A",2.33726308791121
"g24297","A",2.45974486982475
"g18790","A",2.45513833076766
"g10320","A",2.41880427818528
"g2109","A",-3.81929062614711
"g19696","A",1.71255032073034
"g12758","A",-2.47951771746296
"g7289","A",2.90825229054254
"g3626","A",-3.42070109703385
"g9999","A",-2.13633742389175
"g22527","A",1.92373010125045
"g27205","A",1.95677525476216
"g23087","A",-1.4462910438651
"g8181","A",-4.75646250025223
"g13456","A",-2.73174919296687
"g29716","A",1.6369268667378
"g809","A",-3.06174759396108
"g1279","A",5.78627855832562
"g11752","A",1.75223551797933
"g7397","A",-1.9376394265023
"g10127","A",-2.31641416384687
"g7702","A",-1.76580019550993
"g27070","A",-2.43882440200046
"g9459","A",3.1806509591805
"g17218","A",-2.78006372926411
"g1290","A",-1.94262879234828
"g21050","A",1.58800164808061
"g2860","A",1.46344442438413
"g15883","A",-2.20148650142785
"g1644","A",2.04905557765387
"g6186","A",2.38987775709724
"g7273","A",-2.33927247587755
"g17027","A",1.19265497851063
"g15874","A",-1.05680796192819
"g14994","A",3.0378062046027
"g23313","A",-1.43481188079178
"g10100","A",-1.71220995978548
"g9279","A",-1.65395975642869
"g20958","A",1.92228282404024
"g7499","A",1.30545454203614
"g6679","A",-1.88872874613699
"g5880","A",2.17873713778232
"g21157","A",-1.94376265420811
"g1045","A",-2.07973605610979
"g186","A",3.46691425680919
"g24978","A",-6.11287547387639
"g16985","A",1.22663323581588
"g7178","A",2.72659670190736
"g5881","A",1.72959404261385
"g10886","A",2.42413353601018
"g16727","A",1.62878404856923
"g23334","A",-1.38758743961257
"g9195","A",2.2066022212041
"g23354","A",1.71917600877573
"g20360","A",-1.83358062137237
"g162","A",-1.54696369649851
"g17376","A",-8.61177089966186
"g2114","A",-6.21295244198335
"g17436","A",-1.78589411708431
"g14993","A",2.59570168934001
"g2256","A",1.82258795457128
"g16429","A",-3.37702258654403
"g25209","A",-3.04127426964992
"g8865","A",1.42562195180941
"g192","A",3.22603659831411
"g8154","A",-1.72218304758709
"g16471","A",-2.37021989839618
"g1966","A",-1.95760862268507
"g18762","A",2.202995101043
"g1300","A",2.26063953594356
"g27580","A",3.3626882793441
"g19527","A",1.68031674688634
"g11062","A",-3.09493730139728
"g7681","A",6.03757187614436
"g1404","A",1.52948335813348
"g10133","A",1.84681136202063
"g20085","A",-2.24098257219081
"g1134","A",3.48931351857291
"g18708","A",1.56222982755963
"g16753","A",-2.07099518930428
"g17084","A",1.59058505457441
"g1378","A",-3.27472234445307
"g21604","A",1.88279329473923
"g22235","A",-3.32623166330279
"g2274","A",4.3058891548967
"g10989","A",1.65647676131664
"g11200","A",2.16291616305127
