"gene","Compartment","log2FoldChange"
"g2029","A",6.76455535386569
"g27361","A",5.1116947044551
"g2600","A",6.86194340690329
"g9080","A",4.30439869372786
"g1904","A",3.55629965040551
"g28230","A",4.86612957075289
"g24361","A",5.01039399506431
"g25073","A",-4.73427728409351
"g12736","A",-5.46904673582924
"g29146","A",4.36957197412372
"g19645","A",4.29555414131651
"g12905","A",2.7007458086559
"g7179","A",3.15352437837492
"g2343","A",3.66735958371703
"g21295","A",-2.67466380342784
"g1644","A",3.5085808679564
"g28275","A",6.69320611905358
"g8994","A",-3.67412381622747
"g11275","A",4.40950915411019
"g12524","A",2.87739791742842
"g27329","A",-3.16657181134763
"g7028","A",3.47420175722377
"g18811","A",4.81155485774712
"g23783","A",-2.4111754241611
"g26870","A",-3.40051032842417
"g8998","A",-3.52428706768987
"g12735","A",-5.62229502316618
"g7472","A",-4.50099024562331
"g10618","A",-5.67346989337401
"g11908","A",-3.36092001549023
"g16811","A",2.44520258912187
"g5413","A",3.32121104956124
"g19816","A",4.23589967839047
"g24976","A",-4.21123157854342
"g21990","A",-3.66362411624764
"g1255","A",2.84188021368322
"g7273","A",-3.65287666161461
"g17784","A",3.29150410342466
"g6448","A",2.11817241693108
"g8125","A",2.23903410493145
"g14782","A",3.73368152534586
"g16547","A",-2.53180222471817
"g3113","A",3.441204030859
"g23086","A",-4.07756137186008
"g17218","A",-3.98925186235967
"g20235","A",-2.64877173451898
"g511","A",2.39696312324946
"g3128","A",3.27604339874921
"g15829","A",-4.10867495515739
"g19799","A",4.10319601480525
"g4978","A",3.00664069575396
"g7105","A",2.30093445904409
"g27343","A",-3.16842115477375
"g8854","A",1.93984166070853
"g25142","A",-3.29184519944153
"g8999","A",-5.01573429852259
"g8062","A",5.65285610818943
"g851","A",3.36969857050022
"g27205","A",2.65728370179805
"g8158","A",2.50403097008326
"g29724","A",-2.24687057604091
"g13366","A",3.47775334737499
"g2112","A",-3.6076404354563
"g12757","A",1.81715616808457
"g25122","A",-4.2103468213792
"g25182","A",-3.84118806260928
"g7178","A",4.24119022540807
"g10148","A",1.624184930106
"g17436","A",-2.43023029878899
"g27430","A",-4.01351979149105
"g3114","A",3.1719609158109
"g4924","A",-4.35211327158585
"g27395","A",4.55930051288947
"g15832","A",-2.7849314720675
"g22172","A",-2.23582772536531
"g8118","A",1.94842888993719
"g22117","A",2.92863710042806
"g3899","A",3.55214923210773
"g2256","A",2.43433171375735
"g594","A",3.45985117783869
"g9112","A",-2.53375632179459
"g17499","A",2.6366383109977
"g18833","A",2.54612725848736
"g27025","A",4.28249806816047
"g67","A",-3.29957472191005
