"gene","Compartment","log2FoldChange"
"g28847","A",-5.28223212197538
"g21361","A",6.75570660207567
"g29726","A",-5.66323265846948
"g25192","A",-7.50503904826158
"g10873","A",-8.40659936257746
"g6160","A",-4.96623564290363
"g20660","A",-8.0541268736362
"g1348","A",-7.85823520762767
"g4379","A",-6.96624470587034
"g26089","A",-3.48156611648836
"g23835","A",-6.88969842673874
"g25195","A",-5.95598588616044
"g26124","A",-5.88076986103523
"g27329","A",5.61852846662972
"g28423","A",4.59532368723205
"g11440","A",-4.18992334677151
"g16618","A",-5.78003139748498
"g2084","A",-5.39023242435551
"g19666","A",-4.3944714479087
"g11450","A",-5.24179749428368
"g27510","A",-4.68742884167022
"g8988","A",-4.23044108291022
"g23303","A",4.7700069743092
"g25151","A",-11.363231029319
"g2252","A",-4.10034919440248
"g6175","A",-6.4602496634525
"g26119","A",-3.72953583656579
"g23950","A",5.75888768936118
"g12227","A",-5.22853171663929
"g19718","A",9.11656910748397
"g25131","A",-7.08472222019911
"g29672","A",-7.6743317221223
"g20649","A",-5.22202676321893
"g21270","A",3.43680424241069
"g23966","A",5.46022142388085
"g23343","A",4.18122162613227
"g29146","A",-5.4904447635722
"g3234","A",5.52640243415012
"g15874","A",2.54175329208198
"g20389","A",3.37941983600892
"g9155","A",5.1999437646526
"g20119","A",-4.11152021497576
"g11737","A",-5.20895627427371
"g346","A",-5.61362492168886
"g2242","A",5.11111269792543
"g4325","A",-6.3214680778142
"g9461","A",-2.95127125387758
"g10001","A",3.3898563461844
"g2582","A",-2.81973321701452
"g7125","A",-6.47620362730353
"g26892","A",-3.82865835330262
"g12006","A",-2.41764189878121
"g6727","A",4.97404296746049
"g20650","A",-4.79759649276561
"g5244","A",-7.17372242170376
"g24162","A",3.82673975592956
"g24105","A",-18.4399110762987
"g8969","A",-4.29618376362163
"g12799","A",-5.68935904072742
"g294","A",-4.23904106020771
"g24259","A",3.71146206912846
"g20652","A",-3.96127666508418
"g1032","A",17.3241992387096
"g10732","A",4.52852384899713
"g20781","A",6.52049183221714
"g24336","A",3.19093241968329
"g3277","A",4.63634367162955
"g29714","A",-3.50327973862423
"g3215","A",3.77984351207257
"g9997","A",3.3747828165473
"g17376","A",-8.04201128564393
"g1385","A",-5.78191279937312
"g21292","A",-4.04728166227549
"g20765","A",-6.57188356577293
"g16218","A",2.87918185448604
"g4326","A",-4.48689879889302
"g27355","A",3.41090858195073
"g16622","A",8.90954636372311
"g7397","A",-3.69937806699613
"g27328","A",5.71528951072409
"g830","A",-4.8965771835335
"g6669","A",3.95087198803992
"g24261","A",4.74377447791992
"g12603","A",-4.06641834042076
"g17478","A",-2.73041536263792
"g29713","A",-5.24453585685643
"g988","A",7.59433151539668
"g2343","A",-4.29890837894678
"g19522","A",-3.54657151149632
"g10083","A",3.2155925934704
"g11908","A",4.37686377675547
"g28002","A",5.84231274229266
"g12957","A",3.8445745575049
"g1783","A",-3.21558715052544
"g2131","A",5.37364228184655
"g5862","A",-3.63825206874422
"g4165","A",4.39030703081876
"g20659","A",-5.85158821524352
