"gene","Compartment","log2FoldChange"
"g5655","A",5.59458000869087
"g21984","A",4.6016073172375
"g21340","A",3.57194907971525
"g22055","A",4.52296216666953
"g28453","A",2.56993703068519
"g61","A",1.9862459786796
"g17164","A",2.61669605795499
"g20792","A",3.84946458437838
"g29765","A",3.01706393379456
"g9295","A",2.38935440103603
"g28794","A",-2.91722896045344
"g20788","A",2.47477906712209
"g10586","A",1.92212039450468
"g15899","A",2.39376929531856
"g4900","A",7.32902007320861
"g29680","A",2.94997910177076
"g20162","A",2.1406367656187
"g10502","A",2.45631145513176
"g20821","A",3.17769245934258
"g14844","A",1.23119603435331
"g20814","A",2.45310147982781
"g16643","A",3.03110612715661
"g1955","A",4.39573160721684
"g6802","A",1.42214432588086
"g8341","A",2.0218119911286
"g17424","A",-2.10504489263085
"g20798","A",1.88818665903699
"g22217","A",2.56792171358547
"g11532","A",1.86906867040612
"g4975","A",2.22236810448865
"g13398","A",1.94725410454219
"g26233","A",1.91451779140548
"g11162","A",1.83602070196304
"g26103","A",2.46088157307865
"g12730","A",1.8019841068056
"g20305","A",-3.15922645330886
"g11191","A",4.21968720991724
"g15870","A",1.85353352009702
"g23278","A",1.40612271883262
"g25066","A",4.4793089362376
"g12555","A",6.01210763284994
"g10563","A",6.15182341565951
"g24988","A",-2.36231312188863
"g16424","A",1.21155538954133
"g4922","A",2.00916670465649
"g29736","A",1.3335936646163
"g4920","A",1.83129961075102
"g10510","A",2.20969978872482
"g1053","A",2.08076460963034
"g14440","A",1.81362191822257
"g24987","A",-1.64783241998321
"g8858","A",0.984128425128322
"g16926","A",1.47316143294899
"g10533","A",1.34075708411653
"g10577","A",1.51848908952844
"g28928","A",1.63917250923275
"g1281","A",-2.19594251275187
"g20302","A",-2.47576032435224
"g1598","A",0.891007570383589
"g17076","A",1.36394069283716
"g4974","A",2.54025115767088
"g29","A",0.769493861243342
"g6304","A",2.2764815909579
"g10499","A",2.11259575650834
"g69","A",1.7323940491011
"g22704","A",2.73248660166661
"g5664","A",1.67632260509076
"g21160","A",1.24061437790516
"g1996","A",1.9618978904333
"g13196","A",2.04908817473458
"g10870","A",1.44032589186971
"g29766","A",1.58784761089587
"g22507","A",0.997943028163272
"g1407","A",0.732127673681323
"g2442","A",1.51571511473708
"g1932","A",1.21510153999473
"g15872","A",1.31603814512128
"g391","A",-1.15566653316886
"g12047","A",1.65390667717255
"g4312","A",1.13266906305295
"g24986","A",-1.92904618798648
"g7619","A",-1.06949638420176
"g29493","A",1.2405151676317
"g4178","A",0.929878587708112
"g17759","A",-1.21932090885081
"g19803","A",1.82360179793606
"g26147","A",2.22992276292499
"g2235","A",-2.04009583098472
"g26104","A",1.39871085937833
"g29669","A",1.11033419637447
"g11359","A",2.83540529287949
"g21381","A",1.83361963385671
"g16592","A",-0.957071987557051
"g13316","A",1.16297270664169
"g16479","A",1.66580217235046
"g16478","A",1.38992873592377
"g6213","A",0.787738121739838
"g5628","A",-1.38688050626465
"g26900","A",1.69280391318505
"g7193","A",1.07995615014716
"g4060","A",-2.70208909160071
"g6190","A",1.24292721578984
"g10125","A",0.890331347333421
"g20227","A",0.650941854063301
"g24993","A",-1.48558571454935
"g19595","B",5.80099328586432
"g20474","B",2.01179220341706
"g26429","B",2.00334047404893
"g5944","B",1.95365563191409
"g18161","B",9.51086099957061
"g26389","B",2.65220278528904
"g27882","B",5.07772378899933
"g23361","B",2.77306931271214
"g23517","B",2.89964596396686
"g23559","B",4.05717946010955
"g15504","B",2.09063895984175
"g16596","B",-2.02693424638757
"g25254","B",1.62620879981396
"g23360","B",1.79641572646426
"g9125","B",2.25280988383888
"g23422","B",2.42767912361938
"g28561","B",2.82489581346146
"g15244","B",-2.70865111387801
"g24877","B",2.13791785138621
"g15536","B",2.9751332349473
"g21810","B",1.35709394895328
"g8657","B",-3.22355747942004
"g15742","B",1.34719077913472
"g26375","B",1.35140904503617
"g8428","B",1.9453968359195
"g13015","B",1.75287132051272
"g3517","B",1.14572225197819
"g25756","B",-1.47769855300688
"g15243","B",-2.17979052997
"g13759","B",2.27034862444413
"g21754","B",1.25388098228378
"g15732","B",1.25328530886491
"g19622","B",3.18960728191055
"g15534","B",2.29656299423813
"g24533","B",-1.59153603026327
"g19590","B",1.36636833033666
"g17729","B",1.88760504277484
"g6962","B",1.54738040931645
"g26373","B",1.7507591885934
"g13923","B",1.89636762017589
"g26630","B",0.942356108843502
"g28053","B",1.69277358477084
"g26460","B",1.22546702050174
"g29252","B",2.84069826926279
"g3516","B",1.61051630812893
"g8424","B",1.70884241451635
"g16594","B",-1.66141447237427
"g7603","B",1.36534027952802
"g26647","B",0.823020526998537
"g5509","B",1.8103888689986
"g5743","B",-1.39344106354285
"g17937","B",2.14327672869154
"g16633","B",-1.41752526831635
"g11873","B",1.75894924556066
"g2966","B",0.921440828282672
"g18172","B",-2.35638071454301
"g12372","B",-1.4023636295526
"g19596","B",2.59451894035257
"g2802","B",1.48885996239362
"g15547","B",1.52320093632038
