"gene","Compartment","log2FoldChange"
"g1280","A",-6.81187401714596
"g8130","A",-8.37302615868655
"g21161","A",-8.39424651940288
"g18825","A",6.26405984257542
"g10125","A",7.00249705930906
"g641","A",-8.49295950641731
"g21160","A",-7.24474502740885
"g10586","A",7.29151326390368
"g11464","A",-12.0159183743736
"g6996","A",-6.45999384457166
"g11032","A",-5.56495058995124
"g5830","A",8.7565216955327
"g26104","A",8.23595589543738
"g26148","A",7.24006406606194
"g7480","A",3.95307257390325
"g394","A",-6.86435067361599
"g21403","A",5.0217600499437
"g10695","A",-5.37771944135898
"g6672","A",-11.2330612358212
"g5828","A",5.26287651041862
"g27071","A",-9.37154389821976
"g29493","A",6.74759246036474
"g8134","A",-7.03944451141594
"g20469","A",8.64780050698423
"g17164","A",-7.52811525473136
"g5628","A",-8.21243757878831
"g3038","A",-4.36565791388758
"g22334","A",-3.31493637984331
"g1042","A",-5.04733631312842
"g3353","A",-2.93214859950831
"g8090","A",-3.45843786125094
"g15869","A",-11.6301617914093
"g7450","A",-11.2500366796359
"g21378","A",-4.92972384222296
"g23286","A",7.91415077043285
"g12061","A",7.34968937762438
"g5657","A",-8.26454030886061
"g10419","A",-4.68463396574556
"g16714","A",4.64497188054345
"g1357","A",5.03967269328483
"g6720","A",6.19882232488918
"g1248","A",9.57960185097766
"g12526","A",-8.94330802147442
"g10533","A",4.60097643562351
"g1654","A",3.70945661330769
"g7076","A",-4.67474161519329
"g6174","A",6.43853109636094
"g20426","A",4.38891401513455
"g10587","A",6.36678182092203
"g6673","A",-7.61229805372431
"g4200","A",-10.5181215663781
"g13448","A",-7.2521538588623
"g13447","A",-5.83697300706273
"g26900","A",-6.44291428942658
"g14440","A",5.45957198179416
"g837","A",-3.4589596908545
"g420","A",-2.83381579440187
"g4879","A",-3.97251315854796
"g21386","A",2.61908636387337
"g23351","A",-2.31072662789525
"g24056","A",7.9036906336059
"g12635","A",-10.1903754007386
"g5294","A",2.81157475839938
"g15979","A",-3.61795812949585
"g20162","A",-4.28883387187885
"g26103","A",6.18020412946919
"g4026","A",-11.4780231924406
"g1053","A",5.81237502231463
"g1247","A",7.90140069465491
"g7619","A",-7.02651598002803
"g2431","A",8.79381813309888
"g28459","A",-4.44489948759551
"g21404","A",-3.20645566942868
"g4877","A",-4.23195715611578
"g24994","A",-8.07803519111515
"g6214","A",-3.19994418498144
"g20883","A",3.45297352756736
"g24986","A",-10.2403777562884
"g22634","A",-2.79082018410421
"g1897","A",-7.02918001396691
"g1339","A",4.78724581353656
"g1970","A",-5.20764581337886
"g10510","A",5.9625289552455
"g17183","A",-2.77759064689567
"g29670","A",6.48983812210549
"g29","A",2.16035391970931
"g4311","A",-5.57502245998392
"g22624","A",-6.2061760730982
"g27079","A",3.88377272161455
"g27065","A",-7.59493676253116
"g8858","A",2.64509894155359
"g1690","A",3.55871907034766
"g4103","A",-6.46882160807584
"g505","A",2.1172296427987
"g26233","A",4.43307611596483
"g28384","A",3.22417767207658
"g10484","A",3.32351885544248
"g11162","A",-4.32420667816415
"g29505","A",6.50086740416508
"g10123","A",5.26408235808189
"g8341","A",4.32642798576163
"g21410","A",-6.27290551774643
"g23085","A",-5.20419120347639
"g989","A",-4.24227922844328
"g12555","A",3.43833884054174
"g12509","A",2.55689801658013
"g23335","A",-2.35861596144484
"g26147","A",8.68680158637999
"g61","A",-3.09954739088696
"g16670","A",-4.80286895922044
"g8874","A",-3.15171586722083
"g27294","A",-6.16448945046382
"g14669","A",3.3299446185428
"g13437","A",-8.56073227158584
"g20386","A",-1.98015073602281
"g4109","A",-5.24021077726177
"g24988","A",-5.04769677785917
"g11821","A",2.89642812537492
"g6802","A",-2.55081523030373
"g25279","A",2.67723910031326
"g4111","A",2.16934609779003
"g21453","A",-9.71991856659507
"g11947","A",-5.5243862910848
"g24969","A",-12.3336324978111
"g26150","A",-2.52830839514131
"g22068","A",2.78083466386129
"g10874","A",4.41200813107292
"g68","A",3.00325550719835
"g18605","A",4.10823938114778
"g29112","A",-4.36378510942209
"g18283","A",-4.16887509379701
"g8129","A",-5.66599108295545
"g24989","A",-4.44053531412414
"g27256","A",-6.58016921624306
"g10751","A",4.58420271484727
"g7998","A",-7.36262320858223
"g24095","A",2.27220701938872
"g22215","A",-2.18150812164176
"g13300","A",-2.32820848767173
"g4873","A",-3.5573125555922
"g11453","A",3.32655295277053
"g10944","A",-7.6445297859411
"g1872","A",-12.2454430083434
"g14844","A",-2.15577872090793
"g10472","A",-11.6693109015366
"g4259","A",-2.29535749268068
"g8091","A",3.31990230561196
"g893","A",-3.46900093993095
"g12754","A",-2.8897065126451
"g2442","A",4.60297983091427
"g20387","A",-4.28982477828676
"g6991","A",-3.08618567288722
"g16480","A",-8.35810223971967
"g21281","A",-3.02692489299597
"g21475","A",-12.0285086349682
"g10948","A",-6.52188646808219
"g10978","A",-4.6780772283433
"g1896","A",5.05257182134218
"g10470","A",-11.4404617307428
"g16135","A",2.04490753994785
"g26107","A",-2.89365447032327
"g18008","A",-1.77682180990999
"g6824","A",3.04546434340401
"g24990","A",5.57252719314996
"g27518","A",3.82487532977455
"g578","A",-4.60051112443241
"g11665","A",-11.509756126781
"g14655","A",-2.40440448928685
"g6502","A",-3.26664667638709
"g1129","A",-2.43644642053553
