"gene","Compartment","log2FoldChange"
"g21161","A",4.54541626495178
"g21410","A",7.74633793918267
"g15869","A",5.40735382786141
"g21470","A",6.42056471789135
"g7998","A",5.68844363865901
"g24987","A",4.43028781011699
"g7619","A",3.22100752932679
"g6593","A",-3.89804527967549
"g28453","A",-4.14330512066951
"g24994","A",4.86157931014732
"g4252","A",3.46128243532353
"g16690","A",2.29063485017805
"g24986","A",4.66910456969828
"g24993","A",3.77212766854313
"g20792","A",-4.48044428072926
"g23278","A",-2.60468756647517
"g3086","A",2.33945597666282
"g14530","A",3.30123106645736
"g10577","A",-3.23658403240796
"g641","A",2.30749922814032
"g1598","A",-1.65212544842846
"g6866","A",1.49599141790339
"g1857","A",-1.99696966849946
"g29504","A",-7.64869531650395
"g24991","A",4.73231167848132
"g5628","A",2.94818456326168
"g3181","A",-2.39553903810638
"g16328","A",1.92304656795949
"g29488","A",-6.14862963226107
"g24268","A",-3.73301780557857
"g10622","A",2.80363471088469
"g17183","A",1.65265550024224
"g21596","A",-7.30622261295313
"g21447","A",-3.50099329940178
"g29736","A",-2.19093205866657
"g11868","A",2.10441513014784
"g17351","A",2.61816204802573
"g23286","A",-2.70348629659662
"g8916","A",2.49645342170956
"g29769","A",-3.91481487643819
"g20821","A",-3.87590976483643
"g29493","A",-5.85660136577302
"g26900","A",2.84775073352202
"g21442","A",-2.4163566734243
"g5655","A",-2.73147287672915
"g23335","A",-1.55780439214211
"g5831","A",2.90900723694994
"g27531","A",3.33539890931445
"g4920","A",-3.2368381571591
"g26104","A",-2.27460871649701
"g8341","A",-2.11711112113348
"g29505","A",-3.28517636644929
"g24988","A",3.08524994471381
"g2431","A",-2.94790615794263
"g26148","A",-2.15663492125658
"g6678","A",2.32991503923817
"g10957","A",3.82233770224786
"g29768","A",1.66318459251809
"g6803","A",1.75146960429699
"g24992","A",2.99355705613397
"g10502","A",-2.27315323999042
"g14844","A",-1.22529261835681
"g61","A",-1.37516481159504
"g8160","A",2.47797070281117
"g10881","A",2.09595782493615
"g29377","A",4.92817555697119
"g1053","A",2.510992962816
"g10125","A",-1.56718109006771
"g28384","A",-1.44379088345734
"g8091","A",-1.9731676168962
"g16926","A",-1.85454456666139
"g16276","A",-1.61416987987135
