"gene","Compartment","log2FoldChange"
"g17076","A",-5.37973571427386
"g10778","A",5.14972819600871
"g5828","A",-4.67812176093634
"g1053","A",-7.22501108166964
"g15871","A",-6.08226995600859
"g21160","A",-4.48356262099254
"g6593","A",-4.4811406264274
"g26233","A",-5.17400891396015
"g26912","A",-3.68388671950675
"g29736","A",-4.05848232865304
"g10584","A",4.21710867449976
"g16641","A",6.31604886999752
"g21471","A",4.84072864554274
"g15870","A",-4.6030987348064
"g1052","A",-15.2102941770737
"g3109","A",8.30959189231679
"g8874","A",-3.71328569036019
"g6174","A",-5.58729205729977
"g5830","A",-5.18779889783062
"g5664","A",-4.82339340086361
"g10665","A",-6.81871155431681
"g1691","A",-2.61884890533024
"g29","A",-2.0205296970571
"g29729","A",-3.12938967938448
"g21472","A",7.45888084515763
"g19733","A",-4.35875490843177
"g21419","A",4.19917700099126
"g21442","A",10.2219886886094
"g2341","A",3.3228476797538
"g10874","A",-4.22894391803497
"g13396","A",-3.25492614156968
"g16520","A",-3.16895010011354
"g21013","A",-3.15269125627162
"g22507","A",-2.60274012222164
"g26098","A",-3.08006776788861
"g29679","A",-5.33700421132767
"g10125","A",-2.55338545038106
"g6213","A",-2.22835029205101
"g7619","A",4.61284831555755
"g10780","A",3.59493387218304
"g7035","A",2.15178164033299
"g12730","A",-3.53731129046616
"g22634","A",-2.14387624980644
"g26141","A",-2.9976351329847
"g17497","A",-1.83258627596727
"g13316","A",3.57960166119132
"g4103","A",-4.91212610227312
"g12555","A",-12.118837317838
"g18825","A",-2.09599703607479
"g24990","A",-3.26601915950489
"g26104","A",-3.59023500950898
"g10587","A",3.80673541075848
"g1156","A",2.86819558908506
"g24005","A",4.48563129293078
"g11747","A",-2.34591902409988
"g6866","A",-1.80033436935497
"g2442","A",-3.54607605527847
"g28285","A",5.34225093959826
"g14440","A",-3.73809897948532
"g8005","A",-2.12945908967971
"g88","A",5.87149953771037
"g16480","A",2.92756525979946
"g7279","A",-1.78046820899911
"g4303","A",-2.21328945537216
"g2050","A",2.48186140983958
"g16639","A",7.15989814408396
"g7251","A",-2.26673844264434
"g10578","A",4.6374503761447
"g6214","A",-2.1612681961501
"g22624","A",4.32712124927615
"g6502","A",3.01891718056393
"g10957","A",-5.41933961444999
"g1407","A",-1.59706353852698
"g7676","A",-2.31893649609341
"g15979","A",-2.49204040203826
"g16424","A",-2.31041261583877
"g26894","A",-2.63217466789496
"g27017","A",-1.77506008132804
"g24351","A",-4.31502528679806
"g19734","A",-3.59991143560862
"g1280","A",-1.85435931356759
"g5825","A",4.58031414690361
"g901","A",1.88005142354669
"g28794","A",10.7241040983781
"g61","A",-1.99184059670523
"g24095","A",1.93694285671384
"g17834","A",5.95543870905929
"g19802","A",-2.64166067021729
"g7897","A",-1.72581645608065
"g29680","A",-3.820983475011
"g1129","A",-2.26892869174858
"g10952","A",2.71319818069961
"g11453","A",-2.51609220054405
"g20109","A",-2.40797315037414
"g21152","A",-1.38824889113213
"g24915","A",-2.54771125636019
"g62","A",3.73171430968211
"g12851","A",-10.5996328457426
"g7837","A",5.05828431921276
"g22177","A",2.28183531523864
"g12061","A",-5.82710748391892
"g10870","A",-2.79803971584248
"g29670","A",3.00787590536605
"g12509","A",-1.71844839972402
"g11596","A",-1.69923416006284
"g20358","A",-2.4293872396726
"g17023","A",4.97278298624376
"g10585","A",-3.64607795257156
"g7261","A",4.11533463930927
"g4879","A",-9.79226709068755
"g10658","A",4.80719873772898
"g18475","A",5.83794388936337
"g21405","A",-1.67034144269376
"g16386","A",1.3765072498497
"g5400","A",-1.53037483672012
"g7209","A",-2.10647398722511
"g6733","A",-4.04018356314084
"g11821","A",-2.14942506442945
"g3173","A",-1.90213574077671
"g10888","A",4.2168707816938
"g808","A",-1.6558500678196
"g7288","A",-1.51334031088904
"g10978","A",6.22781693896036
"g28793","A",3.66181808686609
"g4258","A",-4.40743486097103
"g22219","A",3.09698551556395
"g10577","A",3.74244817958767
"g14998","A",-2.46217731859826
"g3084","A",-2.41570644963452
"g16848","A",-1.56068184793686
"g7195","A",-2.36292816511286
"g20301","A",9.51575455943159
"g21069","A",2.33616790770159
"g21404","A",1.91503862343411
"g14844","A",1.7823696742167
"g13196","A",-3.6149567989947
"g10463","A",4.8882558805678
"g17039","A",2.92368585606146
"g23286","A",2.90218766276959
"g940","A",-1.84336017794216
"g1996","A",-3.47009654646856
"g22032","A",7.28425314030598
"g13398","A",3.51022003040799
"g16643","A",-3.72066005585469
"g4877","A",-9.105074494353
"g4185","A",8.71783891907594
"g16971","A",4.25343968024306
"g11311","A",-6.76118954870917
"g14867","A",-3.61606223525454
"g29499","A",-4.53524459978166
"g16773","A",2.63025952435928
"g16573","A",-3.18575382222762
"g28792","A",3.83345437092656
"g15035","A",-1.48845844478104
"g29478","A",4.88994670659064
"g10953","A",9.04621614796235
"g24993","A",3.19182439932659
"g11378","A",-1.72940048112397
"g16797","A",-1.80894415106406
"g13325","A",2.96926432899548
"g1970","A",-2.79796680874912
"g21581","A",4.13634465402383
"g6190","A",-2.4528685360989
"g29765","A",-2.60966566253264
"g6731","A",-3.08214038188871
"g24033","A",8.84378372820682
"g16850","A",-1.6964876916579
"g16756","A",-1.38785215334687
"g837","A",-2.25855235657449
"g4873","A",-8.80494997128493
"g21111","A",2.63534820575245
"g22548","A",-3.38426412068273
"g26103","A",-3.24562841414625
"g12754","A",-2.23931092972983
"g24989","A",-4.82887661330075
"g3086","A",2.29470370440721
"g1054","A",2.03103079682594
"g4731","A",-3.53085907889069
"g21491","A",2.81264253486591
"g29730","A",-2.12669883480093
"g10751","A",1.8134188109249
"g20788","A",8.2525315112519
"g29505","A",-3.23923184545687
"g4872","A",-8.74721714549849
"g21110","A",2.22873782893122
"g20305","A",9.09643260628996
"g25008","A",-1.99563696605872
"g7900","A",-8.84091660737611
"g1248","A",-2.99392197667034
"g14889","A",-2.32375552898571
"g25335","A",9.21517164120033
"g6825","A",5.21817146401687
"g23311","A",3.26673834253226
"g16787","A",-1.44381665308302
