,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g11265,3691.70166458829,-8.08205435289041,0.274583095780648,-29.4339108163701,2.02288549561484e-190,3.62217876844794e-186
g11266,3740.42375636776,-8.74586957809168,0.318487555240678,-27.4606320849256,5.18672083531865e-166,4.64367116386079e-162
g1280,7133.20097934661,-6.81187401714596,0.256535496394259,-26.5533390618079,2.35001475240253e-155,1.4026454718839901e-151
g26776,3743.61203192768,-9.32020566787945,0.357744742222344,-26.0526698728861,1.2548243094283202e-149,5.61722102115587e-146
g8130,4256.21644211733,-8.37302615868655,0.328626826697288,-25.4788272851482,3.38439340099134e-143,1.21201896476302e-139
g24671,5141.03054176408,6.77409617313728,0.266574386614287,25.4116543572466,1.87470766063567e-142,5.5947525618903996e-139
g26192,2191.1746030588,-8.22721079988793,0.328342902161096,-25.056764576721,1.47328655067894e-138,3.76866699663672e-135
g4882,5166.09208840247,-10.8224472477916,0.443288576243248,-24.4139998813164,1.21450093936309e-131,2.7183567275294296e-128
g21161,3038.9227453054,-8.39424651940288,0.345540651498926,-24.2930795059549,2.31992747516757e-130,4.61562459670561e-127
g20630,10009.6708523307,-7.34199469463123,0.303545447328423,-24.1874643788925,3.0144956768692997e-129,5.3977559590021794e-126
g20473,24986.3440958932,9.48618445913731,0.402694066598901,23.5568021631318,1.06920704401674e-122,1.74047466637852e-119
g20779,2139.52922687589,-6.91210196336061,0.301657223166992,-22.9137624844282,3.38783304168393e-116,5.0552115370327103e-113
g20807,2752.56665924158,-7.01179663137952,0.309315077426737,-22.6687838488581,9.10754519928808e-114,1.1648550309889401e-110
g29724,4876.65756334455,7.61683614115543,0.33598607759199,22.6700945341106,8.84040878916382e-114,1.1648550309889401e-110
g18794,4201.74542033668,-7.18559671900891,0.321588312786188,-22.3440853828116,1.3784206535274502e-110,1.6454666814708298e-107
g8865,14518.9719685082,-5.83261640680644,0.262362723590912,-22.2311170084548,1.71806016263817e-109,1.92272407951244e-106
g11151,20881.2604650311,9.039312660786,0.412899144536828,21.8923017409637,3.0758459493007003e-106,3.23977044518697e-103
