"TAD_ID","total_genes","DEG_total","DEG_filtered","mean_log2fc","se","ci_low","ci_high","significant"
"TAD_1",35,0,0,NA,NA,NA,NA,NA
"TAD_10",19,0,0,NA,NA,NA,NA,NA
"TAD_100",276,15,15,-0.00842136210790449,0.553792929228419,-1.09385550339561,1.0770127791798,FALSE
"TAD_101",24,0,0,NA,NA,NA,NA,NA
"TAD_102",27,1,1,NA,NA,NA,NA,NA
"TAD_103",26,3,3,NA,NA,NA,NA,NA
"TAD_104",73,10,10,1.46005930171157,0.988078611486055,-0.476574776801094,3.39669338022424,FALSE
"TAD_105",376,3,3,NA,NA,NA,NA,NA
"TAD_106",32,1,1,NA,NA,NA,NA,NA
"TAD_107",94,4,4,NA,NA,NA,NA,NA
"TAD_108",194,8,8,0.951723561048888,0.300932454355022,0.361895950513044,1.54155117158473,TRUE
"TAD_109",30,0,0,NA,NA,NA,NA,NA
"TAD_11",316,9,9,0.261392219344942,0.540751342622113,-0.7984804121944,1.32126485088428,FALSE
"TAD_110",229,14,14,1.30245396167989,0.370186365225576,0.576888685837763,2.02801923752202,TRUE
"TAD_111",10,1,1,NA,NA,NA,NA,NA
"TAD_112",141,4,4,NA,NA,NA,NA,NA
"TAD_113",51,1,1,NA,NA,NA,NA,NA
"TAD_114",27,3,3,NA,NA,NA,NA,NA
"TAD_115",154,9,9,1.79490255142372,0.117566567697321,1.56447207873697,2.02533302411047,TRUE
"TAD_116",126,2,2,NA,NA,NA,NA,NA
"TAD_117",44,2,2,NA,NA,NA,NA,NA
"TAD_118",60,5,5,NA,NA,NA,NA,NA
"TAD_119",26,0,0,NA,NA,NA,NA,NA
"TAD_12",178,8,8,-0.535154807766406,0.496654501858331,-1.50859763140874,0.438288015875923,FALSE
"TAD_120",97,3,3,NA,NA,NA,NA,NA
"TAD_121",121,4,4,NA,NA,NA,NA,NA
"TAD_122",10,0,0,NA,NA,NA,NA,NA
"TAD_123",335,12,12,1.43464596917475,0.353988074865695,0.740829342437984,2.12846259591151,TRUE
"TAD_124",310,8,8,1.81428873021139,0.233702606697151,1.35623162108498,2.27234583933781,TRUE
"TAD_125",187,13,13,0.0161176037981269,0.806354818532872,-1.5643378405263,1.59657304812256,FALSE
"TAD_126",40,5,5,NA,NA,NA,NA,NA
"TAD_127",14,1,1,NA,NA,NA,NA,NA
"TAD_128",46,7,7,-1.53071928436909,0.532367682158539,-2.57415994139983,-0.487278627338354,TRUE
"TAD_129",210,9,9,1.17582749744409,0.480616944816142,0.233818285604455,2.11783670928373,TRUE
"TAD_13",201,15,15,-0.568067486435315,0.511485502473217,-1.57057907128282,0.434444098412191,FALSE
"TAD_130",31,7,7,1.11846540897023,0.418534483861741,0.298137820601216,1.93879299733924,TRUE
"TAD_131",158,2,2,NA,NA,NA,NA,NA
"TAD_132",189,3,3,NA,NA,NA,NA,NA
"TAD_133",255,2,2,NA,NA,NA,NA,NA
"TAD_134",192,11,11,1.0328667284407,0.573922758191463,-0.092021877614566,2.15775533449597,FALSE
"TAD_135",134,5,5,NA,NA,NA,NA,NA
"TAD_136",61,0,0,NA,NA,NA,NA,NA
"TAD_137",29,2,2,NA,NA,NA,NA,NA
"TAD_138",119,3,3,NA,NA,NA,NA,NA
"TAD_139",100,2,2,NA,NA,NA,NA,NA
"TAD_14",76,2,2,NA,NA,NA,NA,NA
"TAD_140",70,2,2,NA,NA,NA,NA,NA
"TAD_141",135,4,4,NA,NA,NA,NA,NA
"TAD_142",263,10,10,0.303335898708632,0.660053064815096,-0.990368108328955,1.59703990574622,FALSE
"TAD_143",22,1,1,NA,NA,NA,NA,NA
"TAD_144",350,12,12,1.3934288861654,0.55727534057219,0.30116921864391,2.4856885536869,TRUE
"TAD_145",137,3,3,NA,NA,NA,NA,NA
"TAD_146",90,3,3,NA,NA,NA,NA,NA
"TAD_147",446,14,14,1.04836990322537,0.425229257114813,0.214920559280341,1.88181924717041,TRUE
"TAD_148",167,8,8,1.46737272451601,0.42054430540779,0.643105885916738,2.29163956311528,TRUE
"TAD_149",121,3,3,NA,NA,NA,NA,NA
"TAD_15",31,2,2,NA,NA,NA,NA,NA
"TAD_150",91,4,4,NA,NA,NA,NA,NA
"TAD_151",60,3,3,NA,NA,NA,NA,NA
"TAD_152",22,1,1,NA,NA,NA,NA,NA
"TAD_153",145,5,5,NA,NA,NA,NA,NA
"TAD_154",16,0,0,NA,NA,NA,NA,NA
"TAD_155",80,1,1,NA,NA,NA,NA,NA
"TAD_156",69,5,5,NA,NA,NA,NA,NA
"TAD_16",440,21,21,1.78484433423096,0.298316245225208,1.20014449358956,2.36954417487237,TRUE
"TAD_17",103,2,2,NA,NA,NA,NA,NA
"TAD_18",425,10,10,0.206465188861801,0.494058675337373,-0.76188981479945,1.17482019252305,FALSE
"TAD_19",114,6,6,1.35739113768734,0.124889335602141,1.11260803990715,1.60217423546754,TRUE
"TAD_2",78,0,0,NA,NA,NA,NA,NA
"TAD_20",287,6,6,-0.482363346835723,0.586122988592483,-1.63116440447699,0.666437710805544,FALSE
"TAD_21",92,5,5,NA,NA,NA,NA,NA
"TAD_22",4,0,0,NA,NA,NA,NA,NA
"TAD_23",113,3,3,NA,NA,NA,NA,NA
"TAD_24",282,4,4,NA,NA,NA,NA,NA
"TAD_25",308,15,15,0.516378230710685,0.595662992242908,-0.651121234085414,1.68387769550678,FALSE
"TAD_26",130,13,13,1.70161647193381,0.35536017647906,1.00511052603485,2.39812241783277,TRUE
"TAD_27",37,1,1,NA,NA,NA,NA,NA
"TAD_28",84,6,6,1.58007434343582,0.289731304880431,1.01220098587017,2.14794770100146,TRUE
"TAD_29",329,9,9,0.681820438058461,0.610196259468342,-0.514164230499488,1.87780510661641,FALSE
"TAD_3",42,0,0,NA,NA,NA,NA,NA
"TAD_30",58,7,7,1.9515597411521,0.617106427693041,0.742031142873738,3.16108833943046,TRUE
"TAD_31",20,1,1,NA,NA,NA,NA,NA
"TAD_32",10,0,0,NA,NA,NA,NA,NA
"TAD_33",243,12,12,-0.608238362578688,0.507295886283903,-1.60253829969514,0.386061574537763,FALSE
"TAD_34",1,0,0,NA,NA,NA,NA,NA
"TAD_35",47,3,3,NA,NA,NA,NA,NA
"TAD_36",291,8,8,0.644972020247566,0.537318065135559,-0.408171387418129,1.69811542791326,FALSE
"TAD_37",20,0,0,NA,NA,NA,NA,NA
"TAD_38",149,4,4,NA,NA,NA,NA,NA
"TAD_39",90,10,10,0.395574498752463,0.603963189303193,-0.788193352281795,1.57934234978672,FALSE
"TAD_4",87,2,2,NA,NA,NA,NA,NA
"TAD_40",68,5,5,NA,NA,NA,NA,NA
"TAD_41",29,0,0,NA,NA,NA,NA,NA
"TAD_42",51,3,3,NA,NA,NA,NA,NA
