"TAD_ID","total_genes","DEG_total","DEG_filtered","mean_log2fc","se","ci_low","ci_high","significant"
"TAD_1",35,11,11,0.108295459160131,0.676766232507426,-1.21816635655442,1.43475727487469,FALSE
"TAD_10",19,0,0,NA,NA,NA,NA,NA
"TAD_100",276,113,113,-0.835126162120804,0.307220173794836,-1.43727770275868,-0.232974621482926,TRUE
"TAD_101",24,0,0,NA,NA,NA,NA,NA
"TAD_102",27,4,4,NA,NA,NA,NA,NA
"TAD_103",26,17,17,-3.13590598480415,0.651945530786778,-4.41371922514623,-1.85809274446206,TRUE
"TAD_104",73,27,27,-0.46401204602224,0.784906144116961,-2.00242808849148,1.074403996447,FALSE
"TAD_105",376,139,139,-2.99675587334553,0.30354680185009,-3.5917076049717,-2.40180414171935,TRUE
"TAD_106",32,10,10,1.23116828094337,0.877541566236097,-0.488813188879379,2.95114975076612,FALSE
"TAD_107",94,30,30,2.61954250950764,0.718170507837078,1.21192831414697,4.02715670486831,TRUE
"TAD_108",194,65,65,-1.55439183809133,0.354159990922639,-2.24854542029971,-0.860238255882962,TRUE
"TAD_109",30,14,14,-2.33623531115864,0.911879750835092,-4.12351962279542,-0.548950999521861,TRUE
"TAD_11",316,137,137,-1.1223397919501,0.320111724376784,-1.7497587717286,-0.494920812171603,TRUE
"TAD_110",229,102,102,-0.413751106892523,0.293539482067281,-0.989088491744394,0.161586277959348,FALSE
"TAD_111",10,2,2,NA,NA,NA,NA,NA
"TAD_112",141,53,53,-0.339896095685221,0.521102419936223,-1.36125683876022,0.681464647389776,FALSE
"TAD_113",51,27,27,-0.897945659195355,0.666628298433589,-2.20453712412519,0.408645805734479,FALSE
"TAD_114",27,17,17,-1.24029044463546,1.06607315389242,-3.32979382626459,0.849212936993681,FALSE
"TAD_115",154,79,79,-0.120252227364446,0.315276306373507,-0.738193787856519,0.497689333127628,FALSE
"TAD_116",126,44,44,-0.581024949843737,0.322210795678438,-1.21255810937347,0.0505082096860017,FALSE
"TAD_117",44,10,10,0.638241749769803,0.652275915834788,-0.640219045266381,1.91670254480599,FALSE
"TAD_118",60,36,36,-0.344527599012971,0.497052460038379,-1.3187504206882,0.629695222662253,FALSE
"TAD_119",26,0,0,NA,NA,NA,NA,NA
"TAD_12",178,70,69,-0.457075108704864,0.364783921289198,-1.17205159443169,0.257901377021965,FALSE
"TAD_120",97,17,17,-0.473421517459486,0.756323906528556,-1.95581637425546,1.00897333933648,FALSE
"TAD_121",121,48,48,-0.513538243851269,0.382258639061253,-1.26276517641133,0.235688688708788,FALSE
"TAD_122",10,8,8,-2.42743169186651,1.47353390798543,-5.31555815151795,0.46069476778493,FALSE
"TAD_123",335,100,100,-1.86234573020964,0.375928251748019,-2.59916510363576,-1.12552635678352,TRUE
"TAD_124",310,101,101,-0.527446254124698,0.345058114212346,-1.20376015798089,0.1488676497315,FALSE
"TAD_125",187,61,61,-1.64562932477222,0.498002147076718,-2.62171353304259,-0.669545116501853,TRUE
"TAD_126",40,25,25,-2.2508125199423,0.727320047498259,-3.67635981303889,-0.825265226845711,TRUE
"TAD_127",14,6,6,-1.14704855638378,1.1405285280318,-3.38248447132612,1.08838735855856,FALSE
"TAD_128",46,17,17,-0.688072970155736,0.985204653118724,-2.61907409026843,1.24292814995696,FALSE
"TAD_129",210,90,90,-0.355251309559634,0.317107008557779,-0.976781046332882,0.266278427213613,FALSE
"TAD_13",201,59,59,-0.890679218369754,0.422662109158477,-1.71909695232037,-0.0622614844191398,TRUE
"TAD_130",31,21,21,0.433606899087698,0.585697473733319,-0.714360149429607,1.581573947605,FALSE
"TAD_131",158,51,50,-2.35341612444733,0.423984506322457,-3.18442575683935,-1.52240649205532,TRUE
"TAD_132",189,73,73,-0.543378102612475,0.347968268949497,-1.22539590975349,0.138639704528539,FALSE
"TAD_133",255,97,97,-0.453183580564305,0.360282548944674,-1.15933737649587,0.252970215367257,FALSE
"TAD_134",192,111,111,-0.451300635229769,0.289113921314688,-1.01796392100656,0.115362650547019,FALSE
"TAD_135",134,39,39,-0.705567838486537,0.478036814651469,-1.64251999520342,0.231384318230341,FALSE
"TAD_136",61,0,0,NA,NA,NA,NA,NA
"TAD_137",29,19,19,-1.69849439023914,1.06753251196313,-3.79085811368689,0.393869333208598,FALSE
"TAD_138",119,39,39,-1.24539346426902,0.587093828531599,-2.39609736819096,-0.0946895603470888,TRUE
"TAD_139",100,31,31,0.0886769709107082,0.466023604036011,-0.824729292999874,1.00208323482129,FALSE
"TAD_14",76,37,37,-0.668565222546403,0.622257264488512,-1.88818946094389,0.551059015851081,FALSE
"TAD_140",70,28,28,-2.44702034277348,0.892772724449116,-4.19685488269374,-0.69718580285321,TRUE
"TAD_141",135,58,58,-3.42250493464324,0.47232724712898,-4.34826633901605,-2.49674353027044,TRUE
"TAD_142",263,86,86,-3.34547354326323,0.489720912960811,-4.30532653266642,-2.38562055386004,TRUE
"TAD_143",22,15,15,-1.91357753951988,1.2204553672623,-4.30567005935398,0.47851498031423,FALSE
"TAD_144",350,91,91,-1.84710371385844,0.360492937313489,-2.55366987099288,-1.14053755672401,TRUE
"TAD_145",137,35,35,-0.0263912512823261,0.505266876149574,-1.01671432853549,0.963931825970838,FALSE
"TAD_146",90,38,38,-1.73068169103012,0.64335667435923,-2.99166077277421,-0.469702609286026,TRUE
"TAD_147",446,130,130,-1.68743229953496,0.416567695693052,-2.50390498309334,-0.870959615976581,TRUE
"TAD_148",167,68,67,-1.33817526000784,0.596064821982746,-2.50646231109402,-0.169888208921657,TRUE
"TAD_149",121,52,52,-1.64099609092608,0.492936796758856,-2.60715221257344,-0.674839969278722,TRUE
"TAD_15",31,17,17,-1.67071537584888,0.846683919862207,-3.33021585877881,-0.0112148929189575,TRUE
"TAD_150",91,39,39,-1.85382345516789,0.727951448579135,-3.280608294383,-0.427038615952787,TRUE
"TAD_151",60,15,15,-2.07107822462143,1.15601811987882,-4.33687373958392,0.19471729034106,FALSE
"TAD_152",22,5,5,NA,NA,NA,NA,NA
"TAD_153",145,41,41,-0.308846655605117,0.551626412438245,-1.39003442398408,0.772341112773844,FALSE
"TAD_154",16,10,10,0.368255538598794,0.658625722484311,-0.922650877470455,1.65916195466804,FALSE
"TAD_155",80,29,29,-2.94099830182651,0.673827271203634,-4.26169975338563,-1.62029685026739,TRUE
"TAD_156",69,31,31,0.260676989700297,0.434710534735868,-0.591355658382004,1.1127096377826,FALSE
"TAD_16",440,196,196,-0.588498811413226,0.216247858508775,-1.01234461409042,-0.164653008736028,TRUE
"TAD_17",103,39,39,-0.324924850405331,0.480553852333555,-1.2668104009791,0.616960700168436,FALSE
"TAD_18",425,158,158,-0.861608777075572,0.24002156678398,-1.33205104797217,-0.391166506178972,TRUE
"TAD_19",114,52,52,-1.26900391031418,0.464481396165006,-2.17938744679759,-0.358620373830767,TRUE
"TAD_2",78,44,44,-0.236676358719065,0.482424511696481,-1.18222840164417,0.708875684206037,FALSE
"TAD_20",287,130,129,-0.532913501468174,0.223274787432818,-0.970532084836496,-0.095294918099851,TRUE
"TAD_21",92,51,51,-1.31158152312514,0.471113134901405,-2.2349632675319,-0.388199778718389,TRUE
"TAD_22",4,0,0,NA,NA,NA,NA,NA
"TAD_23",113,57,57,-1.3855715839723,0.413000083255703,-2.19505174715348,-0.576091420791123,TRUE
"TAD_24",282,76,76,-1.26584551616662,0.358210525617546,-1.96793814637701,-0.563752885956233,TRUE
"TAD_25",308,113,112,-0.724958869379013,0.334304416637846,-1.38019552598919,-0.0697222127688342,TRUE
