"TAD_ID","total_genes","DEG_total","DEG_filtered","mean_log2fc","se","ci_low","ci_high","significant"
"TAD_1",35,2,2,NA,NA,NA,NA,NA
"TAD_10",19,0,0,NA,NA,NA,NA,NA
"TAD_100",276,27,27,0.101253689627092,0.478369547960111,-0.836350624374726,1.03885800362891,FALSE
"TAD_101",24,0,0,NA,NA,NA,NA,NA
"TAD_102",27,2,2,NA,NA,NA,NA,NA
"TAD_103",26,4,4,NA,NA,NA,NA,NA
"TAD_104",73,12,12,-0.988931203273314,1.08352813181783,-3.11264634163626,1.13478393508963,FALSE
"TAD_105",376,15,15,-0.261522401899383,0.663205561881657,-1.56140530318743,1.03836049938866,FALSE
"TAD_106",32,3,3,NA,NA,NA,NA,NA
"TAD_107",94,5,5,NA,NA,NA,NA,NA
"TAD_108",194,16,16,0.834994576693599,0.441263418664751,-0.0298817238893128,1.69987087727651,FALSE
"TAD_109",30,1,1,NA,NA,NA,NA,NA
"TAD_11",316,44,44,0.498595906206582,0.320656526176754,-0.129890885099857,1.12708269751302,FALSE
"TAD_110",229,27,27,-0.463406625871196,0.385433425059137,-1.2188561389871,0.292042887244712,FALSE
"TAD_111",10,2,2,NA,NA,NA,NA,NA
"TAD_112",141,16,16,0.710146953003256,0.616389341060293,-0.497976155474919,1.91827006148143,FALSE
"TAD_113",51,5,5,NA,NA,NA,NA,NA
"TAD_114",27,6,6,0.449265340325402,0.68403346123475,-0.891440243694708,1.78997092434551,FALSE
"TAD_115",154,17,17,-0.992415377364303,0.60748863210548,-2.18309309629104,0.198262341562437,FALSE
"TAD_116",126,6,6,-0.913306032597447,0.541080365130605,-1.97382354825343,0.147211483058539,FALSE
"TAD_117",44,2,2,NA,NA,NA,NA,NA
"TAD_118",60,14,14,-0.965136011137548,0.614944663953108,-2.17042755248564,0.240155530210543,FALSE
"TAD_119",26,0,0,NA,NA,NA,NA,NA
"TAD_12",178,20,20,0.142314065908259,0.360463393291175,-0.564194184942445,0.848822316758963,FALSE
"TAD_120",97,4,4,NA,NA,NA,NA,NA
"TAD_121",121,11,11,0.242996096988264,0.432679102256775,-0.605054943435015,1.09104713741154,FALSE
"TAD_122",10,1,1,NA,NA,NA,NA,NA
"TAD_123",335,38,38,0.651079355862558,0.350028000606929,-0.0349755253270229,1.33713423705214,FALSE
"TAD_124",310,26,26,0.333135575411521,0.428962574188813,-0.507631069998553,1.1739022208216,FALSE
"TAD_125",187,20,20,-0.400299117358625,0.500643898387407,-1.38156115819794,0.580962923480693,FALSE
"TAD_126",40,10,10,2.59433766342681,0.852521588602068,0.923395349766761,4.26527997708687,TRUE
"TAD_127",14,3,3,NA,NA,NA,NA,NA
"TAD_128",46,9,9,-1.44842028181369,0.577278722058761,-2.57988657704886,-0.316953986578519,TRUE
"TAD_129",210,18,18,0.191082176741525,0.444873067034752,-0.680869034646589,1.06303338812964,FALSE
"TAD_13",201,12,12,0.634414476578649,0.561254086360923,-0.465643532688759,1.73447248584606,FALSE
"TAD_130",31,10,10,-0.0960781613775846,0.418745563240045,-0.916819465328072,0.724663142572903,FALSE
"TAD_131",158,13,13,1.4881179695321,0.467109757840326,0.57258284416506,2.40365309489914,TRUE
"TAD_132",189,17,17,0.225617779152023,0.414951632389541,-0.587687420331478,1.03892297863552,FALSE
"TAD_133",255,12,12,-1.24944372606886,0.790788438678261,-2.79938906587825,0.300501613740533,FALSE
"TAD_134",192,23,23,-0.809924965940157,0.354210299099023,-1.50417715217424,-0.115672779706072,TRUE
"TAD_135",134,15,15,-0.228383157590649,0.581097019622031,-1.36733331604983,0.910567000868532,FALSE
"TAD_136",61,0,0,NA,NA,NA,NA,NA
"TAD_137",29,4,4,NA,NA,NA,NA,NA
"TAD_138",119,9,9,1.26387400584944,0.688692706781248,-0.0859636994418034,2.61371171114069,FALSE
"TAD_139",100,11,11,-0.351290179429955,0.587802914220843,-1.50338389130281,0.800803532442897,FALSE
"TAD_14",76,9,9,0.538389042292379,0.583022898270587,-0.604335838317972,1.68111392290273,FALSE
"TAD_140",70,11,11,0.408754078183125,0.477130302837429,-0.526421315378236,1.34392947174449,FALSE
"TAD_141",135,11,11,1.20129436109002,0.462295817843129,0.295194558117485,2.10739416406255,TRUE
"TAD_142",263,18,18,0.374192656980523,0.435771756252911,-0.479919985275182,1.22830529923623,FALSE
"TAD_143",22,1,1,NA,NA,NA,NA,NA
"TAD_144",350,16,16,-0.794036883295945,0.67764980000089,-2.12223049129769,0.5341567247058,FALSE
"TAD_145",137,12,12,-1.22579707618525,1.05557735194437,-3.2947286859962,0.843134533625713,FALSE
"TAD_146",90,8,8,0.110045976453407,1.01768309756059,-1.88461289476536,2.10470484767217,FALSE
"TAD_147",446,31,31,-0.714334789184272,0.434210795256801,-1.5653879478876,0.136718369519058,FALSE
"TAD_148",167,24,24,0.335832646863312,0.442539225390916,-0.531544234902883,1.20320952862951,FALSE
"TAD_149",121,6,6,0.760650688139545,0.727436215551359,-0.665124294341119,2.18642567062021,FALSE
"TAD_15",31,6,6,-0.0633058106525483,0.777185897734907,-1.58659017021297,1.45997854890787,FALSE
"TAD_150",91,4,4,NA,NA,NA,NA,NA
"TAD_151",60,5,5,NA,NA,NA,NA,NA
"TAD_152",22,1,1,NA,NA,NA,NA,NA
"TAD_153",145,10,10,-0.243877956036987,0.871255687196082,-1.95153910294131,1.46378319086733,FALSE
"TAD_154",16,2,2,NA,NA,NA,NA,NA
"TAD_155",80,11,11,-1.21969812373488,0.63350511229432,-2.46136814383175,0.0219718963619897,FALSE
"TAD_156",69,9,9,-1.1864658684673,0.728062986266083,-2.61346932154882,0.240537584614223,FALSE
"TAD_16",440,68,68,-0.446124907080401,0.264392593409405,-0.964334390162835,0.0720845760020332,FALSE
"TAD_17",103,3,3,NA,NA,NA,NA,NA
"TAD_18",425,30,30,0.336659245638167,0.391080843686936,-0.429859207988228,1.10317769926456,FALSE
"TAD_19",114,14,14,1.21079935706164,0.611339430067412,0.0125740741295166,2.40902463999377,TRUE
"TAD_2",78,11,11,0.0293936258213497,0.698455342356547,-1.33957884519748,1.39836609684018,FALSE
"TAD_20",287,27,27,0.41201016992824,0.286528577621963,-0.149585842210808,0.973606182067289,FALSE
"TAD_21",92,8,8,0.818838166200947,0.763747737010049,-0.678107398338749,2.31578373074064,FALSE
"TAD_22",4,0,0,NA,NA,NA,NA,NA
"TAD_23",113,15,15,-0.683028606935158,0.402250599448049,-1.47143978185334,0.105382567983018,FALSE
"TAD_24",282,20,20,-0.145292991900962,0.626299166091261,-1.37283935743983,1.08225337363791,FALSE
"TAD_25",308,28,28,-0.305325338493703,0.595592301958548,-1.47268625033246,0.862035573345051,FALSE
"TAD_26",130,27,27,-0.516531893394036,0.410093030923134,-1.32031423400338,0.287250447215306,FALSE
"TAD_27",37,3,3,NA,NA,NA,NA,NA
"TAD_28",84,3,3,NA,NA,NA,NA,NA
"TAD_29",329,27,27,-0.0724357701847937,0.321499851561453,-0.702575479245241,0.557703938875654,FALSE
"TAD_3",42,1,1,NA,NA,NA,NA,NA
"TAD_30",58,7,7,-2.55148289242185,0.463877764804618,-3.4606833114389,-1.64228247340479,TRUE
"TAD_31",20,4,4,NA,NA,NA,NA,NA
"TAD_32",10,3,3,NA,NA,NA,NA,NA
"TAD_33",243,42,42,0.060196101554123,0.317896113601053,-0.562880281103941,0.683272484212187,FALSE
"TAD_34",1,0,0,NA,NA,NA,NA,NA
"TAD_35",47,5,5,NA,NA,NA,NA,NA
"TAD_36",291,30,30,0.99883044937159,0.293485611343041,0.423598651139229,1.57406224760395,TRUE
"TAD_37",20,4,4,NA,NA,NA,NA,NA
"TAD_38",149,13,13,0.316373938989318,0.526430113577689,-0.715429083622952,1.34817696160159,FALSE
"TAD_39",90,15,15,0.401090125707085,0.461162027949181,-0.50278744907331,1.30496770048748,FALSE
"TAD_4",87,9,9,-0.33080977822816,0.746210381424537,-1.79338212582025,1.13176256936393,FALSE
"TAD_40",68,14,14,0.440904322719299,0.464541884681524,-0.469597771256488,1.35140641669509,FALSE
"TAD_41",29,2,2,NA,NA,NA,NA,NA
"TAD_42",51,8,8,1.08786595609278,0.290083986928643,0.51930134171264,1.65643057047292,TRUE
"TAD_43",318,29,29,-0.707835468990503,0.575896874101875,-1.83659334223018,0.420922404249172,FALSE
"TAD_44",136,9,9,0.269375539754863,0.473199177348012,-0.65809484784724,1.19684592735697,FALSE
"TAD_45",313,24,24,0.116425668460692,0.395125261833233,-0.658019844732444,0.890871181653829,FALSE
"TAD_46",247,17,17,1.90087634836035,0.637798684253949,0.650790927222613,3.15096176949809,TRUE
"TAD_47",124,0,0,NA,NA,NA,NA,NA
"TAD_48",68,3,3,NA,NA,NA,NA,NA
"TAD_49",225,16,16,0.480331227960445,0.650951897759328,-0.795534491647839,1.75619694756873,FALSE
"TAD_5",291,32,32,0.454827114549943,0.307774160431051,-0.148410239894918,1.0580644689948,FALSE
"TAD_50",6,0,0,NA,NA,NA,NA,NA
"TAD_51",187,19,19,-0.980841320380145,0.406921634896007,-1.77840772477632,-0.183274915983972,TRUE
"TAD_52",104,10,10,-0.564641605341974,0.486832503265948,-1.51883331174323,0.389550101059285,FALSE
"TAD_53",260,20,20,-0.574330475612649,0.364722879685612,-1.28918731979645,0.140526368571151,FALSE
"TAD_54",430,32,32,0.178993418185767,0.362304850656922,-0.531124089101801,0.889110925473334,FALSE
"TAD_55",81,7,7,0.372707465174535,0.872651461736504,-1.33768939982901,2.08310433017808,FALSE
"TAD_56",222,14,14,-1.11407790900925,0.889686517431606,-2.8578634831752,0.629707665156698,FALSE
"TAD_57",106,11,11,-0.278641441926375,0.422516260315396,-1.10677331214455,0.549490428291801,FALSE
"TAD_58",202,15,15,-0.779992965067093,0.460177188241849,-1.68194025402112,0.121954323886932,FALSE
"TAD_59",79,5,5,NA,NA,NA,NA,NA
"TAD_6",39,3,3,NA,NA,NA,NA,NA
"TAD_60",44,4,4,NA,NA,NA,NA,NA
"TAD_61",25,0,0,NA,NA,NA,NA,NA
"TAD_62",132,14,14,-0.304046818448855,0.767900320978002,-1.80913144756574,1.20103781066803,FALSE
"TAD_63",48,3,3,NA,NA,NA,NA,NA
"TAD_64",112,9,9,0.480680656828003,0.548345961155881,-0.594077427037524,1.55543874069353,FALSE
"TAD_65",124,13,13,0.165677940612272,0.660477679011326,-1.12885831024993,1.46021419147447,FALSE
"TAD_66",126,13,13,0.629356763766804,0.411187377088499,-0.176570495326654,1.43528402286026,FALSE
"TAD_67",167,21,21,-1.29827067218812,0.24922366624676,-1.78674905803177,-0.809792286344475,TRUE
"TAD_68",95,12,12,-0.476780719077264,0.898864972820988,-2.2385560658064,1.28499462765187,FALSE
"TAD_69",21,1,1,NA,NA,NA,NA,NA
"TAD_7",108,7,7,0.0802048585372329,0.846491785916398,-1.57891904185891,1.73932875893337,FALSE
"TAD_70",60,2,2,NA,NA,NA,NA,NA
"TAD_71",5,0,0,NA,NA,NA,NA,NA
"TAD_72",375,32,32,-0.153945468897461,0.305743322591095,-0.753202381176007,0.445311443381086,FALSE
"TAD_73",73,4,4,NA,NA,NA,NA,NA
"TAD_74",619,51,51,0.145084157569287,0.329947100670132,-0.501612159744171,0.791780474882745,FALSE
"TAD_75",31,2,2,NA,NA,NA,NA,NA
"TAD_76",226,27,27,-2.02662688899394,0.403115351089064,-2.81673297712851,-1.23652080085938,TRUE
"TAD_77",69,10,10,0.144480544907183,0.332908767536592,-0.508020639464537,0.796981729278903,FALSE
"TAD_78",100,10,10,0.457416422252304,0.577446344636522,-0.674378413235279,1.58921125773989,FALSE
"TAD_79",246,17,17,1.62356277481299,0.609911339797794,0.428136548809318,2.81898900081667,TRUE
"TAD_8",51,3,3,NA,NA,NA,NA,NA
"TAD_80",74,7,7,0.60666793323002,0.517604015856526,-0.407835937848772,1.62117180430881,FALSE
"TAD_81",183,14,14,0.950877179073987,0.350593377819357,0.263714158548048,1.63804019959993,TRUE
"TAD_82",129,12,12,-0.0797631204391149,0.867871110135648,-1.78079049630499,1.62126425542676,FALSE
"TAD_83",144,15,15,0.645179396551147,0.461877105845689,-0.260099730906404,1.5504585240087,FALSE
"TAD_84",628,96,96,-1.69728320879353,0.218137557710524,-2.12483282190616,-1.26973359568091,TRUE
"TAD_85",21,3,3,NA,NA,NA,NA,NA
"TAD_86",151,6,6,-1.08208281316683,0.485213323568613,-2.03310092736131,-0.131064698972346,TRUE
"TAD_87",602,51,51,0.245952467012231,0.35299620488026,-0.445920094553078,0.93782502857754,FALSE
"TAD_88",176,17,17,-0.892737548343423,0.460085940864327,-1.79450599243751,0.0090308957506583,FALSE
"TAD_89",51,5,5,NA,NA,NA,NA,NA
"TAD_9",120,10,10,-0.34277143739253,0.560701828304086,-1.44174702086854,0.75620414608348,FALSE
"TAD_90",154,1,1,NA,NA,NA,NA,NA
"TAD_91",229,13,13,0.613051291214905,0.395763901071089,-0.162645954884429,1.38874853731424,FALSE
"TAD_92",41,2,2,NA,NA,NA,NA,NA
"TAD_93",14,0,0,NA,NA,NA,NA,NA
"TAD_94",139,3,3,NA,NA,NA,NA,NA
"TAD_95",101,5,5,NA,NA,NA,NA,NA
"TAD_96",274,16,16,-0.561396892056706,0.914198450404648,-2.35322585484982,1.2304320707364,FALSE
"TAD_97",65,2,2,NA,NA,NA,NA,NA
"TAD_98",161,11,11,-0.753030720182904,0.883547825836257,-2.48478445882197,0.97872301845616,FALSE
"TAD_99",328,16,16,0.491891043058883,0.480701311709989,-0.450283527892696,1.43406561401046,FALSE
