#####TF binding motif sequence distribution in anchor regions

motif_id        anchors_with_motif      anchors_without_motif   anchors_with_1_non_gene anchors_with_multiple_non_gene  anchors_with_only_gene
HTH_psq 46      326     28      14      4
zf-C2H2 315     57      100     183     32
bZIP_1  312     60      109     168     35
CENP-B_N        104     268     70      27      7
HSF_DNA-bind    219     153     106     82      31
CSD     107     265     69      10      28
HLH     206     166     103     71      32
Homeobox        176     196     103     48      25
Myb_DNA-binding 194     178     95      61      38
E2F_TDP 57      315     36      9       12
BrkDBD  68      304     48      5       15
CG-1    76      296     46      7       23
MADs    14      358     14      0       0
AP2     37      335     32      4       1








#####










