anchor_location1	start1	end1	anchor1_annotation	anchor_location1	start2	end2	anchor2_annotation	loop_type	loop_size
HiC_scaffold_1	290000	300000	Boundary	HiC_scaffold_1	8020000	8030000	TAD_20	TAD-Boundary	7730000
HiC_scaffold_1	290000	295000	Boundary	HiC_scaffold_1	8480000	8485000	TAD_20	TAD-Boundary	8190000
HiC_scaffold_1	1810000	1815000	Boundary	HiC_scaffold_1	1920000	1925000	TAD_7	TAD-Boundary	110000
HiC_scaffold_1	3865000	3870000	TAD_12	HiC_scaffold_1	9315000	9320000	Boundary	TAD-Boundary	5450000
HiC_scaffold_1	4075000	4080000	TAD_12	HiC_scaffold_1	4130000	4135000	Boundary	TAD-Boundary	55000
HiC_scaffold_1	6890000	6900000	TAD_18	HiC_scaffold_1	7550000	7560000	Boundary	TAD-Boundary	660000
HiC_scaffold_1	7820000	7825000	TAD_19	HiC_scaffold_1	7875000	7880000	Boundary	TAD-Boundary	55000
HiC_scaffold_10	1080000	1090000	TAD_99	HiC_scaffold_10	1150000	1160000	Boundary	TAD-Boundary	70000
HiC_scaffold_10	1250000	1260000	TAD_100	HiC_scaffold_10	2050000	2060000	Boundary	TAD-Boundary	800000
HiC_scaffold_10	1865000	1870000	TAD_101	HiC_scaffold_10	1925000	1930000	Boundary	TAD-Boundary	60000
HiC_scaffold_10	1940000	1945000	Boundary	HiC_scaffold_10	1985000	1990000	TAD_102	TAD-Boundary	45000
HiC_scaffold_10	3630000	3640000	Boundary	HiC_scaffold_10	3860000	3870000	None	TAD-Boundary	230000
HiC_scaffold_11	740000	750000	TAD_108	HiC_scaffold_11	810000	820000	Boundary	TAD-Boundary	70000
HiC_scaffold_12	770000	780000	TAD_120	HiC_scaffold_12	1360000	1370000	Boundary	TAD-Boundary	590000
HiC_scaffold_13	1640000	1645000	Boundary	HiC_scaffold_13	1740000	1745000	TAD_132	TAD-Boundary	100000
HiC_scaffold_13	2790000	2800000	TAD_133	HiC_scaffold_13	3350000	3360000	Boundary	TAD-Boundary	560000
HiC_scaffold_14	1850000	1855000	Boundary	HiC_scaffold_14	2010000	2015000	TAD_140	TAD-Boundary	160000
HiC_scaffold_15	1990000	2000000	Boundary	HiC_scaffold_15	2040000	2050000	None	TAD-Boundary	50000
HiC_scaffold_16	715000	720000	TAD_145	HiC_scaffold_16	790000	795000	Boundary	TAD-Boundary	75000
HiC_scaffold_16	1960000	1970000	TAD_147	HiC_scaffold_16	2430000	2440000	Boundary	TAD-Boundary	470000
HiC_scaffold_16	2440000	2450000	Boundary	HiC_scaffold_16	2570000	2580000	TAD_148	TAD-Boundary	130000
HiC_scaffold_16	2450000	2455000	Boundary	HiC_scaffold_16	2605000	2610000	TAD_148	TAD-Boundary	155000
HiC_scaffold_17	940000	945000	Boundary	HiC_scaffold_17	985000	990000	TAD_151	TAD-Boundary	45000
HiC_scaffold_17	1925000	1930000	TAD_155	HiC_scaffold_17	2040000	2045000	Boundary	TAD-Boundary	115000
HiC_scaffold_17	2230000	2235000	Boundary	HiC_scaffold_17	2270000	2275000	None	TAD-Boundary	40000
HiC_scaffold_2	770000	780000	TAD_24	HiC_scaffold_2	4820000	4830000	Boundary	TAD-Boundary	4050000
HiC_scaffold_2	3635000	3640000	TAD_29	HiC_scaffold_2	3830000	3835000	Boundary	TAD-Boundary	195000
HiC_scaffold_2	4160000	4170000	Boundary	HiC_scaffold_2	4330000	4340000	TAD_33	TAD-Boundary	170000
HiC_scaffold_3	2680000	2690000	Boundary	HiC_scaffold_3	4360000	4370000	TAD_46	TAD-Boundary	1680000
HiC_scaffold_4	1770000	1780000	Boundary	HiC_scaffold_4	1850000	1860000	TAD_51	TAD-Boundary	80000
HiC_scaffold_4	1790000	1800000	Boundary	HiC_scaffold_4	1860000	1870000	TAD_51	TAD-Boundary	70000
HiC_scaffold_4	4430000	4440000	Boundary	HiC_scaffold_4	4490000	4500000	TAD_55	TAD-Boundary	60000
HiC_scaffold_6	1390000	1400000	Boundary	HiC_scaffold_6	1550000	1560000	TAD_70	TAD-Boundary	160000
HiC_scaffold_6	1600000	1610000	Boundary	HiC_scaffold_6	3980000	3990000	TAD_74	TAD-Boundary	2380000
HiC_scaffold_7	1590000	1600000	Boundary	HiC_scaffold_7	1870000	1880000	TAD_79	TAD-Boundary	280000
HiC_scaffold_7	1900000	1910000	TAD_79	HiC_scaffold_7	2340000	2350000	Boundary	TAD-Boundary	440000
HiC_scaffold_8	285000	290000	None	HiC_scaffold_8	425000	430000	Boundary	TAD-Boundary	140000
HiC_scaffold_9	1210000	1220000	Boundary	HiC_scaffold_9	1360000	1370000	TAD_91	TAD-Boundary	150000
HiC_scaffold_9	3475000	3480000	Boundary	HiC_scaffold_9	3555000	3560000	TAD_97	TAD-Boundary	80000
HiC_scaffold_9	3670000	3680000	Boundary	HiC_scaffold_9	3810000	3820000	TAD_98	TAD-Boundary	140000
