anchor_location1	start1	end1	anchor1_annotation	anchor_location1	start2	end2	anchor2_annotation	loop_type	loop_size
HiC_scaffold_1	290000	300000	Boundary	HiC_scaffold_1	8020000	8030000	TAD_20	TAD-Boundary	7730000
HiC_scaffold_1	290000	295000	Boundary	HiC_scaffold_1	8480000	8485000	TAD_20	TAD-Boundary	8190000
HiC_scaffold_1	610000	620000	TAD_3	HiC_scaffold_1	8020000	8030000	TAD_20	Inter-TAD	7410000
HiC_scaffold_1	1740000	1745000	TAD_6	HiC_scaffold_1	7695000	7700000	TAD_19	Inter-TAD	5955000
HiC_scaffold_1	1750000	1760000	TAD_6	HiC_scaffold_1	2000000	2010000	TAD_7	Inter-TAD	250000
HiC_scaffold_1	1810000	1815000	Boundary	HiC_scaffold_1	1920000	1925000	TAD_7	TAD-Boundary	110000
HiC_scaffold_1	1855000	1860000	TAD_7	HiC_scaffold_1	5240000	5245000	TAD_16	Inter-TAD	3385000
HiC_scaffold_1	2460000	2465000	TAD_9	HiC_scaffold_1	2495000	2500000	TAD_9	Intra-TAD	35000
HiC_scaffold_1	2900000	2905000	TAD_11	HiC_scaffold_1	7705000	7710000	TAD_19	Inter-TAD	4805000
HiC_scaffold_1	2920000	2925000	TAD_11	HiC_scaffold_1	7750000	7755000	TAD_19	Inter-TAD	4830000
HiC_scaffold_1	3280000	3290000	TAD_11	HiC_scaffold_1	3600000	3610000	TAD_11	Intra-TAD	320000
HiC_scaffold_1	3865000	3870000	TAD_12	HiC_scaffold_1	9315000	9320000	Boundary	TAD-Boundary	5450000
HiC_scaffold_1	4075000	4080000	TAD_12	HiC_scaffold_1	4130000	4135000	Boundary	TAD-Boundary	55000
HiC_scaffold_1	4170000	4180000	TAD_13	HiC_scaffold_1	4250000	4260000	TAD_13	Intra-TAD	80000
HiC_scaffold_1	5630000	5640000	TAD_16	HiC_scaffold_1	5700000	5710000	TAD_16	Intra-TAD	70000
HiC_scaffold_1	5660000	5665000	TAD_16	HiC_scaffold_1	6565000	6570000	TAD_18	Inter-TAD	905000
HiC_scaffold_1	5850000	5860000	TAD_16	HiC_scaffold_1	5900000	5910000	TAD_16	Intra-TAD	50000
HiC_scaffold_1	6890000	6900000	TAD_18	HiC_scaffold_1	7550000	7560000	Boundary	TAD-Boundary	660000
HiC_scaffold_1	6930000	6940000	TAD_18	HiC_scaffold_1	8020000	8030000	TAD_20	Inter-TAD	1090000
HiC_scaffold_1	6940000	6950000	TAD_18	HiC_scaffold_1	7290000	7300000	TAD_18	Intra-TAD	350000
HiC_scaffold_1	7010000	7020000	TAD_18	HiC_scaffold_1	7180000	7190000	TAD_18	Intra-TAD	170000
HiC_scaffold_1	7775000	7780000	TAD_19	HiC_scaffold_1	8070000	8075000	TAD_20	Inter-TAD	295000
HiC_scaffold_1	7820000	7825000	TAD_19	HiC_scaffold_1	7875000	7880000	Boundary	TAD-Boundary	55000
HiC_scaffold_1	8020000	8030000	TAD_20	HiC_scaffold_1	8930000	8940000	TAD_22	Inter-TAD	910000
HiC_scaffold_1	8020000	8030000	TAD_20	HiC_scaffold_1	9340000	9350000	None	Inter-TAD	1320000
HiC_scaffold_1	8020000	8030000	TAD_20	HiC_scaffold_1	9410000	9420000	None	Inter-TAD	1390000
HiC_scaffold_1	8990000	9000000	TAD_23	HiC_scaffold_1	9060000	9070000	TAD_23	Intra-TAD	70000
HiC_scaffold_10	205000	210000	None	HiC_scaffold_10	1675000	1680000	TAD_100	Inter-TAD	1470000
HiC_scaffold_10	450000	460000	TAD_99	HiC_scaffold_10	2880000	2890000	TAD_105	Inter-TAD	2430000
HiC_scaffold_10	1080000	1090000	TAD_99	HiC_scaffold_10	1150000	1160000	Boundary	TAD-Boundary	70000
HiC_scaffold_10	1250000	1255000	TAD_100	HiC_scaffold_10	1580000	1585000	TAD_100	Intra-TAD	330000
HiC_scaffold_10	1250000	1260000	TAD_100	HiC_scaffold_10	2050000	2060000	Boundary	TAD-Boundary	800000
HiC_scaffold_10	1570000	1575000	TAD_100	HiC_scaffold_10	1615000	1620000	TAD_100	Intra-TAD	45000
HiC_scaffold_10	1865000	1870000	TAD_101	HiC_scaffold_10	1925000	1930000	Boundary	TAD-Boundary	60000
HiC_scaffold_10	1940000	1945000	Boundary	HiC_scaffold_10	1985000	1990000	TAD_102	TAD-Boundary	45000
HiC_scaffold_10	1965000	1970000	TAD_102	HiC_scaffold_10	2065000	2070000	TAD_103	Inter-TAD	100000
HiC_scaffold_10	2595000	2600000	TAD_105	HiC_scaffold_10	2640000	2645000	TAD_105	Intra-TAD	45000
HiC_scaffold_10	3580000	3585000	TAD_107	HiC_scaffold_10	3615000	3620000	TAD_107	Intra-TAD	35000
HiC_scaffold_10	3630000	3640000	Boundary	HiC_scaffold_10	3860000	3870000	None	TAD-Boundary	230000
HiC_scaffold_10	3810000	3820000	None	HiC_scaffold_10	3860000	3870000	None	Unannotated	50000
HiC_scaffold_11	740000	750000	TAD_108	HiC_scaffold_11	810000	820000	Boundary	TAD-Boundary	70000
HiC_scaffold_11	1220000	1230000	TAD_110	HiC_scaffold_11	1290000	1300000	TAD_110	Intra-TAD	70000
HiC_scaffold_11	1780000	1785000	TAD_112	HiC_scaffold_11	1825000	1830000	TAD_112	Intra-TAD	45000
HiC_scaffold_11	1880000	1885000	TAD_112	HiC_scaffold_11	1985000	1990000	TAD_112	Intra-TAD	105000
HiC_scaffold_11	2515000	2520000	TAD_115	HiC_scaffold_11	2550000	2555000	TAD_115	Intra-TAD	35000
