gene_id,Germinating_Cyst_vs_Zoospore,Mycelia_48h_vs_Germinating_Cyst,Mycelia_4d_vs_Mycelia_48h,Early_infection_vs_Mycelia_4d,Late_infection_vs_Early_infection
g123,1.94743130305613,-0.499069381842097,0.0,0.0,0.0
g717,-2.0121381904376,0.0,0.0,0.0,0.0
g719,0.0,-0.762050647599543,0.0,0.0,0.0
g720,0.0,2.68996763521302,-1.39842532760746,0.0,0.0
g721,1.22020756360922,0.0,-1.70191012136762,0.0,0.0
g718,1.39786572493767,1.60671519266329,-1.85509647032047,0.0,0.0
g742,-4.79728224388289,0.0,3.75538569784645,0.0,0.0
g743,-2.70517695031431,-2.14018336261063,3.25220786747516,0.0,-2.21658940570416
g744,0.0,0.0,-0.71857117447361,0.0,0.0
g773,-3.19707198535392,0.0,0.0,0.0,0.0
g774,-8.677479191128,0.0,2.11722082921711,0.0,0.0
g775,0.0,-1.24697593852934,1.48968410513081,0.0,0.0
g795,-1.09908235781577,0.0,0.0,0.0,0.0
g796,1.36644654530677,0.943143933771597,0.0,0.0,0.0
g797,0.811227134550248,0.0,-2.02551507973809,0.0,0.0
g798,-2.54257742790969,0.0,0.0,0.0,0.0
g976,2.83140837805621,-0.803474078018396,-0.934944755655691,0.0,0.0
g977,2.42450128241591,0.0,-2.45153367875826,0.0,0.0
g978,0.0,0.0,2.93289911748954,0.0,0.0
g989,-4.24227922844328,1.19867953852332,-2.11877648882121,0.0,0.0
g991,0.0,-1.7748566604506,1.16028481694681,0.0,0.0
g1642,1.04691007392478,0.0,0.0,0.0,0.0
g1643,0.0,0.0,-0.778390392059058,0.0,0.0
g1644,-3.52930269205996,0.0,-2.65337393443128,1.45952529030254,2.04905557765387
g1646,-1.24870043992836,0.0,0.0,0.0,0.0
g1647,0.0,0.0,1.12430994773897,0.0,0.752758782102476
g1645,1.48242155892521,0.0,-0.712280416997675,0.0,0.0
g1682,1.4340495524337,-0.715364700747442,1.35389986128382,0.0,0.0
g1683,0.0,0.0,-1.90498525138692,0.0,0.0
g1684,0.0,0.0,2.332514098695,0.0,0.0
g1685,0.0,0.0,2.00447124098922,0.0,0.0
g1686,2.55887931474509,2.94090572602509,-3.58762030901608,0.0,0.0
g1687,4.53328136405058,2.09991678344787,-2.19618598678441,0.0,0.0
g2087,-2.90716604265944,0.0,0.0,0.0,0.0
g2090,-1.833516440983,0.0,4.6749676216732,0.0,0.0
g2089,0.0,0.0,2.94011585760493,0.0,0.0
g2259,0.0,0.0,-0.686065809181179,0.0,0.0
g2258,1.01341072416518,-0.843320254910045,-0.879739916747518,0.0,0.0
g2282,1.41449023792598,-1.82825560824601,-0.731590558654379,0.0,0.0
g2284,1.35207426607998,-0.867592081649557,0.0,0.0,0.0
g2285,0.0,2.09492726103245,0.0,0.0,0.0
g2286,2.79036471467421,-0.871715705228343,0.0,0.0,0.0
g2343,0.0,1.83715615850314,-4.29890837894678,2.55000858706914,1.11735099664789
g2344,-4.99079003515017,5.88629161367208,-3.47558125983524,0.0,0.0
g2345,-2.23589449269507,0.0,0.0,0.0,0.0
g2346,0.0,0.0,5.94928760178863,0.0,-4.57343173052292
g2367,1.4982423400415,1.04843626700924,-3.39881098424346,0.0,0.0
g2368,0.0,0.0,-2.10997929423894,0.0,0.0
g2746,1.60535625004921,-1.786271322541,0.0,0.0,0.0
g2747,0.0,1.29463571537348,0.0,0.0,0.0
g2748,-1.16813226991046,0.0,0.0,0.0,0.0
g2749,2.70718492762099,-1.57420470201416,1.57165055655847,0.0,0.0
g2750,0.0,1.26744728930242,0.0,0.0,0.0
g2767,0.0,1.4550749473941,0.0,0.0,0.0
g2790,0.0,2.09434665377409,0.0,0.0,0.0
g2792,-2.87219227967636,2.19641442510099,0.0,0.0,0.0
g2791,-0.844706640936924,0.0,-1.4963329254134,0.0,0.946530730852608
g2866,-0.865632020028906,1.59790193055095,0.0,0.0,0.0
g2867,-2.17655634414309,2.99528215885569,0.0,0.0,0.0
g2868,0.0,0.0,-1.5899450673952,0.0,0.0
g2900,0.0,2.76389496683014,1.13990896983437,0.0,0.0
g3003,-3.51651249992498,1.50314285816509,0.0,0.0,0.0
g3005,0.0,-3.13950442536422,1.78994713746668,0.0,-0.993840475642546
g3006,-1.60146563975135,-2.0687566575061,2.75142766457319,0.0,0.0
g3007,0.0,-1.43878623512646,2.40445334408225,0.0,0.0
g3004,-5.49527934059934,5.30034464785591,0.0,0.0,0.0
g3070,0.0,0.0,-3.92757036778809,0.0,0.0
g3072,-3.29803010616313,3.34385166874676,0.0,0.0,2.57214107419749
g3106,-5.59964129430843,0.0,5.9528617813438,0.0,0.0
g3107,-3.10454430453252,1.8960559259876,0.0,0.0,0.0
g3108,-1.72393979594634,3.04583522471733,0.0,0.0,0.0
g3121,0.0,0.0,-2.13981869963814,0.0,0.0
g3122,-5.2108597817233,3.1070004764947,1.47684499519996,0.0,1.55155572078225
g3123,0.0,-1.02125561128733,2.82485557152249,0.0,0.0
g3145,3.59374540946645,0.0,0.0,0.0,0.0
g3146,1.41967738850317,-3.24636520295669,3.58765402553675,0.0,0.0
g3226,-5.06591736734481,0.0,0.0,0.0,-2.98888021504645
g3227,-5.19865530670834,0.0,6.26005026642963,0.0,0.0
g3585,0.0,-0.618333877202354,0.827977320735318,0.0,0.0
g3586,0.0,1.39650068086246,-0.969868816939028,0.0,0.0
g3587,-2.5479165930015,0.0,3.76639434023317,0.0,0.0
g3588,-2.21339293382893,-1.64417147006052,0.0,0.0,0.0
g3589,1.40625664586144,0.0,0.0,0.0,0.0
g3618,0.0,1.66002707658161,1.40764680859522,0.0,0.0
g3620,-2.32076978095981,-1.73736404223129,1.44762683638908,0.0,0.0
g3621,1.11903273416171,0.0,0.0,0.0,0.0
g3622,0.0,0.0,-0.855212002410139,0.0,0.0
g3623,0.0,-2.04750520095533,2.09807748861246,0.0,-1.09763657738691
g3619,-2.50333114545339,0.0,1.52494349983308,0.0,0.0
g3746,0.0,0.0,5.27522441870101,0.0,0.0
g4100,0.0,0.0,-0.851240443722555,0.0,0.0
g4101,-2.52484819910474,0.0,0.0,0.0,0.0
g4102,-4.34298848442997,0.0,6.38686923103879,0.0,0.0
g4203,-3.61740401437271,0.0,2.2536632270303,0.0,0.0
g4204,0.0,0.0,3.75244861816051,0.0,0.0
g4205,-9.37106806564307,0.0,0.0,0.0,0.0
g4208,0.0,0.0,1.90109148352695,0.0,0.0
g4207,-4.9231793864497,0.0,3.05484249880797,0.0,0.0
g4444,0.0,0.0,-1.30083352203587,0.0,-1.01917132651578
g4445,-7.35650707361933,0.0,0.0,0.0,0.0
g4479,-2.97005914752773,-1.47741090465571,1.4486558254858,0.0,0.0
g4480,-2.80867644304763,0.0,0.0,0.0,0.0
g4481,-2.58733217627785,0.0,2.51638079384171,0.0,0.0
g4669,1.2398551276791,0.795149870031515,0.0,0.0,0.0
g4668,1.60716635989355,0.0,-1.01340930527624,0.0,0.0
g4680,0.0,1.03266414975537,0.0,0.0,0.0
g4681,-1.8172938931772,1.6618261909425,-1.09462462685676,0.0,0.0
g4682,2.59967832091462,1.66361016314263,-2.14682273427673,0.0,0.0
g4683,-7.46641712896735,0.0,5.37107001611357,2.00464782694232,-3.84961142612296
g4703,0.0,-2.07282626841662,0.0,0.0,0.0
g4704,0.0,-2.8605559069819,3.4398125709957,0.0,0.0
g4705,0.0,2.25633191570182,0.0,0.0,0.0
g4811,-3.57070652692441,0.0,3.21644969518597,0.0,0.0
g4812,2.42831793582029,0.0,0.0,0.0,0.0
g4819,-0.708994972464077,0.0,0.0,0.0,0.8311586010779
g4821,2.73204025471504,-1.11927718512446,1.34698888486563,0.0,0.0
g4822,0.0,0.0,-1.89441199311552,0.0,0.0
g4830,-1.18456982503919,0.0,1.11462953897134,0.0,0.0
g4863,-1.10553730298254,0.0,0.966178734759545,0.0,0.0
g4862,0.0,0.0,-2.43113171901326,1.2671895887268,-1.11157975012139
g5080,-2.03614870706244,0.0,0.0,0.0,0.0
g5081,-2.34615173756545,0.0,1.63516074203729,0.0,0.0
g5082,-6.83535235820763,2.09847710738673,2.98673353217511,0.0,0.0
g5083,-1.29050956154728,0.0,0.0,0.0,0.0
g5102,-3.80348417626636,-1.52469048243176,5.97966203366654,0.0,0.0
g5103,-8.68913398680381,0.0,2.70776770439412,0.0,0.0
g5104,-2.15777481217186,1.23351744051001,0.0,0.0,0.0
g5209,-5.39553411914748,0.0,0.0,0.0,0.0
g5210,-5.97162893927352,0.0,0.0,0.0,0.0
g5498,1.72215366181917,0.0,0.0,0.0,0.0
g5516,0.0,3.98498859015505,3.26332812012867,0.0,0.0
g5522,-1.81576697269991,0.0,2.28623170047844,0.0,0.0
g5523,-6.85228950548873,0.0,0.0,0.0,0.0
g5524,-8.42249226449086,0.0,0.0,0.0,0.0
g5525,-9.16582169241696,0.0,3.97877302719648,0.0,0.0
g5526,-2.26624749354126,2.91334118056516,-1.68265247790639,0.0,0.0
g5527,1.4849282585632,0.0,0.0,0.0,0.0
g5592,0.0,0.0,3.84227481207068,0.0,0.0
g5595,-1.36762750746609,0.0,2.50653567468463,0.0,0.0
g5597,0.0,0.0,2.54517511812538,0.0,0.0
g5621,-0.984233924702225,-1.35503213358418,1.24218783014638,0.0,0.0
g5622,-5.21683790544029,0.0,0.0,0.0,4.35467914522481
g5623,0.0,0.0,-2.8160914301827,0.0,0.0
g6079,0.0,1.0207674191723,0.0,0.0,0.996952924263563
g6081,0.70854008804094,-1.46432358828322,0.0,0.0,0.0
g6082,0.0,-1.31586415775167,0.0,0.0,0.0
g6109,-4.26880405498283,0.0,6.0014940434812,0.0,0.0
g6111,-3.31384066177552,2.05476383997499,0.0,0.0,0.0
g6112,0.0,1.75456407086969,0.0,0.0,0.0
g6113,0.0,-1.07317256111949,-1.01081747854053,0.0,0.0
g6114,1.36009148651108,0.0,-1.56103954692163,0.0,0.0
g6262,0.0,2.77025490420605,-1.94163605537517,2.7096808268044,-2.74087173032458
g6265,-1.21576010168679,-1.70216079668504,2.52744359892065,0.0,0.0
g6282,-0.928500488892603,0.0,-0.679322763835075,0.0,0.0
g6284,0.0,-1.63047971280321,1.70694728468879,0.0,-3.25785024675048
g6285,0.0,0.0,-1.27306585786768,0.0,0.0
g6286,1.68028146705126,0.0,0.0,0.0,0.0
g6283,0.0,-1.00356294080393,1.86889906306142,0.0,0.0
g6492,1.32345776498901,-0.824046615201568,1.02401609944386,0.0,0.0
g6493,1.71937077238745,-1.15360416907089,0.0,0.0,0.0
g6495,4.49741435032446,0.0,0.0,0.0,0.0
g6516,0.0,-1.31830548103015,0.0,0.0,0.0
g6517,-2.08317762729228,0.0,0.0,0.0,0.0
g6518,0.560366489542778,-1.04205314570431,-1.25020298999534,0.0,0.0
g6788,1.62894328461483,-1.13752629884231,0.0,0.0,0.0
g6792,-3.96182574410582,2.11724682737715,0.0,0.0,0.0
g6804,1.00302499450688,0.0,0.0,0.0,0.0
g6806,-1.64989707195584,1.26738128659599,-1.45935056715158,0.0,0.0
g6807,0.0,1.93850607944191,0.0,0.0,0.0
g7198,0.0,1.31005638798275,-1.36967022281394,0.0,0.0
g7201,1.83908269993239,-2.3276659724778,0.0,0.0,0.0
g7202,-1.79883651264249,2.27196322260496,0.0,0.0,0.0
g7203,0.0,-1.31829282422396,-1.20451200507837,0.0,-1.04516995536027
g7197,0.0,-1.00030417374576,0.0,0.0,0.0
g7207,-0.845199395109296,0.576412988239775,-0.780421682218537,0.0,0.0
g7208,-4.17162175002795,0.0,0.875770612670101,0.0,1.82577151274914
g7209,-1.3786461224081,2.04063554737758,-2.10647398722511,0.0,0.0
g7210,-6.03507491649122,0.0,0.0,0.0,0.0
g7211,0.0,-1.27085057568926,0.0,0.0,-1.5960753032293
g7244,0.855273180586052,-1.55927145380526,0.0,0.0,0.0
g7246,0.0,0.0,2.36131804705985,0.0,0.0
g7247,0.0,-1.28936006133804,1.58422150260531,0.0,0.0
g7251,-1.37847768450385,1.85008377236458,-2.26673844264434,0.0,0.898100461978375
g7253,0.0,0.0,-0.821879679263225,0.0,0.0
g7254,-2.50808143451284,0.0,0.0,0.0,0.0
g7252,-7.01916103350596,0.0,0.0,0.0,0.0
g7607,4.71227408144611,1.62675600067989,-1.91340903369889,0.0,0.0
g7609,0.0,-1.80352376788018,-3.15930444353841,1.99327693709584,-2.79572938996072
g7610,-5.32679062353659,0.0,1.33744732342708,0.0,0.0
g7606,-1.22250598701847,0.0,1.62366547059238,0.0,0.0
g8049,0.0,0.0,2.36952703414168,0.0,0.0
g8050,0.0,0.0,3.20456240932328,0.0,0.0
g8051,0.0,0.0,2.41787286802779,0.0,0.0
g8063,-4.62381355066364,11.7295550867086,-5.64106537376955,2.81260147587924,-3.27886109146096
g8133,0.0,0.0,5.73141332795888,0.0,0.0
g8134,-7.03944451141594,0.0,-1.65972445518198,0.0,0.0
g8135,3.11200839582825,0.0,-4.35912292519873,0.0,-1.47110798639588
g8150,0.0,-2.70230327842705,2.05974017649291,0.0,0.0
g8151,0.0,0.0,0.0,0.0,1.32130897518694
g8203,-7.20832202215988,5.0733039415819,0.0,0.0,0.0
g8205,0.0,0.0,-2.86553111343596,0.0,0.0
g8206,1.46356774489728,0.0,0.0,0.0,0.0
g8237,0.0,-2.92413054752113,1.91857887891511,0.0,0.0
g8263,0.78358831764319,0.947451174875818,-0.843843081631805,0.0,0.0
g8264,4.00484636084156,0.0,1.79367331369596,0.0,0.0
g8267,0.0,0.0,1.91073511538322,0.0,0.0
g8389,-2.77349339960709,0.0,3.74215676530311,0.0,0.0
g8390,0.0,0.0,1.70466492516727,0.0,0.0
g8543,-1.64445154452201,-1.6775241715574,1.42729307575693,0.0,0.0
g8544,-4.48267975424834,0.0,2.75634507131034,0.0,0.0
g8545,5.0519898832901,0.0,-3.37491549422045,3.73260888594501,-2.85947842595461
g8546,-4.9876919791111,0.0,0.0,0.0,0.0
g8547,-4.75027221480877,0.0,1.8555379249408,0.0,0.0
g8577,-4.54454393683246,0.0,0.0,0.0,0.0
g8578,-3.90925283669278,2.01301848874512,0.0,0.0,0.0
g8579,3.17927289655358,0.0,0.0,0.0,0.0
g8580,2.56553509167771,0.0,0.545592732887251,0.0,0.0
g9362,-5.09024012373957,4.38037757831786,0.0,-2.25061661449626,0.0
g9363,0.906335160629193,-0.957405460225583,0.0,0.0,0.0
g9361,-3.89549536029605,4.48474203920807,0.0,0.0,0.682516829192826
g9400,-1.68286094655466,0.0,4.21408674084883,0.0,0.0
g9401,3.64723332264273,0.0,-2.07830496446611,0.0,0.0
g9465,0.807476442934435,0.0,0.0,0.0,0.0
g9466,0.0,-0.785985202689376,-1.3732689269645,0.0,0.0
g9508,0.0,0.0,1.07494413677639,0.0,0.639746834838363
g9684,0.0,0.0,1.46621680016058,0.0,0.0
g9685,0.800048325466354,0.0,0.0,0.0,0.0
g9686,-4.82018863080316,0.0,0.0,0.0,0.0
g9687,-1.39000526988284,0.0,1.70942121832046,0.0,0.0
g9697,1.57170565035114,-1.4299675223156,0.0,0.0,0.0
g9698,2.51520755799746,0.0,-1.10663996622421,0.0,0.0
g9699,1.97544257667567,1.56886422006334,-2.05350059862033,0.0,0.0
g9700,0.871462885422926,0.862421564803202,-1.85244956546993,0.0,0.0
g9701,0.0,0.0,2.10162045920129,0.0,0.0
g9696,1.14357836112175,0.0,0.0,0.0,0.0
g9750,1.25511914268652,0.0,0.0,0.0,0.0
g9751,0.0,0.0,5.19147070833562,0.0,0.0
g9756,0.0,0.0,1.01421166416346,0.0,0.0
g9757,3.08439111348551,0.0,1.87634946941384,0.0,0.0
g9758,1.22828574141274,0.0,-2.10650721905944,0.0,0.0
g9785,0.0,0.0,0.767420787279995,0.0,0.0
g9786,4.35855745529433,0.0,-2.78523491292206,0.0,0.0
g9787,3.19714133158522,-1.13710820633149,0.0,0.0,-1.27094632758877
g9788,1.59363901208303,0.0,0.0,0.0,1.47346915499193
g9788,1.59363901208303,0.0,0.0,0.0,1.47346915499193
g9790,-5.49125317495122,5.38531564852617,0.0,0.0,0.0
g9791,0.0,0.0,0.0,0.0,-6.2891533641193
g9792,1.28937554437378,0.0,0.598746606768754,0.0,0.0
g9793,1.61986351077924,-1.57919838924246,1.46123472558594,0.0,0.0
g9826,0.0,-0.568131713662761,0.0,0.0,0.0
g9827,0.0,0.0,1.10321614535479,0.0,0.0
g9958,1.82489834368197,0.0,1.11049431683015,0.0,0.0
g9959,0.0,-1.68829344058982,2.30612735838512,0.0,0.0
g9960,1.62431813148543,0.0,-1.31216191327397,2.05628510622974,-2.879515087873
g9962,2.30412065547636,-1.0891523954105,1.13818718407682,0.0,0.0
g9963,-5.05971809417839,0.0,3.48687590881,0.0,0.0
g9961,0.0,0.860291383877605,0.0,0.0,0.0
g10153,0.0,0.0,10.5284173124147,0.0,0.0
g10154,-1.51096785989433,0.0,-2.42232117805046,0.0,0.0
g10257,1.50903552487936,0.0,0.0,0.0,0.0
g10260,0.0,4.64619372956104,-2.48495115178024,0.0,0.0
g10261,-6.06623113111357,2.87137939317747,2.46871321756719,0.0,1.40779983618155
g10262,-6.3126956109118,4.67039597187811,-0.902539035034705,0.0,1.72405767383442
g11157,-8.85993326569806,0.0,0.0,0.0,0.0
g11159,-2.39941047299825,0.0,2.26622069743984,0.0,0.0
g11160,-0.865176855349911,0.0,0.0,0.0,0.0
g11158,-7.75241674617769,0.0,0.0,0.0,0.0
g11215,0.0,2.38424930027169,-3.11438951786737,0.0,0.0
g11438,1.15986655925698,0.0,0.0,0.0,0.0
g11436,0.0,2.40835413678826,-2.97951893346842,0.0,0.0
g11447,1.96192006148526,0.0,0.0,0.0,0.0
g11448,0.0,0.0,-2.07683592361346,0.0,0.0
g11449,1.21672301728927,0.820333459923851,-0.792022825979219,0.0,0.0
