gene_id,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g22,7.918031375,3.935572398,77.00281892,70.05096022,86.10455088,57.60086577,48.52299824,54.33228234,37.99785883,40.99716048,38.13026011,51.89276258
g23,0.252912595,0.264764443,51.67402841,59.80517033,44.2740008,18.60589051,3.928406999,2.339860405,1.646359592,1.978235984,1.009489829,4.628307525
g24,2.11084743,0.641544611,0,0.145188386,0.263423719,0,0.727739476,1.643380217,0.302216359,0.338928543,3.10612255,2.531105678
g25,4.613061913,2.619246977,7.418166931,14.62921842,16.10707239,11.57049714,39.52566594,53.62327185,32.24435628,26.49202344,99.97770718,100.4377865
g26,28.18570368,23.29927094,13.29983093,16.53764854,16.38871853,9.725444053,26.46969446,44.61183123,24.03019808,36.24767752,41.661485,37.80588005
g27,53.84855787,54.7914558,30.74432181,37.28909431,45.0835655,53.17876369,49.93154762,63.00736438,36.5293157,46.20783147,77.47962544,74.73828288
g28,18.3959881,22.12470687,17.42870928,16.01925569,14.53233288,11.41959446,20.66147892,28.76096426,18.12670318,20.37027751,20.0182119,21.58251584
g29,17.29277561,14.01592667,54.83260451,50.78139827,78.42305953,72.9400685,22.642066,30.5977036,33.40441095,42.28580476,37.64593043,37.71840242
g30,7.737891698,4.345580948,1.511684689,2.105349637,7.016065887,7.354939976,5.513306936,9.213320962,6.469231906,6.104020389,9.421905069,10.94754651
g31,22.6830984,18.57212246,28.72716977,30.94629953,46.55191038,45.65278886,34.61007657,51.25862671,32.0853034,45.87034688,43.00847291,36.54283822
g32,76.88542899,27.80026646,7.672979381,15.5714544,15.22683177,15.7839174,22.11981464,26.87448363,28.39034864,19.01804139,57.14433495,38.41856832
g33,26.24792892,26.10807633,8.831508284,8.12423708,6.625679198,4.36709177,9.707411789,11.24961241,11.38786279,7.279595656,14.26453019,8.363653544
g34,0,0.073296371,0,0,0,0,0,0.023469491,0,0.024893057,0,0
g36,0,0,0.093005811,0.629149673,0.163071826,0.398583773,0,0,0,0,0,0
g37,33.36500777,27.27752641,17.1774578,42.34661259,19.66897103,17.7277798,0,0,0,0,0,0
g39,0,0,0.406094678,0.392439895,0.356013244,0,0,0,0,0,0,0
g41,0,0.128450076,0.135364893,0.261626597,0.474684326,0.580116976,0,0,0,0,0,0
g42,5.823083973,3.595054539,2.800259288,5.730568104,3.610174465,2.400146621,0,0,0,0,0,0
g44,0,0.088254814,0.093005811,0.449392623,0.081535913,0.398583773,0,0,0,0,0,0
