,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g22,238,113,2098,1975,2676,1831,2047,2436,1544,1733,402,1091
g23,5,5,926,1109,905,389,109,69,44,55,7,64
g24,31,9,0,2,4,0,15,36,6,7,16,26
g25,118,64,172,351,426,313,1419,2046,1115,953,897,1797
g26,1003,792,429,552,603,366,1322,2368,1156,1814,520,941
g27,856,832,443,556,741,894,1114,1494,785,1033,432,831
g28,262,301,225,214,214,172,413,611,349,408,100,215
g29,1971,1526,5665,5429,9242,8792,3622,5202,5147,6778,1505,3007
g30,192,103,34,49,180,193,192,341,217,213,82,190
g31,615,481,706,787,1305,1309,1317,2073,1176,1749,409,693
g32,1216,420,110,231,249,264,491,634,607,423,317,425
g33,341,324,104,99,89,60,177,218,200,133,65,76
g34,0,2,0,0,0,0,0,1,0,1,0,0
g36,0,0,1,7,2,5,0,0,0,0,0,0
g37,105,82,49,125,64,59,0,0,0,0,0,0
g39,0,0,3,3,3,0,0,0,0,0,0,0
g41,0,1,1,2,4,5,0,0,0,0,0,0
g42,39,23,17,36,25,17,0,0,0,0,0,0
g44,0,1,1,5,1,5,0,0,0,0,0,0
g45,116,91,64,94,73,59,0,0,0,0,0,0
g46,255,175,1087,1465,1061,790,4796,5159,3255,2550,747,1689
g47,5044,3013,522,461,646,529,681,536,695,682,360,1162
g48,294,151,762,664,751,593,766,1098,822,910,195,483
g49,2615,2628,5064,4084,1503,1319,2352,4116,2163,2939,409,806
g50,267,183,93,95,136,107,340,334,279,271,58,153
g51,237,156,95,75,165,159,211,262,150,187,28,67
g52,225,244,77,97,181,179,125,132,102,110,21,38
g53,196,187,119,105,341,306,245,331,305,371,67,108
g54,140,73,62,39,190,133,44,96,151,271,13,21
g55,315,315,65,80,224,199,81,176,147,290,23,46
g56,224,276,160,195,155,161,382,694,317,353,68,178
g57,293,190,94,97,208,160,605,739,677,631,181,405
g58,1498,1401,542,540,522,454,1161,1406,1013,1153,314,765
g59,214,207,2,5,14,11,162,173,106,111,118,103
g60,101,101,93,136,246,216,347,394,295,315,59,173
g61,335,224,24,22,287,234,125,130,434,377,57,72
g62,186,100,0,3,6,10,196,221,301,310,96,234
g63,28,19,1,1,3,5,48,70,36,24,4,17
g66,225,173,283,258,180,147,195,257,185,172,26,33
g67,9,10,247,212,537,503,388,304,361,313,13,10
g68,40,20,152,188,151,155,159,177,179,217,24,54
g69,388,193,113,337,42,26,504,303,1163,1033,174,335
g70,1410,1035,1532,905,1826,2423,696,1349,1394,2128,287,768
g71,111,59,408,584,785,624,1803,2238,1436,1314,455,1157
g72,45,43,90,169,66,71,227,323,143,147,51,117
g73,1724,928,18,33,42,42,163,228,142,104,44,94
g74,230,151,176,322,365,338,2657,3113,1900,2489,466,669
g75,44,33,40,57,199,161,508,533,450,311,86,212
g76,22,20,59,95,1474,3195,893,984,852,1016,246,409
g77,98,101,243,300,3464,4742,6972,5493,5185,4410,2144,3826
g78,216,159,197,223,339,312,386,407,324,309,100,253
g79,4,3,0,0,2,1,26,35,15,12,8,9
g81,109,159,166,255,158,151,277,269,239,259,73,153
g82,1078,943,5691,4354,4895,5589,3570,5102,5675,7185,417,882
g83,392,329,211,248,199,185,245,293,222,326,52,122
g84,769,615,205,154,983,799,4002,5068,2333,3609,2518,3589
g85,539,362,2439,2559,2184,1465,1780,3439,1750,1977,547,1228
g86,57,65,92,114,105,123,484,526,496,406,116,189
g87,219,55,70,81,329,293,281,644,253,254,115,249
g88,7,12,3,3,3,2,233,343,149,98,76,158
g91,320,210,319,528,283,174,1314,1610,1141,1065,439,853
g92,2843,391,4436,8294,12747,9120,28436,29391,28141,34299,14837,31298
g93,1584,1092,410,437,708,629,885,1346,1121,2054,347,443
g94,1366,2593,519,448,2435,1489,1272,1209,808,942,485,675
g96,0,1,0,0,0,0,14,9,4,5,4,3
g97,0,1,0,0,0,0,230,155,154,57,58,225
g98,67,96,570,477,466,520,367,439,273,326,43,87
g99,1376,1604,403,367,318,195,805,1111,545,800,186,403
g100,2168,2056,904,937,156,95,1122,1945,840,1324,230,434
g101,7558,7292,376,545,345,263,1346,1934,833,747,297,688
g102,154,127,124,180,103,111,304,424,174,170,78,126
g103,1175,1215,486,567,187,85,1051,1642,836,1342,211,378
g104,2534,3041,1595,2314,4715,3279,2165,1988,1693,3124,482,819
g107,0,0,0,1,0,0,0,0,0,0,0,0
g123,313,263,761,833,917,655,1070,1242,896,1051,214,466
g124,110,98,173,186,347,392,630,1139,492,568,170,328
g125,396,317,111,110,224,149,420,289,411,396,116,207
g126,234,198,55,85,128,75,178,245,132,139,307,340
g127,12,9,39,37,40,15,85,109,71,47,14,38
g128,296,237,210,193,383,330,517,571,389,376,153,244
g129,1104,1555,203,305,415,291,1373,493,991,637,357,460
g130,123,150,123,186,547,443,416,704,309,652,103,175
g131,118,90,248,255,360,291,423,665,375,411,98,226
g132,1964,919,997,1129,1529,1247,1465,1235,1419,1924,484,1315
g133,302,164,46,77,390,481,351,490,287,430,144,392
g134,374,227,197,243,633,645,984,760,1046,1037,188,373
g135,296,242,81,96,246,274,102,113,149,146,20,111
g136,430,187,2167,2614,2739,1853,7439,9177,5991,5762,1574,3632
g137,205,194,4,1,12,5,28,89,10,13,17,19
g138,195,198,155,150,64,35,601,965,489,461,125,353
g139,9773,12400,2784,2299,4308,6497,1898,3269,1927,2738,903,2046
g140,71,55,70,98,58,78,198,186,129,130,47,69
g141,503,333,137,174,180,154,408,296,369,294,62,187
g142,658,616,1352,1102,373,292,1462,2243,1580,1802,252,509
g143,128,68,441,488,908,713,718,874,752,720,154,453
g144,442,412,216,358,204,128,1055,1948,719,864,481,629
g146,497,185,106,188,265,257,565,1174,510,601,346,513
g147,298,419,1441,1158,11736,18171,1036,1126,1447,2212,415,510
g148,8,15,8,13,176,223,38,84,28,34,14,20
g149,1076,1047,214,240,264,219,338,546,278,274,67,197
g150,166,180,64,77,44,34,125,219,108,95,31,67
g152,67,31,17,40,95,109,83,100,85,57,26,50
g153,17,11,5,9,19,13,25,37,28,21,8,13
g154,53,6,287,242,2929,1423,360,162,252,229,6,8
g155,35,44,32,60,80,72,56,78,72,36,24,65
g156,0,0,2,1,0,0,35,12,21,27,0,4
g158,0,0,0,1,0,0,22,10,14,11,1,5
g161,151,117,14,43,17,10,59,109,44,38,10,20
g162,1709,1488,1482,1246,1645,1741,1276,1718,1395,1596,121,351
g163,44,17,0,0,18,5,25,73,9,10,6,11
g164,105,113,15,33,38,65,73,133,70,46,16,27
g165,213,148,174,203,189,180,495,635,436,436,116,309
g166,2421,2145,731,576,1319,1543,936,1058,952,923,302,666
g167,1677,1558,842,818,232,125,931,1656,780,1254,231,405
g168,528,514,829,947,2162,1856,832,1152,930,914,225,624
g169,107,97,146,160,116,49,203,293,185,204,49,115
g170,986,728,1457,1244,1965,1954,1051,1227,1123,1113,232,732
g171,152,196,263,238,333,278,537,677,538,487,157,448
g172,40,26,77,75,108,127,128,188,103,111,31,58
g173,392,289,554,586,1370,1639,1995,3152,2837,3616,1346,1828
g174,27,17,3,3,5,9,129,131,133,152,41,53
g175,0,0,1,0,0,0,429,592,386,500,153,305
g176,0,0,1,0,3,0,2,2,0,0,1,1
g177,6,8,5,13,27,37,74,70,57,45,6,23
g178,963,1084,1081,818,1848,2935,2933,2994,3908,6575,2388,2901
g179,586,368,84,152,256,185,305,817,552,1507,341,241
g180,132,86,84,102,490,413,870,1113,730,975,403,691
g181,11,9,4,18,110,121,79,184,74,169,54,65
g182,34,24,13,22,81,39,205,295,180,258,30,48
g183,19,18,20,27,106,58,443,416,348,282,33,59
g184,23,8,39,69,117,86,179,195,181,156,60,114
g185,9,10,42,47,148,81,419,386,342,236,111,236
g186,65,103,1,0,9,5,34,23,25,12,65,103
g187,227,207,50,55,101,105,143,153,169,153,41,113
g188,2,0,0,0,1,2,30,40,15,29,2,5
g189,9,6,9,3,17,15,61,68,51,55,4,15
g190,26,5,19,34,100,68,447,448,295,306,31,61
g191,38,23,83,132,280,189,638,658,583,435,134,391
g192,71,94,0,0,13,3,34,32,22,13,52,84
g193,542,354,194,164,344,321,378,380,415,328,91,211
g194,211,42,691,1539,1096,691,2203,4271,2564,3742,1661,2245
g195,291,166,247,633,421,340,792,708,766,518,161,433
g196,29,16,169,250,241,133,666,380,939,353,174,368
g197,11,3,6,7,14,21,98,140,97,138,24,70
g198,164,93,101,192,1859,2032,532,726,493,698,235,624
g199,774,721,1380,1582,1644,1428,2199,2879,1897,2066,530,1130
g200,482,335,15,51,61,31,140,120,81,90,31,62
g201,41,23,16,38,43,27,146,291,156,123,68,98
g202,1208,668,5192,3952,3904,4594,1587,2246,2411,2873,545,956
g203,491,464,239,349,136,112,401,627,300,359,117,194
g204,119,126,450,664,336,244,267,301,243,278,57,79
g205,25,25,184,252,173,133,185,175,158,200,32,62
g206,6653,6183,1880,1882,3326,3369,3233,4339,2963,3571,1613,2860
g207,78,84,2,2,0,3,61,137,37,41,43,52
g208,26,25,0,0,0,0,6,8,3,5,1,7
g209,1896,1777,1843,1628,477,301,1801,3463,1322,1517,302,607
g210,6,8,2,4,6,8,55,53,46,32,14,53
g211,334,275,315,350,535,394,473,842,435,508,139,370
g212,1692,722,4617,7659,2256,1575,12057,20498,10563,13317,4809,6275
g213,329,323,348,375,234,179,751,1259,622,627,188,428
g214,10787,11798,10,17,37,28,71,100,50,24,19,29
g215,1314,1433,164,186,125,86,87,163,84,91,23,51
g216,59,56,18,33,42,30,201,193,186,141,20,44
g217,175,135,62,63,50,42,133,135,105,55,30,61
g218,88,72,67,97,57,37,221,214,200,197,43,91
g219,85,68,271,334,312,229,525,595,676,440,125,339
g220,139,132,92,91,90,74,251,295,255,335,77,173
g221,128,180,132,215,230,139,272,349,301,297,43,210
g222,2167,4089,4697,5464,3541,2681,9065,9005,7322,6706,1594,4037
g227,0,0,0,0,0,1,0,0,0,0,0,0
g235,0,0,0,1,0,0,3,4,15,17,1,2
g247,1391,1477,3590,4302,5818,5462,14035,13917,10162,9645,3337,7549
g248,47,25,53,89,114,94,645,767,503,422,136,413
g249,497,404,108,124,224,222,162,319,160,243,57,127
g250,650,483,506,622,384,217,838,1168,811,911,187,372
g251,45,35,0,1,10,12,12,17,5,6,3,19
g252,533,619,200,291,169,140,550,797,492,578,104,167
g253,577,1066,83,129,623,435,482,750,347,224,51,145
g254,157,198,23,20,233,173,204,305,130,94,28,42
g255,168,159,178,201,506,322,2228,2070,1228,1351,351,793
g256,18,65,6,9,386,250,209,527,54,144,87,160
g257,24,20,5,5,46,21,67,154,64,62,47,60
g258,386,278,111,154,149,105,243,350,183,162,55,149
g259,545,463,257,336,489,592,666,700,435,408,90,268
g260,25754,25499,28646,33654,31493,34967,34545,25983,37486,35928,9971,18586
g261,10580,11090,7467,4926,2144,1840,2160,3890,2299,3847,520,866
g262,8,26,2,16,15,6,163,188,137,94,31,38
g273,0,0,0,1,0,0,275,244,303,350,58,192
g274,1,0,1,1,1,1,1345,963,1648,1546,436,910
g275,1,1,0,0,1,2,0,1,0,1,0,0
g276,3,8,1,0,8,12,16,2,7,3,2,3
g278,5,4,8,4,6,7,14,4,3,6,4,3
g279,1709,1380,537,445,2803,3348,1061,1063,1229,1854,220,442
g280,16,7,4,3,22,21,36,65,36,26,4,22
g281,65,54,37,42,52,18,197,261,216,190,62,150
g282,112,93,20,21,29,15,79,165,91,84,30,43
g283,448,428,88,127,33,13,501,699,411,473,76,92
g284,66,45,89,111,137,145,258,401,234,196,70,115
g285,67,46,100,133,358,308,378,369,283,247,109,215
g286,341,447,366,319,536,531,396,404,354,500,72,174
g287,951,948,1222,1228,954,816,3090,3050,2974,2505,458,1159
g288,152,149,363,363,323,316,466,504,515,396,76,173
g289,31,10,3,2,1,2,29,12,12,18,5,3
g290,9,1,9,10,41,16,531,13,118,53,10,89
g291,133,110,124,131,217,175,456,482,354,310,138,259
g292,123,109,107,112,142,137,247,297,193,159,52,94
g293,234,228,276,339,323,252,536,722,413,468,76,204
g294,1219,1339,4267,3478,7659,11752,871,1142,1163,1703,113,305
g295,45,21,15,19,64,64,117,198,65,64,18,43
g296,244,106,9,13,91,80,94,135,69,89,22,33
g297,0,0,0,0,1,1,84,149,76,90,32,46
g298,127,153,23,15,69,69,62,167,70,55,24,61
g299,646,576,457,447,1024,944,681,969,725,821,280,666
g300,9889,11125,2361,2734,1960,1685,2539,3538,2697,2973,1000,2005
g326,71,26,533,569,964,743,997,1239,984,1210,282,504
