,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g5518,2010.69507123209,4.26783615084346,0.397263174000101,10.7430953336802,6.38665015103174e-27,1.07704468146999e-22
g28300,145.450638675881,6.5275976606177,0.65534995140528,9.96047630219618,2.26972683850722e-23,1.9138336702292901e-19
g28275,141.484710542708,6.80564412148164,0.692642797357533,9.82561884342912,8.73359568396816e-23,4.90944525381463e-19
g27286,338.538157636458,7.61830597287673,0.799876253571225,9.52435572235469,1.66068819744454e-21,7.0014614404262e-18
g5655,44.7016318127669,5.59458000869087,0.593452950457003,9.4271668956783,4.21314830163907e-21,1.42101065917682e-17
g19595,51.8371004027867,5.80099328586432,0.622014867759167,9.32613284110496,1.09804242226439e-20,3.08623123484445e-17
g10237,569.97433870709,5.8215152080303,0.625529826597802,9.30653497322898,1.32070669328663e-20,3.18177109651224e-17
g21984,145.577035788677,4.6016073172375,0.498646696510173,9.22819172260098,2.75239037273241e-20,5.802038905719921e-17
g27278,254.16900589577,7.62441972287221,0.828005474694673,9.20817549628366,3.3171502651849304e-20,6.21560245245318e-17
g27236,344.177968328756,7.05842366445378,0.782720575812038,9.01780773698325,1.9189073127986101e-19,3.2360452923035697e-16
g27215,333.66541534762,6.90169756310131,0.767622093576631,8.9910095356216,2.44969796669286e-19,3.7556096827553005e-16
g18001,1646.60534839529,3.47160817782045,0.391376025683082,8.8702627396794,7.29735223518969e-19,1.02552123411866e-15
g16429,1599.72675894287,5.51250621679677,0.623365174900821,8.84314112939311,9.30645591826158e-19,1.20726209696587e-15
g19602,587.895298383331,3.86800578374297,0.43829130334918,8.82519400724085,1.0927021707214799e-18,1.31623781478907e-15
g16431,1660.16509828173,5.60383741378538,0.646824083869438,8.66361898626601,4.5701906015241796e-18,5.13811295360692e-15
g27151,212.850856490835,6.66870577686841,0.773472009955105,8.62178035021008,6.59210620210543e-18,6.948079937019121e-15
g27199,154.570882006777,3.5417586055851,0.412773162333134,8.58039942705063,9.45442625543857e-18,9.378790845395061e-15
g27273,174.387241175569,8.05965032176375,0.958900200916266,8.4050981677368,4.2750385115869705e-17,4.00523608107792e-14
g27160,233.229481673131,6.57753555229287,0.786640623743924,8.36155081972229,6.18991222141142e-17,5.49403577378327e-14
g27148,296.885857134565,6.0075189343441,0.719548423063932,8.34901271656367,6.88359270339433e-17,5.52785273095438e-14
g27149,303.493028312033,7.12976054665675,0.853738025994358,8.35122757751435,6.75571099725231e-17,5.52785273095438e-14
