,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g2029,1441.26967883651,6.76455535386569,0.375302710237345,18.0242645985363,1.25671920570828e-72,2.2065475813826e-68
g27361,279.456640277218,5.1116947044551,0.313782246497611,16.2905797300869,1.15132662932813e-59,1.01074964788716e-55
g21161,3038.9227453054,4.58891944230138,0.294601964579067,15.5766763091961,1.0486742367494e-54,6.13754074961533e-51
g21410,605.235388648859,7.86112167819813,0.509475999500995,15.4298174710834,1.03161556221709e-53,4.52827651035193e-50
g2600,255.929513389654,6.86194340690329,0.466743202524584,14.701753276293,6.28120902315692e-49,2.2057093605717802e-45
g22743,2135.32891783835,2.89590885954559,0.215656600419121,13.4283339991333,4.1258938312774297e-41,1.20737406482615e-37
g9080,1623.04850251604,4.30439869372786,0.323995444049798,13.2853679666751,2.8147135239048797e-40,7.06010572181741e-37
g1904,322.501752576282,3.55629965040551,0.270684074362043,13.1381931455965,1.98919986532422e-39,4.36579640442034e-36
g28230,3127.72493360086,4.86612957075289,0.378809626049946,12.8458445512451,9.07560309951297e-38,1.7705493246805399e-34
g19000,8840.17829560518,4.75847388936199,0.372501846190441,12.77436323612,2.28006027045542e-37,4.00332982286562e-34
g28080,1140.74802942429,3.19633506476218,0.259083065866884,12.3371052989023,5.717469789213771e-35,9.12612132354686e-32
g15869,1218.00705068274,6.82874017342465,0.557921348955337,12.2396108093209,1.90946029189267e-34,2.7938586504209603e-31
g24361,2009.13759496752,5.01039399506431,0.413278826042738,12.1235197143784,7.92797538114167e-34,1.0707645518622e-30
g27692,123.861350406965,5.79097046678516,0.481994232609085,12.0146053106031,2.97788051345446e-33,3.73468757537382e-30
g17795,5922.59863545225,3.33378687573138,0.280239064289117,11.8962246901167,1.23823148187452e-32,1.44939122391686e-29
g25073,1653.45402719768,-4.73427728409351,0.401431416494365,-11.793489720952,4.21697968566885e-32,4.62760808256085e-29
g3677,898.496961610603,2.67132672903619,0.232123940768658,11.5081913575581,1.19968019473863e-30,1.23905793289534e-27
g13572,1574.22123775042,-3.4171635223971,0.302713878851903,-11.2884269969957,1.49691608443722e-29,1.46015847836381e-26
g12736,575.530508179089,-5.46904673582924,0.498331387839933,-10.9747185693748,5.05630600210575e-28,4.672558988682771e-25
g16571,126.275965482957,4.11572593633252,0.386177052335216,10.6576139401466,1.60666548929337e-26,1.41049163305065e-23
g21470,297.285721137251,6.04703633700364,0.570316066910958,10.6029563041361,2.88706854857012e-26,2.41386426551401e-23
g29146,750.156457616896,4.36957197412372,0.415535520433749,10.5155197552369,7.327565352479879e-26,5.84806329358372e-23
g19645,1665.6365618619,4.29555414131651,0.413758843091119,10.3817820767894,3.00119877205877e-25,2.29108904520904e-22
g26607,1243.48090158503,4.18057778441355,0.404059622081819,10.3464378917006,4.34346468286833e-25,3.1776063709084197e-22
g22912,172.114484650234,3.77449493504889,0.368800442329338,10.2345184599271,1.38884365582348e-24,9.75412676357949e-22
g12905,954.430449443553,2.7007458086559,0.266343707869473,10.1400773844429,3.66808891064939e-24,2.47708865743008e-21
g27749,556.861844151885,-4.72581318903359,0.467057121556126,-10.1182766966239,4.58415614727895e-24,2.9810597642194e-21
g7179,1137.83961437004,3.15352437837492,0.313363601310939,10.0634673752227,8.01255497558104e-24,5.0244442950447105e-21
g27968,674.279627261072,-4.20626775581827,0.418157084493956,-10.0590613235899,8.37934544776321e-24,5.0732602542009104e-21
g8719,2050.33401616414,11.3234349481221,1.13495844371461,9.97695995904622,1.9226736424484e-23,1.12527679380363e-20
g2343,819.516429808715,3.66735958371703,0.372996841560217,9.83214648246551,8.18551985961158e-23,4.6361728288729104e-20
g21295,1061.38631872162,-2.67466380342784,0.276726447616659,-9.66537107841956,4.2308381614622003e-22,2.32140801371729e-19
g1644,16738.4065893686,3.5085808679564,0.364462921443208,9.62671553545981,6.1669150551276e-22,3.18466748640972e-19
g28275,141.484710542708,6.69320611905358,0.695200871946788,9.62772975285608,6.10636357105268e-22,3.18466748640972e-19
g8994,154.603010988839,-3.67412381622747,0.381997631168944,-9.61818481696955,6.70030795154601e-22,3.3612573432355703e-19
g5518,2010.69507123209,3.80349619422985,0.397808581808622,9.56112152467248,1.16487432816758e-21,5.68135095943511e-19
g11275,89.9453721232209,4.40950915411019,0.461513885222902,9.55444526220588,1.2424776330783001e-21,5.84188544231624e-19
g24979,1727.63666725576,-5.39757137190062,0.565034557175617,-9.55263939763424,1.26433333413838e-21,5.84188544231624e-19
g12524,162.625667543981,2.87739791742842,0.301852844550181,9.53245254891101,1.53610541980614e-21,6.9156253746041705e-19
g5991,448.135804844649,4.37468102574703,0.459672570121644,9.51695034704671,1.7833571702663e-21,7.82804629888393e-19
g27329,479.215480087334,-3.16657181134763,0.333237869608131,-9.50243684810296,2.05035043377911e-21,8.78050071129111e-19
g7028,635.818384538667,3.47420175722377,0.367653664252674,9.44965899982457,3.39936313416707e-21,1.4210956645168e-18
g18811,151.583432188686,4.81155485774712,0.509364003282336,9.44620119745706,3.51350946512008e-21,1.4346557950832199e-18
g28300,145.450638675881,6.18413285676379,0.658356028413764,9.39329570910708,5.8151596236240705e-21,2.32051301526344e-18
g23783,1804.70799111013,-2.4111754241611,0.257169429164013,-9.37582445938139,6.86372207299313e-21,2.67807182572474e-18
g26870,819.847541922385,-3.40051032842417,0.363492166553528,-9.35511309821694,8.35103236712859e-21,3.1875527456966003e-18
g8998,154.920723049489,-3.52428706768987,0.377688021978558,-9.3312121714306,1.04666920136392e-20,3.91008890160588e-18
g12735,733.006600704041,-5.62229502316618,0.603959366187962,-9.309061731508,1.28966549273246e-20,4.7174889002909495e-18
g7472,3028.23903055095,-4.50099024562331,0.48638196661933,-9.25402369851026,2.16197095820781e-20,7.74691552739037e-18
g17640,335.468979378457,-3.13542898006753,0.339850088958469,-9.22591778532884,2.81142780739931e-20,9.87260988846342e-18
g2802,825.932886438756,-5.46321797530763,0.592391674632967,-9.22230714787226,2.90775157731595e-20,1.00106474891203e-17
g16690,441.833979300806,2.67485143489012,0.291329768471002,9.18152459643469,4.25030488882959e-20,1.4351317930398e-17
g10618,386.755908931263,-5.67346989337401,0.625283748194567,-9.07343251724595,1.1532543042512401e-19,3.8173113024554e-17
