,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control,TPM_Early,TPM_Late
g22,5.926801886,73.52688957,71.85270832,51.42764029,39.49750965,45.01151135
g23,0.258838519,55.73959937,31.43994566,3.134133702,1.812297788,2.818898677
g24,1.376196021,0.072594193,0.13171186,1.185559847,0.320572451,2.818614114
g25,3.616154445,11.02369267,13.83878477,46.57446889,29.36818986,100.2077468
g26,25.74248731,14.91873974,13.05708129,35.54076284,30.1389378,39.73368252
g27,54.32000683,34.01670806,49.1311646,56.469456,41.36857358,76.10895416
g28,20.26034748,16.72398249,12.97596367,24.71122159,19.24849035,20.80036387
g29,15.65435114,52.80700139,75.68156401,26.6198848,37.84510785,37.68216642
g30,6.041736323,1.808517163,7.185502932,7.363313949,6.286626147,10.18472579
g31,20.62761043,29.83673465,46.10234962,42.93435164,38.97782514,39.77565557
g32,52.34284773,11.62221689,15.50537458,24.49714914,23.70419501,47.78145164
g33,26.17800263,8.477872682,5.496385484,10.4785121,9.333729222,11.31409187
g34,0.036648186,0,0,0.011734746,0.012446528,0
g36,0,0.361077742,0.280827799,0,0,0
g37,30.32126709,29.7620352,18.69837541,0,0,0
g39,0,0.399267287,0.178006622,0,0,0
g41,0.064225038,0.198495745,0.527400651,0,0,0
g42,4.709069256,4.265413696,3.005160543,0,0,0
g44,0.044127407,0.271199217,0.240059843,0,0,0
g45,33.5658954,27.14025796,20.08134994,0,0,0
g46,22.16529785,139.6616129,89.69150392,347.796862,213.5114063,229.8709143
g47,265.2686512,34.53656882,36.40163802,27.32731314,32.32664609,86.964975
g48,13.05932624,44.73383663,37.18020841,37.03056249,36.25760374,36.00801021
g49,116.8738176,216.5073147,58.82451117,96.59839932,80.36485618,50.49445542
g50,24.60172399,10.93781833,12.48454895,25.00911997,21.41016257,20.60640058
g51,11.04884937,5.099636706,8.554283464,8.997457654,6.732639212,4.847190635
g52,8.730036713,3.422742895,6.256617304,3.226423172,2.79236517,2.075145358
g53,6.161179128,3.825159486,9.737271278,6.235204413,7.697093571,5.432448656
g54,4.522837799,2.298361789,6.468533424,2.000173772,6.361453917,1.402007431
g55,14.85194253,3.616434891,9.324849008,4.047333745,7.254840065,3.025381674
g56,5.576002603,4.178828577,3.284607201,8.016591882,5.277805202,4.873985498
g57,4.013181759,1.689751268,2.875562966,7.558823372,7.746330528,8.934037302
g58,49.85088811,19.73500984,15.70788808,29.75963315,26.38643607,33.4441847
g59,6.808095938,0.119138296,0.378447578,3.657861367,2.487084319,7.645561463
g60,8.006198939,9.588543448,17.12396275,19.80440016,17.12549213,16.0930171
g61,30.03240329,2.633155953,26.30644919,9.292783844,31.06704339,13.99833817
g62,13.90884619,0.153036407,0.730109284,13.77132704,21.20115887,29.10361747
g63,1.914489603,0.086722572,0.304997265,3.243256354,1.746811852,1.427516618
g66,15.9264859,23.03122676,12.27860636,12.20581961,10.16337313,4.75734543
g67,0.703408255,18.01143535,35.94956265,17.35188392,17.68970946,1.85567134
g68,1.360680794,8.219828364,6.533691738,5.179290801,6.402106173,3.251764689
g69,19.76284215,16.20922096,2.184000441,18.83150551,53.41738043,32.65739425
g70,33.92015358,36.11665216,55.19168629,19.04871143,34.61180724,26.06756252
g71,5.146696177,31.95675021,40.19494026,82.96651788,59.47907778,87.92199617
g72,6.232016498,19.3481512,9.067403328,26.18959316,14.56032802,21.64756924
g73,85.65234137,1.748959226,2.552753769,8.547549273,5.687716345,8.256620186
g74,9.676694286,13.40152198,16.77186334,99.24443832,79.17737997,56.97776056
g75,2.111504684,2.819883569,9.266434913,19.33592768,14.89333946,14.73910024
g76,0.572160141,2.216981713,59.25506246,17.26921992,18.0253935,17.13791718
g77,3.945008608,11.38422422,151.6987753,167.4985073,134.9900498,224.2815453
g78,14.2330531,16.93592549,23.18110627,20.38973265,17.09649935,24.07147915
g79,0.204367764,0,0.082424761,1.201765696,0.561787872,1.021054988
g81,14.28278637,23.59257025,15.32730509,19.58489397,18.7167894,22.13414516
g82,49.69576642,262.7809578,241.0957663,143.5168922,223.9597451,58.95252526
g83,31.90983465,21.54326128,15.9198154,16.07562755,17.16043107,13.98194314
g84,11.72717748,3.240053682,14.16275482,51.87089076,35.62636799,102.1803795
g85,5.514331671,32.55236383,21.01034585,21.46831401,16.22116173,19.91471991
g86,8.4680854,15.10379727,14.75336315,47.2338116,44.39713416,40.69498097
g87,7.702348839,4.555535698,16.57708247,17.59929051,10.24178241,19.04475002
g88,1.638044003,0.544945891,0.40131124,33.15595007,15.06423736,37.05841773
g91,12.07598485,20.46450009,9.803196151,45.08790251,35.82083079,55.27805636
g92,120.3137817,508.1488365,775.0871569,1478.428366,1672.306474,3220.157729
g93,95.20304167,32.05399087,44.66699145,53.51353148,79.93409637,56.64566952
g94,104.9141648,27.00151958,96.75106803,44.14160531,32.5895422,60.36424102
g96,0.016739945,0,0,0.255990295,0.104167263,0.250944252
g97,0.015298889,0,0,3.913501527,2.257129068,7.117636551
g98,6.486762463,44.04734109,36.49663073,21.52460989,16.79816248,9.564767344
g99,48.17023531,13.17889791,7.756435829,20.78687561,15.32551373,17.44532812
