"Domain"	"A"	"B"	"Total_A"	"Total_B"	"P_value"
"Abhydrolase_1"	21	24	3933	2420	0.0442132061617844
"Acetyltransf_1"	31	9	3933	2420	0.0491239183560057
"Aldo_ket_red"	48	5	3933	2420	5.16377044115609e-06
"BT1"	48	12	3933	2420	0.00313792507523335
"C2"	45	12	3933	2420	0.00864732647466755
"CAP"	33	6	3933	2420	0.00264064476571966
"Crinkler"	76	141	3933	2420	5.48353593803229e-16
"DDE_Tnp_1_7"	29	35	3933	2420	0.00909535448131862
"DEAD"	58	20	3933	2420	0.0253195217216952
"EF-hand_7"	71	23	3933	2420	0.00713143943899312
"GST_C_3"	25	3	3933	2420	0.00266738446968606
"GST_N"	27	5	3933	2420	0.00951591079253459
"Glyco_hydro_3_C"	12	19	3933	2420	0.00928809208662592
"Helicase_C"	75	25	3933	2420	0.00672402968787962
"Integrase_H2C2"	77	71	3933	2420	0.0130615802699273
"Jacalin"	13	19	3933	2420	0.0168264818298962
"MIP"	24	5	3933	2420	0.0209146204719546
"Mannosyl_trans3"	39	5	3933	2420	0.000125809555665558
"NPP1"	35	41	3933	2420	0.00590771012352121
"NmrA"	25	2	3933	2420	0.000505356399006388
"Oxidored_FMN"	12	24	3933	2420	0.000785201316596907
"PH"	80	27	3933	2420	0.00643747481148552
"PX"	61	18	3933	2420	0.0048604223127449
"Pkinase"	211	187	3933	2420	0.000186950444111085
"RT_RNaseH"	85	72	3933	2420	0.0458062759217579
"RVT_2"	27	34	3933	2420	0.00524173713205349
"RXLR"	43	45	3933	2420	0.0145712155174199
"SKN1_KRE6_Sbg1"	35	0	3933	2420	5.64686102975175e-08
"Sulfatase"	27	2	3933	2420	0.000191783584099512
"gag_pre-integrs"	11	17	3933	2420	0.0181284329009016
