Term	TERM	ONTOLOGY	gene_count	GO_Label
GO:0110165	cellular anatomical entity	CC	185	GO:0110165 – cellular anatomical entity (CC)
GO:0005622	intracellular anatomical structure	CC	163	GO:0005622 – intracellular anatomical structure (CC)
GO:0009987	cellular process	BP	154	GO:0009987 – cellular process (BP)
GO:0016020	membrane	CC	144	GO:0016020 – membrane (CC)
GO:0043226	organelle	CC	128	GO:0043226 – organelle (CC)
GO:0043229	intracellular organelle	CC	125	GO:0043229 – intracellular organelle (CC)
GO:0005737	cytoplasm	CC	116	GO:0005737 – cytoplasm (CC)
GO:0043227	membrane-bounded organelle	CC	116	GO:0043227 – membrane-bounded organelle (CC)
GO:0008152	metabolic process	BP	110	GO:0008152 – metabolic process (BP)
GO:0043231	intracellular membrane-bounded organelle	CC	110	GO:0043231 – intracellular membrane-bounded organelle (CC)
GO:0003824	catalytic activity	MF	105	GO:0003824 – catalytic activity (MF)
GO:0071704	organic substance metabolic process	BP	105	GO:0071704 – organic substance metabolic process (BP)
GO:0044237	cellular metabolic process	BP	104	GO:0044237 – cellular metabolic process (BP)
GO:0044238	primary metabolic process	BP	101	GO:0044238 – primary metabolic process (BP)
GO:0006807	nitrogen compound metabolic process	BP	85	GO:0006807 – nitrogen compound metabolic process (BP)
GO:0043170	macromolecule metabolic process	BP	75	GO:0043170 – macromolecule metabolic process (BP)
GO:0005515	protein binding	MF	73	GO:0005515 – protein binding (MF)
GO:0005488	binding	MF	70	GO:0005488 – binding (MF)
GO:0005634	nucleus	CC	57	GO:0005634 – nucleus (CC)
GO:0032991	protein-containing complex	CC	57	GO:0032991 – protein-containing complex (CC)
GO:0016787	hydrolase activity	MF	55	GO:0016787 – hydrolase activity (MF)
GO:0044260	NA	NA	55	GO:0044260 – NA (NA)
GO:0034641	cellular nitrogen compound metabolic process	BP	53	GO:0034641 – cellular nitrogen compound metabolic process (BP)
GO:1901564	organonitrogen compound metabolic process	BP	53	GO:1901564 – organonitrogen compound metabolic process (BP)
GO:0009058	biosynthetic process	BP	50	GO:0009058 – biosynthetic process (BP)
GO:0044249	cellular biosynthetic process	BP	49	GO:0044249 – cellular biosynthetic process (BP)
GO:1901576	organic substance biosynthetic process	BP	49	GO:1901576 – organic substance biosynthetic process (BP)
GO:0071840	cellular component organization or biogenesis	BP	48	GO:0071840 – cellular component organization or biogenesis (BP)
GO:1901360	organic cyclic compound metabolic process	BP	48	GO:1901360 – organic cyclic compound metabolic process (BP)
GO:0006725	cellular aromatic compound metabolic process	BP	47	GO:0006725 – cellular aromatic compound metabolic process (BP)
GO:0046483	heterocycle metabolic process	BP	47	GO:0046483 – heterocycle metabolic process (BP)
GO:0006139	nucleobase-containing compound metabolic process	BP	46	GO:0006139 – nucleobase-containing compound metabolic process (BP)
GO:0051179	localization	BP	46	GO:0051179 – localization (BP)
GO:0006810	transport	BP	45	GO:0006810 – transport (BP)
GO:0051234	establishment of localization	BP	45	GO:0051234 – establishment of localization (BP)
GO:0016043	cellular component organization	BP	43	GO:0016043 – cellular component organization (BP)
GO:0016740	transferase activity	MF	43	GO:0016740 – transferase activity (MF)
GO:0090304	nucleic acid metabolic process	BP	39	GO:0090304 – nucleic acid metabolic process (BP)
GO:0006996	organelle organization	BP	37	GO:0006996 – organelle organization (BP)
GO:0010467	gene expression	BP	37	GO:0010467 – gene expression (BP)
GO:0065007	biological regulation	BP	37	GO:0065007 – biological regulation (BP)
GO:0019538	protein metabolic process	BP	36	GO:0019538 – protein metabolic process (BP)
GO:0005886	plasma membrane	CC	34	GO:0005886 – plasma membrane (CC)
GO:0071944	cell periphery	CC	34	GO:0071944 – cell periphery (CC)
GO:0044267	NA	NA	33	GO:0044267 – NA (NA)
GO:0044271	cellular nitrogen compound biosynthetic process	BP	33	GO:0044271 – cellular nitrogen compound biosynthetic process (BP)
GO:0003676	nucleic acid binding	MF	32	GO:0003676 – nucleic acid binding (MF)
GO:0043228	non-membrane-bounded organelle	CC	32	GO:0043228 – non-membrane-bounded organelle (CC)
GO:0043232	intracellular non-membrane-bounded organelle	CC	32	GO:0043232 – intracellular non-membrane-bounded organelle (CC)
GO:0009059	macromolecule biosynthetic process	BP	31	GO:0009059 – macromolecule biosynthetic process (BP)
GO:0016070	RNA metabolic process	BP	31	GO:0016070 – RNA metabolic process (BP)
GO:0034645	NA	NA	31	GO:0034645 – NA (NA)
GO:0097159	organic cyclic compound binding	MF	31	GO:0097159 – organic cyclic compound binding (MF)
GO:1901363	heterocyclic compound binding	MF	31	GO:1901363 – heterocyclic compound binding (MF)
GO:0050789	regulation of biological process	BP	29	GO:0050789 – regulation of biological process (BP)
GO:0051641	cellular localization	BP	29	GO:0051641 – cellular localization (BP)
GO:0046907	intracellular transport	BP	28	GO:0046907 – intracellular transport (BP)
GO:0050794	regulation of cellular process	BP	28	GO:0050794 – regulation of cellular process (BP)
GO:0051649	establishment of localization in cell	BP	28	GO:0051649 – establishment of localization in cell (BP)
GO:0140096	catalytic activity, acting on a protein	MF	28	GO:0140096 – catalytic activity, acting on a protein (MF)
GO:0009056	catabolic process	BP	27	GO:0009056 – catabolic process (BP)
GO:1901566	organonitrogen compound biosynthetic process	BP	25	GO:1901566 – organonitrogen compound biosynthetic process (BP)
GO:0005773	vacuole	CC	24	GO:0005773 – vacuole (CC)
GO:0044085	cellular component biogenesis	BP	24	GO:0044085 – cellular component biogenesis (BP)
