Category,TAD_Count
Category 1,1
Category 10,10
Category 11,1
Category 12,1
Category 13,5
Category 14,6
Category 15,2
Category 16,2
Category 17,1
Category 18,2
Category 19,2
Category 2,1
Category 20,1
Category 21,3
Category 22,1
Category 23,1
Category 24,1
Category 25,2
Category 26,1
Category 27,12
Category 28,1
Category 29,2
Category 3,15
Category 30,1
Category 31,1
Category 32,1
Category 33,3
Category 34,1
Category 35,2
Category 36,1
Category 37,1
Category 38,1
Category 39,1
Category 4,1
Category 5,1
Category 6,16
Category 7,1
Category 8,3
Category 9,1
Category ID,1
