"TAD_ID","DEGs","comparison"
"TAD_100","g4497,g4685,g4699,g4653,g4683,g4684,g4682,g4504,g4709,g4759,g4677,g4723,g4494,g4714,g4716,g4666,g4722,g4679,g4737,g4678,g4707,g4668,g4599,g4648,g4667,g4749,g4510,g4744,g4550,g4713,g4688,g4747,g4515,g4760,g4486,g4514,g4650,g4745,g4513,g4758,g4751,g4500,g4490,g4729,g4487,g4757,g4503,g4604,g4755,g4681,g4591,g4720,g4708,g4726,g4710,g4506,g4602,g4659,g4752,g4750,g4748,g4594,g4725,g4665,g4606,g4496,g4597,g4733,g4537,g4491,g4689,g4693,g4692,g4516,g4512,g4736,g4718,g4694,g4727,g4592,g4669,g4511,g4489,g4584,g4610,g4706,g4536,g4655,g4609,g4753,g4493,g4538,g4583,g4598,g4728,g4488,g4608,g4552,g4734,g4738,g4518,g4539,g4702,g4508,g4603,g4735,g4656,g4696,g4756,g4582,g4717,g4600,g4607","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_103","g4882,g4879,g4877,g4873,g4875,g4874,g4885,g4878,g4872,g4880,g4876,g4860,g4863,g4881,g4865,g4867,g4883","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_105","g5116,g5183,g5082,g5292,g5074,g5294,g5259,g5138,g5101,g5043,g5119,g5012,g5002,g5139,g5182,g5070,g5104,g5105,g5142,g5102,g5033,g5281,g5288,g5283,g5075,g5027,g5254,g5290,g5284,g5044,g5244,g5081,g5029,g5130,g5085,g5066,g5054,g5144,g5278,g5063,g5071,g5103,g5291,g5275,g5026,g5169,g5179,g5067,g5108,g5133,g5298,g5152,g5003,g5106,g5112,g5031,g5109,g5243,g5114,g5073,g5013,g5252,g5115,g5065,g5195,g5176,g5134,g5056,g5175,g5068,g5110,g5076,g5201,g5107,g5178,g5122,g5086,g5111,g5028,g5257,g5064,g5181,g5287,g5285,g5100,g5083,g5022,g5184,g5253,g5154,g5072,g5255,g5030,g5148,g5249,g5247,g5080,g5204,g5177,g5219,g5286,g5265,g5215,g5047,g5113,g5018,g5210,g5011,g5143,g5084,g5141,g5296,g5355,g5295,g5279,g5299,g5261,g5197,g5140,g5145,g5174,g5209,g5214,g5151,g5289,g5216,g5258,g5266,g5256,g5005,g5205,g5087,g5137,g5202,g5263,g5280,g5231,g5267,g5088","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_106","g5393,g5394,g5395,g5398,g5400,g5403,g5390,g5397,g5375,g5388","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_107","g5459,g5458,g5512,g5490,g5489,g5495,g5509,g5437,g5451,g5438,g5501,g5488,g5461,g5448,g5506,g5507,g5508,g5514,g5484,g5497,g5486,g5439,g5510,g5504,g5515,g5487,g5450,g5496,g5511,g5498","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_108","g6031,g6064,g5999,g5944,g5991,g5985,g6030,g6065,g5950,g5948,g6028,g6029,g6026,g5957,g5949,g6076,g6063,g6005,g6066,g5987,g6071,g6001,g6068,g6000,g6072,g6061,g5954,g5951,g5994,g6037,g5996,g6062,g6060,g6085,g5943,g5934,g6002,g6025,g6059,g5940,g6084,g5995,g5959,g6073,g6038,g6077,g6039,g6023,g5931,g6035,g5997,g6014,g5958,g5986,g5984,g6070,g6033,g6081,g5939,g5930,g5941,g5953,g6032,g5942,g6021","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_109","g6123,g6122,g6141,g6131,g6132,g6128,g6133,g6125,g6137,g6117,g6139,g6143,g6130,g6127","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_11","g1280,g1202,g1185,g1230,g1355,g1163,g1357,g1337,g1248,g1218,g1171,g1247,g1288,g1298,g1368,g1339,g1219,g1146,g1329,g1324,g1296,g1354,g1330,g1349,g1158,g1124,g1257,g1279,g1371,g1241,g1129,g1234,g1128,g1223,g1292,g1256,g1424,g1221,g1336,g1169,g1326,g1227,g1408,g1300,g1285,g1236,g1385,g1168,g1165,g1302,g1155,g1367,g1166,g1243,g1348,g1134,g1359,g1222,g1284,g1275,g1386,g1255,g1406,g1297,g1356,g1294,g1328,g1139,g1415,g1414,g1374,g1170,g1304,g1391,g1137,g1127,g1303,g1270,g1144,g1282,g1427,g1269,g1277,g1267,g1301,g1331,g1133,g1410,g1322,g1224,g1237,g1325,g1340,g1341,g1253,g1384,g1418,g1397,g1372,g1161,g1347,g1281,g1380,g1376,g1407,g1413,g1131,g1373,g1249,g1377,g1332,g1184,g1132,g1338,g1232,g1382,g1352,g1375,g1286,g1426,g1400,g1268,g1142,g1358,g1130,g1233,g1399,g1276,g1370,g1244,g1156,g1201,g1187,g1245,g1379,g1291,g1404","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_113","g6614,g6609,g6604,g6619,g6603,g6629,g6617,g6602,g6622,g6644,g6611,g6610,g6600,g6631,g6605,g6607,g6628,g6635,g6606,g6636,g6626,g6598,g6599,g6613,g6608,g6627,g6643","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
"TAD_114","g6670,g6672,g6683,g6669,g6685,g6689,g6673,g6674,g6667,g6684,g6679,g6675,g6671,g6666,g6681,g6676,g6688","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005"
