TAD_ID,Germinating_Cyst_vs_Zoospore,Mycelia_48h_vs_Germinating_Cyst,Mycelia_4d_vs_Mycelia_48h,Early_infection_vs_Mycelia_4d,Late_infection_vs_Early_infection,Category ID
TAD_1,Not Significant,Not Significant,Up,Not Significant,Not Significant,Category 27
TAD_100,Down,Up,Not Significant,Not Significant,Not Significant,Category 10
TAD_103,Down,Not Significant,Down,Not Significant,Not Significant,Category 1
TAD_105,Down,Up,Up,Not Significant,Not Significant,Category 14
TAD_106,Not Significant,Down,Down,Not Significant,Not Significant,Category 17
TAD_107,Up,Not Significant,Down,Not Significant,Not Significant,Category 37
TAD_108,Down,Up,Not Significant,Up,Not Significant,Category 13
TAD_109,Down,Not Significant,Up,Not Significant,Not Significant,Category 6
TAD_11,Down,Up,Not Significant,Not Significant,Not Significant,Category 10
TAD_110,Not Significant,Not Significant,Not Significant,Up,Not Significant,Category 25
TAD_113,Not Significant,Not Significant,Down,Not Significant,Not Significant,Category 19
TAD_115,Not Significant,Up,Not Significant,Up,Not Significant,Category 35
TAD_116,Not Significant,Up,Not Significant,Not Significant,Not Significant,Category 33
TAD_12,Not Significant,Not Significant,Up,Not Significant,Not Significant,Category 27
TAD_121,Not Significant,Up,Up,Not Significant,Not Significant,Category 36
TAD_123,Down,Up,Up,Up,Not Significant,Category 16
TAD_124,Not Significant,Not Significant,Up,Up,Not Significant,Category 29
TAD_125,Down,Up,Up,Not Significant,Not Significant,Category 14
TAD_126,Down,Not Significant,Not Significant,Not Significant,Up,Category 4
TAD_128,Not Significant,Not Significant,Not Significant,Down,Down,Category 22
TAD_129,Not Significant,Not Significant,Up,Up,Not Significant,Category 29
TAD_13,Down,Up,Not Significant,Not Significant,Not Significant,Category 10
TAD_130,Not Significant,Up,Not Significant,Up,Not Significant,Category 35
TAD_131,Down,Up,Up,Not Significant,Up,Category 15
TAD_133,Not Significant,Not Significant,Up,Not Significant,Not Significant,Category 27
TAD_134,Not Significant,Up,Not Significant,Not Significant,Down,Category 32
TAD_135,Not Significant,Up,Not Significant,Not Significant,Not Significant,Category 33
TAD_138,Down,Not Significant,Up,Not Significant,Not Significant,Category 6
TAD_140,Down,Not Significant,Not Significant,Not Significant,Not Significant,Category 3
TAD_141,Down,Up,Down,Not Significant,Up,Category 9
TAD_142,Down,Up,Not Significant,Not Significant,Not Significant,Category 10
TAD_144,Down,Not Significant,Up,Up,Not Significant,Category 8
TAD_146,Down,Not Significant,Up,Not Significant,Not Significant,Category 6
TAD_147,Down,Up,Up,Up,Not Significant,Category 16
TAD_148,Down,Up,Not Significant,Up,Not Significant,Category 13
TAD_149,Down,Not Significant,Up,Not Significant,Not Significant,Category 6
TAD_15,Down,Up,Not Significant,Not Significant,Not Significant,Category 10
TAD_150,Down,Not Significant,Up,Not Significant,Not Significant,Category 6
TAD_151,Not Significant,Not Significant,Up,Not Significant,Not Significant,Category 27
TAD_153,Not Significant,Up,Not Significant,Not Significant,Not Significant,Category 33
TAD_154,Not Significant,Not Significant,Down,Not Significant,Not Significant,Category 19
TAD_155,Down,Up,Not Significant,Not Significant,Not Significant,Category 10
TAD_16,Down,Up,Not Significant,Up,Not Significant,Category 13
TAD_17,Not Significant,Down,Up,Not Significant,Not Significant,Category 18
TAD_18,Down,Up,Not Significant,Not Significant,Not Significant,Category 10
TAD_19,Down,Not Significant,Not Significant,Up,Up,Category 5
TAD_20,Down,Not Significant,Up,Not Significant,Not Significant,Category 6
TAD_21,Down,Not Significant,Not Significant,Not Significant,Not Significant,Category 3
TAD_23,Down,Not Significant,Up,Not Significant,Not Significant,Category 6
TAD_24,Down,Up,Not Significant,Not Significant,Not Significant,Category 10
TAD_25,Down,Not Significant,Not Significant,Not Significant,Not Significant,Category 3
TAD_26,Not Significant,Up,Down,Up,Not Significant,Category 31
TAD_28,Not Significant,Not Significant,Not Significant,Up,Not Significant,Category 25
TAD_29,Down,Not Significant,Up,Not Significant,Not Significant,Category 6
TAD_30,Down,Not Significant,Up,Up,Down,Category 7
TAD_31,Down,Not Significant,Not Significant,Not Significant,Not Significant,Category 3
TAD_33,Not Significant,Not Significant,Up,Not Significant,Not Significant,Category 27
