,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g24671,5141.03054176408,-5.64405023776693,0.267389914523227,-21.1079398706216,6.72403762371609e-99,1.2040061769026e-94
g26123,1076.65441362635,-7.02188503396911,0.369134821716297,-19.0225484589093,1.10956875627871e-80,9.933969074963249e-77
g28847,822.933545844982,-5.28223212197538,0.288959988406534,-18.280150657204,1.19096656566554e-74,7.10848244160238e-71
g24411,4606.22843081606,-3.95035737199136,0.220439943873656,-17.920333776965,8.18356541178336e-72,3.6633730565848203e-68
g18924,400.477245726471,-6.32398600529146,0.355403462359506,-17.7938221628648,7.89091059507337e-71,2.82589290230767e-67
g21361,896.524192989168,6.75570660207567,0.383432081567923,17.6190437024736,1.7595417960487001e-69,5.25105923334134e-66
g29726,2066.03051085879,-5.66323265846948,0.33356518232754,-16.9778890559043,1.19715116842373e-64,3.0623126888279002e-61
g25192,824.569774280463,-7.50503904826158,0.445555675252323,-16.8442227652277,1.1567883627209e-63,2.5891815528600504e-60
g24673,629.150173108707,-6.06029292227688,0.361391151073109,-16.7693450829705,4.08991730580013e-63,8.137117697517461e-60
g23414,807.183797316901,4.61012442321833,0.279390513087507,16.5006476858232,3.62978341916909e-61,6.499490190364171e-58
g10873,3225.82904440674,-8.40659936257746,0.509893463002554,-16.4869722256772,4.55195387341232e-61,7.40975327793828e-58
g27654,569.901872456062,-4.78068961588022,0.291733622714459,-16.3871739273585,2.3617215247417e-60,3.5240821351687396e-57
g6160,2881.36630293309,-4.96623564290363,0.303669348927194,-16.3540892765384,4.06743919627419e-60,5.60242817296043e-57
g20660,235.985696269848,-8.0541268736362,0.498119340805773,-16.1690707704856,8.33459609374779e-59,1.06599484039034e-55
g1348,290.827530144003,-7.85823520762767,0.489658162916661,-16.048410509119,5.86468377147115e-58,7.00086850746417e-55
g3409,612.027580301376,4.28643763759318,0.268271582799037,15.9779787067651,1.8195083721608998e-57,2.03625730699456e-54
g19554,19689.8646271586,-4.2020379627607,0.263888201526087,-15.9235537567044,4.3495471995356e-57,4.5813524796990904e-54
g5959,1540.30036439889,-4.33225467290845,0.272151120230146,-15.9185627060615,4.71074286719442e-57,4.6861423211101803e-54
g4379,591.479519186497,-6.96624470587034,0.438862823137177,-15.8733990181093,9.68507348014731e-57,9.12741714397461e-54
g26089,2890.82813453085,-3.48156611648836,0.219410351536419,-15.8678298088888,1.05837609077898e-56,9.475641140744181e-54
g23835,335.830605066778,-6.88969842673874,0.436440631210926,-15.7861068242499,3.8778696482782597e-56,3.30653018676526e-53
g25195,390.681233465202,-5.95598588616044,0.377690353726544,-15.7694943156337,5.04521061894337e-56,4.10634278830909e-53
g13709,398.141683481633,-6.17139628268547,0.393671874504432,-15.6764978205625,2.1900089269234197e-55,1.70496955849959e-52
g5985,560.104992341221,-3.85828939200598,0.248338485936545,-15.5364134457671,1.9668730155967102e-54,1.46745117571978e-51
