"hub_id","comparison","total_genes","up_count","down_count","up_prop","down_prop"
"hub_1","GC_vs_Zoospore",20,3,6,0.15,0.3
"hub_1","M48_vs_GC",20,6,2,0.3,0.1
"hub_1","M4d_vs_M48",20,6,4,0.3,0.2
"hub_1","Early_vs_M4d",20,1,0,0.05,0
"hub_1","Late_vs_M4d",20,3,0,0.15,0
"hub_1","Late_vs_Early",20,1,1,0.05,0.05
"hub_2","GC_vs_Zoospore",13,1,3,0.0769230769230769,0.230769230769231
"hub_2","M48_vs_GC",13,1,1,0.0769230769230769,0.0769230769230769
"hub_2","M4d_vs_M48",13,5,2,0.384615384615385,0.153846153846154
"hub_2","Early_vs_M4d",13,0,0,0,0
"hub_2","Late_vs_M4d",13,0,0,0,0
"hub_2","Late_vs_Early",13,2,0,0.153846153846154,0
"hub_3","GC_vs_Zoospore",10,7,0,0.7,0
"hub_3","M48_vs_GC",10,4,3,0.4,0.3
"hub_3","M4d_vs_M48",10,2,4,0.2,0.4
"hub_3","Early_vs_M4d",10,1,0,0.1,0
"hub_3","Late_vs_M4d",10,1,0,0.1,0
"hub_3","Late_vs_Early",10,0,0,0,0
"hub_4","GC_vs_Zoospore",14,0,4,0,0.285714285714286
"hub_4","M48_vs_GC",14,1,2,0.0714285714285714,0.142857142857143
"hub_4","M4d_vs_M48",14,5,2,0.357142857142857,0.142857142857143
"hub_4","Early_vs_M4d",14,0,0,0,0
"hub_4","Late_vs_M4d",14,0,1,0,0.0714285714285714
"hub_4","Late_vs_Early",14,0,1,0,0.0714285714285714
"hub_5","GC_vs_Zoospore",12,2,4,0.166666666666667,0.333333333333333
"hub_5","M48_vs_GC",12,1,2,0.0833333333333333,0.166666666666667
"hub_5","M4d_vs_M48",12,2,1,0.166666666666667,0.0833333333333333
"hub_5","Early_vs_M4d",12,0,0,0,0
"hub_5","Late_vs_M4d",12,0,0,0,0
"hub_5","Late_vs_Early",12,0,1,0,0.0833333333333333
"hub_6","GC_vs_Zoospore",39,9,15,0.230769230769231,0.384615384615385
"hub_6","M48_vs_GC",39,7,8,0.179487179487179,0.205128205128205
"hub_6","M4d_vs_M48",39,15,9,0.384615384615385,0.230769230769231
"hub_6","Early_vs_M4d",39,0,1,0,0.0256410256410256
"hub_6","Late_vs_M4d",39,3,4,0.0769230769230769,0.102564102564103
"hub_6","Late_vs_Early",39,5,4,0.128205128205128,0.102564102564103
"hub_7","GC_vs_Zoospore",23,5,10,0.217391304347826,0.434782608695652
"hub_7","M48_vs_GC",23,10,6,0.434782608695652,0.260869565217391
"hub_7","M4d_vs_M48",23,9,8,0.391304347826087,0.347826086956522
"hub_7","Early_vs_M4d",23,0,1,0,0.0434782608695652
"hub_7","Late_vs_M4d",23,1,2,0.0434782608695652,0.0869565217391304
"hub_7","Late_vs_Early",23,1,0,0.0434782608695652,0
"hub_8","GC_vs_Zoospore",16,4,4,0.25,0.25
"hub_8","M48_vs_GC",16,2,2,0.125,0.125
"hub_8","M4d_vs_M48",16,9,2,0.5625,0.125
"hub_8","Early_vs_M4d",16,1,1,0.0625,0.0625
"hub_8","Late_vs_M4d",16,2,0,0.125,0
"hub_8","Late_vs_Early",16,0,1,0,0.0625
"hub_9","GC_vs_Zoospore",63,15,21,0.238095238095238,0.333333333333333
"hub_9","M48_vs_GC",63,15,9,0.238095238095238,0.142857142857143
"hub_9","M4d_vs_M48",63,24,19,0.380952380952381,0.301587301587302
"hub_9","Early_vs_M4d",63,10,0,0.158730158730159,0
"hub_9","Late_vs_M4d",63,11,3,0.174603174603175,0.0476190476190476
