,chr,start,end,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control_96h,TPM_Early,TPM_Late,compartment
g22,HiC_scaffold_1,49788,52023,5.926801886314943,73.52688956970215,71.8527083225745,51.42764028682105,39.49750965475224,45.01151134632215,B
g23,HiC_scaffold_1,54051,55521,0.2588385189393678,55.73959937145948,31.43994565570123,3.1341337016669155,1.8122977877423243,2.818898676998254,A
g24,HiC_scaffold_1,55701,56793,1.3761960206067447,0.072594193018702,0.1317118595958608,1.185559846571657,0.3205724506454275,2.818614114012658,A
g25,HiC_scaffold_1,56858,59304,3.616154444962124,11.023692674569029,13.838784766187556,46.57446889133352,29.3681898619568,100.20774684075022,A
g26,HiC_scaffold_1,59438,62359,25.74248731225425,14.918739735148405,13.057081291173432,35.54076284156811,30.13893780124225,39.73368252185392,A
g27,HiC_scaffold_1,62544,63977,54.32000683345622,34.016708064212715,49.13116459696268,56.46945599962608,41.36857358330066,76.10895416142591,A
g28,HiC_scaffold_1,64263,65791,20.26034748425952,16.723982487148415,12.975963669407324,24.711221590795034,19.248490345015927,20.80036386964114,A
g29,HiC_scaffold_1,66095,74779,15.65435114057842,52.807001388712,75.6815640132489,26.619884800644527,37.845107853286976,37.68216642315575,A
g30,HiC_scaffold_1,75049,76995,6.04173632281605,1.80851716280318,7.185502931617279,7.363313948917961,6.286626147158087,10.184725788960556,A
g31,HiC_scaffold_1,77130,79292,20.62761042691524,29.8367346531646,46.102349617843096,42.93435163929918,38.977825140487546,39.77565556937402,A
g32,HiC_scaffold_1,81414,82590,52.34284772679234,11.622216891843191,15.505374582587663,24.497149135490467,23.704195014705085,47.78145163833254,A
g33,HiC_scaffold_1,82804,83770,26.178002625143908,8.477872681679106,5.496385483911641,10.478512097753622,9.333729221854565,11.31409186694129,A
g34,HiC_scaffold_1,84604,86728,0.036648185546603,0.0,0.0,0.0117347457457594,0.0124465284042929,0.0,A
g36,HiC_scaffold_1,90014,90896,0.0,0.3610777417548287,0.2808277994076052,0.0,0.0,0.0,A
g37,HiC_scaffold_1,91244,91478,30.321267091867348,29.76203519884668,18.69837541439855,0.0,0.0,0.0,A
g39,HiC_scaffold_1,94821,95427,0.0,0.3992672866261935,0.1780066221270792,0.0,0.0,0.0,A
g41,HiC_scaffold_1,99227,99833,0.0642250380371162,0.1984957446975286,0.5274006508528842,0.0,0.0,0.0,A
g42,HiC_scaffold_1,100181,100679,4.7090692557247245,4.265413696085068,3.005160543075343,0.0,0.0,0.0,A
g44,HiC_scaffold_1,103485,104367,0.0441274070867261,0.2711992170650071,0.2400598428660292,0.0,0.0,0.0,A
g45,HiC_scaffold_1,104715,104949,33.56589540019611,27.1402579621785,20.08134994015509,0.0,0.0,0.0,A
g46,HiC_scaffold_1,107715,108695,22.16529785148981,139.6616129284404,89.69150391585087,347.79686196921523,213.5114063119549,229.8709142993084,A
g47,HiC_scaffold_1,109255,110404,265.2686512239515,34.53656882361311,36.4016380174978,27.327313142788373,32.32664608923639,86.96497500402349,A
g48,HiC_scaffold_1,110572,111859,13.059326244617548,44.73383663294911,37.18020840502633,37.03056248543803,36.2576037421549,36.00801020606419,A
g49,HiC_scaffold_1,112267,114023,116.87381757201628,216.507314688642,58.82451117495178,96.59839932055502,80.3648561782052,50.49445541966112,A
g50,HiC_scaffold_1,114204,114966,24.601723987678405,10.93781833381832,12.484548945269712,25.009119970702805,21.410162574097228,20.60640057770357,A
g51,HiC_scaffold_1,115035,116648,11.048849373101252,5.099636705710784,8.554283464268217,8.99745765405941,6.732639212018404,4.847190635056339,A
g52,HiC_scaffold_1,116723,118835,8.730036713489023,3.4227428953802743,6.256617304025748,3.2264231719703123,2.792365169504034,2.075145358476296,A
g53,HiC_scaffold_1,118957,121944,6.161179127710534,3.8251594858229625,9.7372712783982,6.235204413158156,7.697093570788315,5.43244865610032,A
g54,HiC_scaffold_1,122218,123997,4.522837799416182,2.2983617885202854,6.468533423649559,2.000173772278808,6.361453917369728,1.4020074312835376,A
g55,HiC_scaffold_1,124071,125749,14.851942527245882,3.616434891093612,9.324849007921411,4.047333744687903,7.254840064905743,3.025381673710851,A
g56,HiC_scaffold_1,125846,129479,5.576002602893746,4.178828576709348,3.284607200926273,8.016591882234362,5.277805202038073,4.873985497504233,A
g57,HiC_scaffold_1,129801,134698,4.0131817586733165,1.6897512676372166,2.875562965747801,7.558823372410592,7.746330528482915,8.934037302294701,A
g58,HiC_scaffold_1,134739,137213,49.85088811272145,19.735009837270805,15.707888084574122,29.75963314781448,26.38643606655776,33.44418469938869,A
g59,HiC_scaffold_1,140279,142756,6.808095938025435,0.1191382959020476,0.3784475780609477,3.6578613666232185,2.487084318734053,7.6455614626424975,A
g60,HiC_scaffold_1,142764,143852,8.006198938943323,9.58854344817996,17.12396274607049,19.80440016245256,17.12549212552819,16.09301710110905,A
g61,HiC_scaffold_1,144079,144784,30.03240329323927,2.6331559528898776,26.30644918885326,9.292783843862797,31.06704339405412,13.998338170674144,A
g62,HiC_scaffold_1,145532,146309,13.908846187050248,0.1530364069042907,0.7301092837765195,13.771327036990748,21.201158868266727,29.1036174714355,A
g63,HiC_scaffold_1,146611,147541,1.9144896026391875,0.0867225719338613,0.304997265319546,3.243256354287651,1.7468118523396932,1.4275166183743755,A
g66,HiC_scaffold_1,152483,153503,15.926485895794915,23.03122676431192,12.278606357007105,12.205819609207518,10.163373128412518,4.757345429742541,A
g67,HiC_scaffold_1,153619,154648,0.7034082547755682,18.011435345325467,35.94956265177112,17.351883919130476,17.68970946310321,1.855671339818686,A
g68,HiC_scaffold_1,155112,156777,1.3606807938240943,8.219828364292045,6.533691738140163,5.1792908008428125,6.402106173470032,3.2517646890515897,A
g69,HiC_scaffold_1,158300,159410,19.762842150995983,16.209220961701647,2.1840004410492004,18.831505509165723,53.41738043082657,32.65739424861465,A
g70,HiC_scaffold_1,159743,162476,33.9201535847753,36.116652163219854,55.1916862862545,19.04871142537235,34.61180723902685,26.067562518613546,A
g71,HiC_scaffold_1,162620,164339,5.146696176635997,31.95675021386984,40.19494026379351,82.96651788498963,59.47907778332075,87.92199617455697,A
g72,HiC_scaffold_1,164463,165143,6.2320164980760735,19.34815119652308,9.067403328268531,26.189593162925387,14.560328016645538,21.64756924344205,A
g73,HiC_scaffold_1,165233,166403,85.65234137379511,1.7489592264923155,2.552753768826282,8.547549272849793,5.687716345372773,8.256620185604493,A
g74,HiC_scaffold_1,166665,168361,9.676694285507144,13.401521975059213,16.77186334415137,99.24443832054774,79.17737997133094,56.97776055779147,A
g75,HiC_scaffold_1,168796,170506,2.111504683618399,2.8198835687196206,9.26643491296698,19.335927675025072,14.893339459932635,14.73910023998056,A
g76,HiC_scaffold_1,170714,173775,0.5721601413615937,2.216981713256839,59.25506246372144,17.269219918029172,18.02539350041519,17.137917184636223,A
g77,HiC_scaffold_1,173812,176160,3.945008607725284,11.384224222115304,151.6987752755288,167.49850726373776,134.99004982993148,224.2815453403429,A
g78,HiC_scaffold_1,176489,177488,14.233053095943491,16.935925493589828,23.18110626554536,20.38973264789076,17.09649935219221,24.07147914801065,A
g79,HiC_scaffold_1,177810,179109,0.204367763835415,0.0,0.0824247606520195,1.2017656955946303,0.5617878717806524,1.0210549879235835,A
g81,HiC_scaffold_1,183341,184264,14.282786374415068,23.59257025202277,15.327305094421938,19.58489396970291,18.716789403926867,22.134145161404494,A
g82,HiC_scaffold_1,184459,186004,49.695766422443526,262.78095780082475,241.0957662806205,143.516892174361,223.9597450943107,58.95252525526779,A
g83,HiC_scaffold_1,186173,187031,31.909834648651795,21.54326127965669,15.91981540160436,16.075627545540964,17.160431072303,13.981943137443276,A
g84,HiC_scaffold_1,187127,191606,11.72717748228401,3.240053681712859,14.162754819969823,51.87089076103685,35.6263679850758,102.18037947584446,A
g85,HiC_scaffold_1,192927,196264,5.514331671079125,32.5523638337381,21.010345853262635,21.46831400680812,16.22116173229637,19.914719912396325,A
g86,HiC_scaffold_1,196660,197513,8.468085400345839,15.103797269948686,14.753363153505065,47.23381160074264,44.397134155847056,40.694980965856985,A
g87,HiC_scaffold_1,197657,199962,7.702348839063207,4.555535697501648,16.57708246919705,17.59929050969415,10.241782405846289,19.0447500167063,A
g88,HiC_scaffold_1,200150,200594,1.638044002769552,0.5449458912060209,0.4013112398744981,33.15595006592746,15.064237357034331,37.05841773192665,A
g91,HiC_scaffold_1,210628,212788,12.075984853346306,20.464500094918662,9.803196150785109,45.08790250947527,35.82083078875129,55.278056357486165,A
g92,HiC_scaffold_1,213154,214296,120.31378171891711,508.14883645913005,775.0871568693549,1478.428365959,1672.3064741293542,3220.1577289165134,A
g93,HiC_scaffold_1,214641,215916,95.20304166680336,32.05399086559912,44.66699144825152,53.51353147693163,79.93409637497868,56.64566951517161,A
g94,HiC_scaffold_1,217485,218931,104.9141647946612,27.00151957728484,96.75106802964928,44.141605307524,32.589542197713364,60.36424102043824,A
g96,HiC_scaffold_1,224110,226435,0.0167399453980612,0.0,0.0,0.2559902952738088,0.1041672628731658,0.2509442519589467,A
g97,HiC_scaffold_1,226466,229010,0.0152988887777092,0.0,0.0,3.913501527236877,2.257129068444163,7.117636550800218,A
g98,HiC_scaffold_1,230853,231813,6.486762463054113,44.04734109274612,36.49663073212051,21.52460988819876,16.798162479426146,9.564767344260645,A
g99,HiC_scaffold_1,231964,234322,48.17023531014414,13.178897912263064,7.756435828983717,20.78687560561796,15.325513727231916,17.445328120531816,A
g100,HiC_scaffold_1,234478,237028,62.98922332633192,29.104863861194872,3.509442395095572,30.666591886530792,22.78558702448628,18.60693196611568,A
g101,HiC_scaffold_1,237196,237688,1147.9671330382707,75.25143398463489,44.006239505414186,170.4458034561388,86.70105101462241,138.31372996922684,A
g102,HiC_scaffold_1,237861,238891,11.112836157432838,12.72967400120076,7.922729823920141,19.39677534109417,9.666131560547605,15.588570126583832,A
g103,HiC_scaffold_1,239052,241596,36.935680588560416,17.217790841701905,3.943241854558321,27.91996980124582,23.7389751651914,17.23798783109263,A
g104,HiC_scaffold_1,241752,244011,94.09751677394996,69.56109774600142,126.07896552279088,47.32197514535749,57.17032081032008,41.88701495761504,A
g107,HiC_scaffold_1,249101,250931,0.0,0.0216592510318094,0.0,0.0,0.0,0.0,A
g123,HiC_scaffold_1,295787,300112,5.298648143729139,15.5595902981354,13.565761088369031,14.365394926427111,12.70014464329584,11.49530925792072,B
g124,HiC_scaffold_1,300562,302632,4.2493511967168,7.778531279831025,14.117199441100992,24.235290869136072,15.347699442263362,19.0611018028062,A
g125,HiC_scaffold_1,302938,303839,32.21465030715245,10.61039841826702,15.82446650167081,21.8201077317429,25.91907006495751,27.7360744005682,A
g126,HiC_scaffold_1,303919,306889,5.5238792320319945,1.893923379145909,2.4374312719832583,3.6436688896884304,2.459557629409084,17.04141386245472,A
g127,HiC_scaffold_1,307111,307606,1.6089316680133587,6.194252172251979,3.970949167679401,10.037186533345618,6.454811980584811,7.078328038920997,A
g128,HiC_scaffold_1,307667,308507,24.08197769309583,19.36083214176612,30.2057614454794,33.246583601717745,24.56934902149296,34.74623761082013,A
g129,HiC_scaffold_1,308935,309205,376.1698495149494,75.61211167774536,93.15713317953488,180.21558929281824,163.31176669115837,230.7081743736937,A
