Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: sorted_clean_P.capsici_isolate_WB2_Final_HiC.fasta.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA	DNA-2-15_DR	304	291	31.46
DNA	DNA2-7_DR	153	147	39.30
DNA	DNA9-5_DR	105	103	27.30
DNA	NA-DNA-15_AstCal	139	139	33.52
DNA	NA-DNA-22_AstCal	317	314	29.69
DNA	Pcap_264	58741	57891	24.79
DNA	Pcap_342	21398	21158	13.00
DNA	Pcap_483	25043	24898	5.62
DNA/Academ-1	Academ-1_Testu	47	47	19.60
DNA/Academ-1	Academ_A.marissinica_29	32	32	6.57
DNA/Academ-1	Academ_A.marissinica_47	66	66	34.27
DNA/Academ-1	Academ_A.marissinica_51	106	106	15.13
DNA/Academ-1	Academ_A.marissinica_72	85	80	33.58
DNA/Academ-1	Academ_A.marissinica_8	53	53	33.23
DNA/Academ-1	Academ_D.rostriformis_2	94	90	38.49
DNA/Academ-1	Academ_S.broughtoni_1	52	51	20.70
DNA/Academ-1	TE2522_SO2_FAM0582	108	108	18.00
DNA/CMC-Chapaev	Chapaev-1_CE	72	72	31.46
DNA/CMC-EnSpm	EnSpm-11_DR	44	44	21.18
DNA/CMC-EnSpm	EnSpm-16_DR	73	73	18.93
DNA/CMC-EnSpm	EnSpm-N13_DR	-2	-3	100
DNA/Crypton	Pcap_242	110808	108982	24.38
DNA/Crypton	Pcap_248	22396	21911	6.26
DNA/Crypton	Pcap_270	63723	63022	21.05
DNA/Crypton	Pcap_314	36398	35968	24.06
DNA/Crypton	Pcap_361	22669	22285	19.52
DNA/Crypton	Pcap_362	32956	32354	24.48
DNA/Crypton	Pcap_419	16691	16590	18.79
DNA/Crypton	Pcap_431	22081	21405	11.88
DNA/Crypton	Pcap_479	31905	31159	24.04
DNA/Dada	Dada-U1A_DR	123	120	30.87
DNA/Dada	Dada-tL_DR	25	20	31.74
DNA/Ginger-1	Pcap_219	7868	7841	6.01
DNA/Ginger-1	Pcap_328	477	441	23.05
DNA/Ginger-1	Pcap_4	89570	89071	13.84
DNA/Kolobok-E	Kolobok_A.marissinica_158	44	44	24.17
DNA/Kolobok-T2	Kolobok-3_DR	162	161	35.10
DNA/Kolobok-T2	Kolobok_C.virginica_2	38	38	15.51
DNA/MULE-MuDR	DF003448460	326	326	24.46
DNA/MULE-MuDR	DF003450089	12	12	5.32
DNA/MULE-MuDR	DF003450325	53	53	24.84
DNA/MULE-MuDR	MULE-MuDR-2_AstCal	52	52	20.31
DNA/MULE-MuDR	MULE_M.edulis_29	80	73	31.75
DNA/MULE-MuDR	MULE_M.edulis_31	52	49	28.36
DNA/MULE-MuDR	MULE_M.phylippinarum_8	76	76	16.14
DNA/MULE-MuDR	MULE_S.constricta_35	54	54	15.35
DNA/MULE-MuDR	MULE_S.grandis_27	59	57	27.80
DNA/MULE-MuDR	Pcap_249	95197	93917	27.62
DNA/MULE-MuDR	Pcap_255	63326	61723	19.69
DNA/MULE-MuDR	Pcap_261	122389	120135	17.83
DNA/MULE-MuDR	Pcap_267	54427	53498	23.16
DNA/MULE-MuDR	Pcap_268	18825	18678	5.43
DNA/MULE-MuDR	Pcap_303	44822	43646	28.25
DNA/MULE-MuDR	Pcap_310	26261	25605	18.73
DNA/MULE-MuDR	Pcap_312	26494	26072	22.67
DNA/MULE-MuDR	Pcap_322	67769	66288	21.59
DNA/MULE-MuDR	Pcap_345	18924	18441	27.51
DNA/MULE-MuDR	Pcap_349	24520	24396	2.43
DNA/MULE-MuDR	Pcap_353	15704	15397	17.37
DNA/MULE-MuDR	Pcap_370	23970	23885	4.46
DNA/MULE-MuDR	Pcap_377	15589	15433	24.95
DNA/MULE-MuDR	Pcap_391	33981	33409	13.28
DNA/MULE-MuDR	Pcap_393	13934	13548	22.43
DNA/MULE-MuDR	Pcap_395	12119	11962	22.86
DNA/MULE-MuDR	Pcap_396	27444	26703	19.43
DNA/MULE-MuDR	Pcap_404	31078	30754	15.83
DNA/MULE-MuDR	Pcap_405	33760	33607	10.58
