chromosome	start	end	motif_id	sequence_name	strand	start.1	stop	anchor_annotation
HiC_scaffold_1	290000	300000	HTH_psq	1	+	144	152	Boundary
HiC_scaffold_1	290000	300000	zf-C2H2	1	+	8891	8901	Boundary
HiC_scaffold_1	290000	300000	bZIP_1	1	+	181	190	Boundary
HiC_scaffold_1	290000	300000	bZIP_1	1	-	9538	9547	Boundary
HiC_scaffold_1	290000	300000	CENP-B_N	1	+	9747	9757	Boundary
HiC_scaffold_1	290000	300000	HSF_DNA-bind	1	-	2293	2302	Boundary
HiC_scaffold_1	290000	300000	CSD	1	-	7496	7505	Boundary
HiC_scaffold_1	290000	300000	HLH	1	-	7496	7505	Boundary
HiC_scaffold_1	290000	300000	bZIP_1	1	+	181	191	Boundary
HiC_scaffold_1	610000	620000	HTH_psq	2	-	4887	4895	TAD_3
HiC_scaffold_1	610000	620000	HTH_psq	2	-	4887	4895	TAD_3
HiC_scaffold_1	610000	620000	Homeobox	2	-	301	310	TAD_3
HiC_scaffold_1	610000	620000	HSF_DNA-bind	2	-	5622	5635	TAD_3
HiC_scaffold_1	610000	620000	Myb_DNA-binding	2	-	5326	5336	TAD_3
HiC_scaffold_1	610000	620000	E2F_TDP	2	+	5782	5793	TAD_3
HiC_scaffold_1	610000	620000	E2F_TDP	2	-	5782	5793	TAD_3
HiC_scaffold_1	610000	620000	HTH_psq	2	-	4886	4895	TAD_3
HiC_scaffold_1	610000	620000	BrkDBD	2	-	8465	8475	TAD_3
HiC_scaffold_1	610000	620000	bZIP_1	2	-	2923	2933	TAD_3
HiC_scaffold_1	1740000	1745000	CG-1	3	-	2263	2272	TAD_6
HiC_scaffold_1	1740000	1745000	zf-C2H2	3	-	1183	1193	TAD_6
HiC_scaffold_1	1740000	1745000	zf-C2H2	3	-	2420	2430	TAD_6
HiC_scaffold_1	1740000	1745000	bZIP_1	3	-	1303	1313	TAD_6
HiC_scaffold_1	1740000	1745000	CSD	3	+	4470	4479	TAD_6
HiC_scaffold_1	1740000	1745000	HLH	3	+	4470	4479	TAD_6
HiC_scaffold_1	1750000	1760000	Homeobox	4	+	4878	4888	TAD_6
HiC_scaffold_1	1750000	1760000	zf-C2H2	4	-	2724	2734	TAD_6
HiC_scaffold_1	1750000	1760000	zf-C2H2	4	+	9701	9711	TAD_6
HiC_scaffold_1	1750000	1760000	zf-C2H2	4	+	4857	4870	TAD_6
HiC_scaffold_1	1750000	1760000	zf-C2H2	4	+	9701	9714	TAD_6
HiC_scaffold_1	1750000	1760000	zf-C2H2	4	+	4212	4222	TAD_6
HiC_scaffold_1	1750000	1760000	MADs	4	+	223	231	TAD_6
HiC_scaffold_1	1750000	1760000	bZIP_1	4	+	3027	3037	TAD_6
HiC_scaffold_1	1750000	1760000	bZIP_1	4	+	3026	3037	TAD_6
HiC_scaffold_1	1750000	1760000	zf-C2H2	4	+	9370	9380	TAD_6
HiC_scaffold_1	1750000	1760000	zf-C2H2	4	-	3353	3363	TAD_6
HiC_scaffold_1	1750000	1760000	HLH	4	+	9644	9654	TAD_6
HiC_scaffold_1	1750000	1760000	BrkDBD	4	+	470	480	TAD_6
HiC_scaffold_1	1750000	1760000	HSF_DNA-bind	4	-	7430	7442	TAD_6
HiC_scaffold_1	1750000	1760000	HSF_DNA-bind	4	-	8762	8774	TAD_6
HiC_scaffold_1	1750000	1760000	BrkDBD	4	+	73	82	TAD_6
HiC_scaffold_1	1750000	1760000	HSF_DNA-bind	4	-	7012	7025	TAD_6
HiC_scaffold_1	1750000	1760000	HSF_DNA-bind	4	-	49	60	TAD_6
HiC_scaffold_1	1810000	1815000	Myb_DNA-binding	5	-	2723	2732	Boundary
HiC_scaffold_1	1810000	1815000	MADs	5	+	3232	3240	Boundary
HiC_scaffold_1	1810000	1815000	zf-C2H2	5	+	3844	3853	Boundary
HiC_scaffold_1	1855000	1860000	Homeobox	6	+	1539	1549	TAD_7
HiC_scaffold_1	1855000	1860000	bZIP_1	6	-	3401	3410	TAD_7
HiC_scaffold_1	1855000	1860000	HSF_DNA-bind	6	-	450	459	TAD_7
HiC_scaffold_1	1855000	1860000	HLH	6	+	3738	3747	TAD_7
HiC_scaffold_1	1855000	1860000	bZIP_1	6	+	4395	4404	TAD_7
HiC_scaffold_1	1855000	1860000	Homeobox	6	-	4630	4639	TAD_7
HiC_scaffold_1	1855000	1860000	bZIP_1	6	-	4824	4834	TAD_7
HiC_scaffold_1	1855000	1860000	HSF_DNA-bind	6	+	1640	1652	TAD_7
HiC_scaffold_1	1920000	1925000	HSF_DNA-bind	7	-	585	598	TAD_7
HiC_scaffold_1	1920000	1925000	bZIP_1	7	-	4870	4878	TAD_7
HiC_scaffold_1	1920000	1925000	CENP-B_N	7	-	4249	4259	TAD_7
HiC_scaffold_1	1920000	1925000	HLH	7	+	84	93	TAD_7
HiC_scaffold_1	1920000	1925000	HSF_DNA-bind	7	-	430	439	TAD_7
HiC_scaffold_1	1920000	1925000	bZIP_1	7	+	4603	4613	TAD_7
HiC_scaffold_1	1920000	1925000	bZIP_1	7	+	4602	4613	TAD_7
HiC_scaffold_1	1920000	1925000	CSD	7	+	1008	1017	TAD_7
HiC_scaffold_1	1920000	1925000	zf-C2H2	7	-	3162	3172	TAD_7
HiC_scaffold_1	1920000	1925000	HLH	7	+	1008	1017	TAD_7
