Chromosome1	Start1	End1	Chromosome2	Start2	End2	OE_value	log2OE
HiC_scaffold_1	0	10000	HiC_scaffold_2	5800000	5810000	69.74636840820312	6.12404619475572
HiC_scaffold_1	40000	50000	HiC_scaffold_2	5810000	5820000	89.10588073730469	6.477448743588279
HiC_scaffold_1	200000	210000	HiC_scaffold_2	190000	200000	43.568546295166016	5.4452150720894235
HiC_scaffold_1	270000	280000	HiC_scaffold_2	1160000	1170000	65.76634216308594	6.039277526602191
HiC_scaffold_1	280000	290000	HiC_scaffold_2	1270000	1280000	33.785282135009766	5.078322997752574
HiC_scaffold_1	360000	370000	HiC_scaffold_2	2800000	2810000	56.879493713378906	5.829836718416275
HiC_scaffold_1	360000	370000	HiC_scaffold_2	5490000	5500000	32.24721145629883	5.011102505280398
HiC_scaffold_1	420000	430000	HiC_scaffold_2	100000	110000	1215.9466552734375	10.247864222439802
HiC_scaffold_1	420000	430000	HiC_scaffold_2	990000	1000000	38.90013885498047	5.281703399842639
HiC_scaffold_1	430000	440000	HiC_scaffold_2	400000	410000	50.316036224365234	5.652946369555059
HiC_scaffold_1	430000	440000	HiC_scaffold_2	520000	530000	34.21922302246094	5.096735097427477
HiC_scaffold_1	430000	440000	HiC_scaffold_2	570000	580000	66.1111068725586	6.046820764258119
HiC_scaffold_1	430000	440000	HiC_scaffold_2	980000	990000	52.66136932373047	5.71867313034029
HiC_scaffold_1	430000	440000	HiC_scaffold_2	5250000	5260000	63.71027374267578	5.9934541311441025
HiC_scaffold_1	430000	440000	HiC_scaffold_2	5920000	5930000	32.697391510009766	5.031103641752029
HiC_scaffold_1	560000	570000	HiC_scaffold_2	4120000	4130000	42.1876220703125	5.398747866396971
HiC_scaffold_1	590000	600000	HiC_scaffold_2	1570000	1580000	90.14085388183594	6.494109211295809
HiC_scaffold_1	630000	640000	HiC_scaffold_2	2860000	2870000	387.5990295410156	8.598421148355074
HiC_scaffold_1	680000	690000	HiC_scaffold_2	2770000	2780000	44.85387420654297	5.487160696691321
