Chromosome1	Start1	End1	Chromosome2	Start2	End2	OE_value	log2OE	Region1	Region2	Interaction_type	Compartment1	Compartment2	Compartment_interaction	TAD_or_Boundary1	TAD_or_Boundary2	TAD_Boundary_interaction
HiC_scaffold_1	0	10000	HiC_scaffold_2	5800000	5810000	69.74636840820312	6.12404619475572	T	O	T-O	B	A	B-A	NA	TAD_36	NA-TAD_36
HiC_scaffold_1	40000	50000	HiC_scaffold_2	5810000	5820000	89.10588073730469	6.477448743588279	T	O	T-O	B	B	B-B	NA	TAD_36	NA-TAD_36
HiC_scaffold_1	200000	210000	HiC_scaffold_2	190000	200000	43.568546295166016	5.445215072089424	O	O	O-O	A	B	A-B	TAD_1	NA	TAD_1-NA
HiC_scaffold_1	270000	280000	HiC_scaffold_2	1160000	1170000	65.76634216308594	6.039277526602191	O	O	O-O	B	B	B-B	TAD_1	TAD_25	TAD_1-TAD_25
HiC_scaffold_1	280000	290000	HiC_scaffold_2	1270000	1280000	33.785282135009766	5.078322997752574	O	O	O-O	B	B	B-B	B00030	TAD_25	B00030-TAD_25
HiC_scaffold_1	360000	370000	HiC_scaffold_2	2800000	2810000	56.879493713378906	5.829836718416275	O	C	O-C	A	A	A-A	TAD_2	TAD_29	TAD_2-TAD_29
HiC_scaffold_1	360000	370000	HiC_scaffold_2	5490000	5500000	32.24721145629883	5.011102505280398	O	O	O-O	A	A	A-A	TAD_2	TAD_36	TAD_2-TAD_36
HiC_scaffold_1	420000	430000	HiC_scaffold_2	100000	110000	1215.9466552734375	10.247864222439802	O	O	O-O	A	A	A-A	TAD_2	NA	TAD_2-NA
HiC_scaffold_1	420000	430000	HiC_scaffold_2	990000	1000000	38.90013885498047	5.281703399842639	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	400000	410000	50.316036224365234	5.652946369555059	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	520000	530000	34.21922302246094	5.096735097427477	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	570000	580000	66.1111068725586	6.046820764258119	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	980000	990000	52.66136932373047	5.71867313034029	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	5250000	5260000	63.71027374267578	5.993454131144103	O	O	O-O	A	A	A-A	TAD_2	TAD_36	TAD_2-TAD_36
HiC_scaffold_1	430000	440000	HiC_scaffold_2	5920000	5930000	32.697391510009766	5.031103641752029	O	O	O-O	A	A	A-A	TAD_2	NA	TAD_2-NA
HiC_scaffold_1	560000	570000	HiC_scaffold_2	4120000	4130000	42.1876220703125	5.398747866396971	O	O	O-O	B	A	B-A	TAD_3	TAD_32	TAD_3-TAD_32
HiC_scaffold_1	590000	600000	HiC_scaffold_2	1570000	1580000	90.14085388183594	6.494109211295809	O	O	O-O	A	B	A-B	TAD_3	TAD_25	TAD_3-TAD_25
HiC_scaffold_1	630000	640000	HiC_scaffold_2	2860000	2870000	387.5990295410156	8.598421148355074	O	C	O-C	A	A	A-A	B00064	TAD_29	B00064-TAD_29
HiC_scaffold_1	680000	690000	HiC_scaffold_2	2770000	2780000	44.85387420654297	5.487160696691321	O	C	O-C	A	A	A-A	TAD_4	B01278	TAD_4-B01278
HiC_scaffold_1	730000	740000	HiC_scaffold_2	370000	380000	46.02042007446289	5.524202247431948	O	O	O-O	B	B	B-B	TAD_4	TAD_24	TAD_4-TAD_24
HiC_scaffold_1	730000	740000	HiC_scaffold_2	600000	610000	56.36970520019531	5.816848117443152	O	O	O-O	B	B	B-B	TAD_4	TAD_24	TAD_4-TAD_24
HiC_scaffold_1	730000	740000	HiC_scaffold_2	990000	1000000	102.62934112548828	6.681299437724252	O	O	O-O	B	B	B-B	TAD_4	TAD_24	TAD_4-TAD_24
HiC_scaffold_1	730000	740000	HiC_scaffold_2	3360000	3370000	43.341064453125	5.437662681230496	O	O	O-O	B	A	B-A	TAD_4	TAD_29	TAD_4-TAD_29
HiC_scaffold_1	730000	740000	HiC_scaffold_2	3670000	3680000	58.16470336914063	5.862072029429918	O	O	O-O	B	A	B-A	TAD_4	TAD_29	TAD_4-TAD_29
HiC_scaffold_1	730000	740000	HiC_scaffold_2	4560000	4570000	33.28556442260742	5.056824727099961	O	O	O-O	B	A	B-A	TAD_4	TAD_33	TAD_4-TAD_33
HiC_scaffold_1	730000	740000	HiC_scaffold_2	5350000	5360000	34.93472671508789	5.126589949388597	O	O	O-O	B	A	B-A	TAD_4	TAD_36	TAD_4-TAD_36
HiC_scaffold_1	730000	740000	HiC_scaffold_2	5920000	5930000	45.53318405151367	5.508846442773213	O	O	O-O	B	A	B-A	TAD_4	NA	TAD_4-NA
HiC_scaffold_1	740000	750000	HiC_scaffold_2	0	10000	51.67845916748047	5.69149115051181	O	T	O-T	B	B	B-B	TAD_4	NA	TAD_4-NA
HiC_scaffold_1	740000	750000	HiC_scaffold_2	4970000	4980000	48.90353775024414	5.611866930414917	O	O	O-O	B	A	B-A	TAD_4	TAD_35	TAD_4-TAD_35
HiC_scaffold_1	740000	750000	HiC_scaffold_2	5240000	5250000	38.82719039916992	5.278995410069983	O	O	O-O	B	A	B-A	TAD_4	TAD_36	TAD_4-TAD_36
HiC_scaffold_1	760000	770000	HiC_scaffold_2	2790000	2800000	105.63211822509766	6.722904753247917	O	C	O-C	B	A	B-A	TAD_4	B01278	TAD_4-B01278
HiC_scaffold_1	760000	770000	HiC_scaffold_2	5020000	5030000	38.34657287597656	5.261025741304796	O	O	O-O	B	A	B-A	TAD_4	B01501	TAD_4-B01501
HiC_scaffold_1	760000	770000	HiC_scaffold_2	5720000	5730000	36.44703674316406	5.187729618637769	O	O	O-O	B	A	B-A	TAD_4	TAD_36	TAD_4-TAD_36
HiC_scaffold_1	770000	780000	HiC_scaffold_2	1250000	1260000	68.1383285522461	6.090394653138156	O	O	O-O	B	B	B-B	TAD_4	TAD_25	TAD_4-TAD_25
HiC_scaffold_1	840000	850000	HiC_scaffold_2	2910000	2920000	35.587894439697266	5.1533146731054575	O	C	O-C	A	B	A-B	TAD_4	TAD_29	TAD_4-TAD_29
HiC_scaffold_1	1150000	1160000	HiC_scaffold_2	5770000	5780000	32.88862609863281	5.039516836654796	O	O	O-O	B	B	B-B	TAD_5	TAD_36	TAD_5-TAD_36
HiC_scaffold_1	1230000	1240000	HiC_scaffold_2	5810000	5820000	32.6453857421875	5.0288071835256725	O	O	O-O	A	B	A-B	TAD_5	TAD_36	TAD_5-TAD_36
HiC_scaffold_1	1330000	1340000	HiC_scaffold_2	2770000	2780000	65.64701080322266	6.0366574152583965	O	C	O-C	A	A	A-A	TAD_5	B01278	TAD_5-B01278
HiC_scaffold_1	1490000	1500000	HiC_scaffold_2	1160000	1170000	114.95896911621094	6.844975219507955	O	O	O-O	A	B	A-B	TAD_5	TAD_25	TAD_5-TAD_25
HiC_scaffold_1	1660000	1670000	HiC_scaffold_2	100000	110000	274.81842041015625	8.102334897510556	O	O	O-O	B	A	B-A	B00166	NA	B00166-NA
HiC_scaffold_1	1670000	1680000	HiC_scaffold_2	1580000	1590000	48.520111083984375	5.600510948316312	O	O	O-O	B	B	B-B	B00166	TAD_25	B00166-TAD_25
HiC_scaffold_1	1710000	1720000	HiC_scaffold_2	60000	70000	39.35442352294922	5.298453901800425	O	O	O-O	B	B	B-B	TAD_6	NA	TAD_6-NA
HiC_scaffold_1	1710000	1720000	HiC_scaffold_2	110000	120000	100.90229034423828	6.65681511179851	O	O	O-O	B	B	B-B	TAD_6	NA	TAD_6-NA
HiC_scaffold_1	1770000	1780000	HiC_scaffold_2	1570000	1580000	102.99839782714844	6.686478085777344	O	O	O-O	A	B	A-B	TAD_6	TAD_25	TAD_6-TAD_25
HiC_scaffold_1	1870000	1880000	HiC_scaffold_2	950000	960000	53.51042175292969	5.7417479947566	O	O	O-O	B	B	B-B	TAD_7	TAD_24	TAD_7-TAD_24
HiC_scaffold_1	1980000	1990000	HiC_scaffold_2	240000	250000	34.19345474243164	5.095648288000244	O	O	O-O	B	B	B-B	TAD_7	NA	TAD_7-NA
HiC_scaffold_1	1980000	1990000	HiC_scaffold_2	5270000	5280000	40.4470329284668	5.337961969696182	O	O	O-O	B	A	B-A	TAD_7	TAD_36	TAD_7-TAD_36
HiC_scaffold_1	2310000	2320000	HiC_scaffold_2	1380000	1390000	40.73163986206055	5.348077993521293	O	O	O-O	A	B	A-B	TAD_8	TAD_25	TAD_8-TAD_25
HiC_scaffold_1	2390000	2400000	HiC_scaffold_2	1010000	1020000	53.18743133544922	5.733013459179343	O	O	O-O	B	B	B-B	TAD_9	TAD_24	TAD_9-TAD_24
HiC_scaffold_1	2460000	2470000	HiC_scaffold_2	1380000	1390000	33.54566955566406	5.068054634373934	O	O	O-O	A	B	A-B	TAD_9	TAD_25	TAD_9-TAD_25
HiC_scaffold_1	2530000	2540000	HiC_scaffold_2	1180000	1190000	33.60006332397461	5.07039204685265	P	O	P-O	A	B	A-B	TAD_9	TAD_25	TAD_9-TAD_25
HiC_scaffold_1	2690000	2700000	HiC_scaffold_2	1400000	1410000	35.26362991333008	5.140109083113781	P	O	P-O	A	B	A-B	B00271	TAD_25	B00271-TAD_25
HiC_scaffold_1	2690000	2700000	HiC_scaffold_2	1410000	1420000	44.15729522705078	5.464579900109695	P	O	P-O	A	B	A-B	B00271	TAD_25	B00271-TAD_25
HiC_scaffold_1	2760000	2770000	HiC_scaffold_2	4140000	4150000	37.91767120361328	5.244798455585316	P	O	P-O	B	B	B-B	TAD_10	TAD_32	TAD_10-TAD_32
HiC_scaffold_1	2840000	2850000	HiC_scaffold_2	1160000	1170000	61.76201248168945	5.948647857694941	C	O	C-O	A	B	A-B	B00283	TAD_25	B00283-TAD_25
HiC_scaffold_1	2850000	2860000	HiC_scaffold_2	1560000	1570000	134.29164123535156	7.069225699129809	C	O	C-O	A	B	A-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	2900000	2910000	HiC_scaffold_2	2770000	2780000	59.03093338012695	5.883399248331905	C	C	C-C	A	A	A-A	TAD_11	B01278	TAD_11-B01278
HiC_scaffold_1	2910000	2920000	HiC_scaffold_2	2770000	2780000	46.24520492553711	5.531231878056117	C	C	C-C	A	A	A-A	TAD_11	B01278	TAD_11-B01278
HiC_scaffold_1	2930000	2940000	HiC_scaffold_2	1380000	1390000	43.552364349365234	5.444679136157292	C	O	C-O	A	B	A-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	2950000	2960000	HiC_scaffold_2	1560000	1570000	113.22345733642578	6.823029072653586	C	O	C-O	A	B	A-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	2980000	2990000	HiC_scaffold_2	5810000	5820000	32.644317626953125	5.0287599796184	C	O	C-O	A	B	A-B	TAD_11	TAD_36	TAD_11-TAD_36
HiC_scaffold_1	2990000	3000000	HiC_scaffold_2	1160000	1170000	80.51972961425781	6.33127042257602	C	O	C-O	A	B	A-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	3000000	3010000	HiC_scaffold_2	5810000	5820000	64.32130432128906	6.007224756982192	C	O	C-O	A	B	A-B	TAD_11	TAD_36	TAD_11-TAD_36
HiC_scaffold_1	3070000	3080000	HiC_scaffold_2	1380000	1390000	61.00971984863281	5.930967200847022	C	O	C-O	A	B	A-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	3150000	3160000	HiC_scaffold_2	1580000	1590000	39.860107421875	5.3168736930923695	C	O	C-O	A	B	A-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	3330000	3340000	HiC_scaffold_2	2930000	2940000	47.51628112792969	5.570350022603434	C	C	C-C	A	B	A-B	TAD_11	TAD_29	TAD_11-TAD_29
HiC_scaffold_1	3350000	3360000	HiC_scaffold_2	880000	890000	56.61881256103516	5.823209587503153	C	O	C-O	A	B	A-B	TAD_11	TAD_24	TAD_11-TAD_24
HiC_scaffold_1	3390000	3400000	HiC_scaffold_2	1200000	1210000	39.18465805053711	5.292217002114296	C	O	C-O	A	B	A-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	3500000	3510000	HiC_scaffold_2	1560000	1570000	207.90362548828125	7.699771106356571	C	O	C-O	A	B	A-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	3510000	3520000	HiC_scaffold_2	2920000	2930000	512.4180908203125	9.001177600419204	C	C	C-C	A	B	A-B	TAD_11	TAD_29	TAD_11-TAD_29
HiC_scaffold_1	3530000	3540000	HiC_scaffold_2	2680000	2690000	48.49895095825195	5.599881636750106	C	C	C-C	B	B	B-B	TAD_11	TAD_28	TAD_11-TAD_28
HiC_scaffold_1	3610000	3620000	HiC_scaffold_2	1650000	1660000	35.56214141845703	5.152270295342169	C	O	C-O	B	B	B-B	TAD_11	TAD_25	TAD_11-TAD_25
HiC_scaffold_1	3670000	3680000	HiC_scaffold_2	370000	380000	197.6461944580078	7.626776367095595	C	O	C-O	B	B	B-B	TAD_12	TAD_24	TAD_12-TAD_24
HiC_scaffold_1	3670000	3680000	HiC_scaffold_2	1700000	1710000	155.04299926757812	7.276524574480709	C	O	C-O	B	B	B-B	TAD_12	TAD_25	TAD_12-TAD_25
HiC_scaffold_1	3670000	3680000	HiC_scaffold_2	4390000	4400000	138.8203582763672	7.117075347248602	C	O	C-O	B	A	B-A	TAD_12	TAD_33	TAD_12-TAD_33
HiC_scaffold_1	3720000	3730000	HiC_scaffold_2	2650000	2660000	50.32036972045898	5.65307061710284	P	C	P-C	B	B	B-B	TAD_12	TAD_28	TAD_12-TAD_28
HiC_scaffold_1	3740000	3750000	HiC_scaffold_2	1560000	1570000	143.61012268066406	7.16601363410621	P	O	P-O	B	B	B-B	TAD_12	TAD_25	TAD_12-TAD_25
HiC_scaffold_1	3740000	3750000	HiC_scaffold_2	2680000	2690000	41.51615524291992	5.375600938660073	P	C	P-C	B	B	B-B	TAD_12	TAD_28	TAD_12-TAD_28
HiC_scaffold_1	3790000	3800000	HiC_scaffold_2	2550000	2560000	61.61012649536133	5.9450955926247335	P	P	P-P	B	A	B-A	TAD_12	TAD_28	TAD_12-TAD_28
