seq_id,aln_start,aln_end,env_start,env_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,score,evalue,significance,clan
g22.t1,68,454,53,455,PF02897.21,Peptidase_S9_N,Repeat,17,413,414,298.5,8.7e-89,1,CL0186
g22.t1,515,728,512,729,PF00326.27,Peptidase_S9,Domain,4,211,213,220.1,2.9e-65,1,CL0028
g23.t1,12,452,9,460,PF01490.24,Aa_trans,Domain,7,401,410,142.4,2e-41,1,CL0062
g25.t1,31,264,31,266,PF03731.21,Ku_N,Domain,1,218,220,88.5,6.6e-25,1,CL0128
g25.t1,274,468,273,473,PF02735.22,Ku,Domain,2,188,190,140.8,6.2e-41,1,CL0616
g25.t1,486,567,484,570,PF03730.19,Ku_C,Family,7,88,90,42.9,7.2e-11,1,No_Clan
g25.t1,597,624,596,624,PF02037.33,SAP,Domain,2,29,37,29.1,7e-07,1,CL0306
g26.t1,78,252,51,321,PF00069.31,Pkinase,Domain,45,200,263,35.2,1.1e-08,1,CL0016
g27.t1,41,143,41,234,PF01066.26,CDP-OH_P_transf,Family,1,90,152,39.5,9.3e-10,1,No_Clan
g28.t1,15,171,14,171,PF17835.6,NOG1_N,Domain,2,160,160,57.1,2.9e-15,1,CL0669
g28.t1,178,267,176,292,PF01926.29,MMR_HSR1,Family,3,86,113,66.1,3.6e-18,1,CL0023
g29.t1,874,942,873,943,PF13499.12,EF-hand_7,Domain,2,66,67,31.1,2.9e-07,1,CL0220
g29.t1,1283,1371,1283,1373,PF13499.12,EF-hand_7,Domain,1,65,67,43.7,3.5e-11,1,CL0220
g29.t1,1623,2090,1602,2092,PF06650.17,VPS13_VAB,Domain,186,563,565,55.6,4.5e-15,1,No_Clan
g30.t1,107,223,105,233,PF14580.12,LRR_9,Repeat,31,146,175,37.5,2.2e-09,1,CL0022
g31.t1,401,462,399,463,PF13432.12,TPR_16,Repeat,3,64,65,36.7,5.5e-09,1,CL0020
g31.t1,598,628,598,630,PF00515.34,TPR_1,Repeat,1,31,34,32.1,8.4e-08,1,CL0020
g32.t1,99,382,96,382,PF00481.26,PP2C,Family,4,255,255,176.8,8.1e-52,1,CL0238
g46.t1,8,30,8,30,PF10584.14,Proteasome_A_N,Family,1,23,23,50.6,1.4e-13,1,CL0052
g46.t1,32,223,31,223,PF00227.31,Proteasome,Domain,2,189,189,174.9,1.7e-51,1,CL0052
g47.t1,157,337,157,342,PF00485.24,PRK,Domain,1,190,196,151.9,2.4e-44,1,CL0023
g48.t1,1,73,1,75,PF11543.14,UN_NPL4,Family,5,78,80,43.1,5.9e-11,1,CL0072
g48.t1,173,391,173,415,PF05021.20,NPL4,Family,1,268,309,67.5,1.6e-18,1,CL0366
g49.t1,36,279,22,279,PF12037.13,ATAD3_N,Domain,16,265,265,325.1,4e-97,1,No_Clan
g49.t1,343,453,343,454,PF00004.35,AAA,Domain,1,130,131,59.5,6e-16,1,CL0023
g53.t1,47,163,47,165,PF00168.36,C2,Domain,1,102,104,35.3,1.4e-08,1,CL0154
g53.t1,191,280,190,294,PF00168.36,C2,Domain,2,91,104,43.3,4.4e-11,1,CL0154
g53.t1,314,419,314,419,PF00168.36,C2,Domain,1,104,104,60.8,1.6e-16,1,CL0154
g53.t1,509,572,509,573,PF13499.12,EF-hand_7,Domain,1,66,67,54.7,1.2e-14,1,CL0220
g53.t1,704,769,703,771,PF13499.12,EF-hand_7,Domain,2,65,67,47.7,2e-12,1,CL0220
g55.t1,189,257,185,264,PF00787.29,PX,Domain,6,68,84,28.0,3e-06,1,No_Clan
g58.t1,56,573,50,577,PF05843.20,Suf,Repeat,8,528,532,397.2,1.3e-118,1,CL0020
g61.t1,22,67,22,67,PF07648.20,Kazal_2,Domain,1,48,48,41.2,1.7e-10,1,CL0005
g61.t1,163,196,152,205,PF00050.26,Kazal_1,Domain,8,37,49,38.8,9.2e-10,1,CL0005
g62.t1,30,73,21,73,PF00050.26,Kazal_1,Domain,5,49,49,44.3,1.7e-11,1,CL0005
g62.t1,93,134,83,134,PF00050.26,Kazal_1,Domain,8,49,49,50.3,2.4e-13,1,CL0005
g62.t1,155,192,151,199,PF07648.20,Kazal_2,Domain,2,40,48,26.5,6.9e-06,1,CL0005
g62.t1,212,249,204,254,PF00050.26,Kazal_1,Domain,6,44,49,42.4,6.8e-11,1,CL0005
g63.t1,56,91,56,100,PF07648.20,Kazal_2,Domain,1,37,48,41.7,1.2e-10,1,CL0005
g63.t1,237,271,237,283,PF07648.20,Kazal_2,Domain,1,36,48,43.5,3.3e-11,1,CL0005
g66.t1,18,104,18,114,PF13344.12,Hydrolase_6,Domain,1,88,101,40.9,2.1e-10,1,CL0137
g66.t1,220,276,219,302,PF13242.12,Hydrolase_like,Domain,2,57,75,40.2,3.1e-10,1,CL0137
g67.t1,20,300,20,300,PF03747.19,ADP_ribosyl_GH,Family,1,287,287,175.6,2.3e-51,1,No_Clan
g68.t1,133,168,123,178,PF00050.26,Kazal_1,Domain,7,35,49,30.6,3.3e-07,1,CL0005
g70.t1,15,245,14,246,PF02190.22,LON_substr_bdg,Family,2,199,200,109.3,2.9e-31,1,CL0178
g70.t1,402,541,402,544,PF00004.35,AAA,Domain,1,128,131,82.2,5.8e-23,1,CL0023
g70.t1,563,613,563,621,PF22667.2,Lon_lid,Domain,1,51,57,69.2,2.3e-19,1,CL0671
g70.t1,639,844,638,853,PF05362.19,Lon_C,Domain,2,182,205,182.3,1.1e-53,1,CL0329
g71.t1,3,405,3,405,PF03223.20,V-ATPase_C,Family,1,371,371,374.9,6.7e-112,1,No_Clan
g73.t1,331,374,330,375,PF13920.12,zf-C3HC4_3,Domain,2,48,49,49.1,4.7e-13,1,CL0229
g74.t1,206,311,204,468,PF00561.26,Abhydrolase_1,Domain,3,103,245,74.5,1.3e-20,1,CL0028
g75.t1,175,298,173,438,PF00561.26,Abhydrolase_1,Domain,3,130,245,62.1,8.1e-17,1,CL0028
g77.t1,140,238,136,244,PF02893.26,GRAM,Domain,6,105,112,59.6,3e-16,1,CL0266
g77.t1,345,495,344,496,PF16016.11,VASt,Domain,2,151,152,111.7,5.2e-32,1,CL0209
g79.t1,106,165,102,166,PF03221.22,HTH_Tnp_Tc5,Domain,5,65,66,44.9,1.1e-11,1,CL0123
g79.t1,236,423,236,428,PF03184.25,DDE_1,Family,1,165,177,54.6,1.3e-14,1,CL0219
g81.t1,13,95,12,143,PF09750.14,DRY_EERY,Domain,2,78,133,52.7,6.6e-14,1,No_Clan
g81.t1,174,209,164,213,PF01805.25,Surp,Family,11,48,53,26.5,6.5e-06,1,No_Clan
g82.t1,71,154,70,155,PF01336.31,tRNA_anti-codon,Domain,2,74,75,28.8,1.2e-06,1,CL0021
g82.t1,189,508,187,509,PF00152.25,tRNA-synt_2,Domain,3,307,308,251.7,1e-74,1,CL0040
g83.t1,81,263,81,265,PF01351.24,RNase_HII,Family,1,197,199,137.8,5.3e-40,1,CL0219
g84.t1,92,798,91,854,PF00063.27,Myosin_head,Domain,2,644,679,678.8,1e-203,1,CL0023
