"TAD_ID","Pattern","Germinating_Cyst_vs_Zoospore","Mycelia_48h_vs_Germinating_Cyst","Mycelia_4d_vs_Mycelia_48h","Early_infection_vs_Mycelia_4d","Late_infection_vs_Early_infection","Category","Category_ID"
"TAD_1","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_5","Down,Not Significant,Up,Not Significant,Not Significant","Down","Not Significant","Up","Not Significant","Not Significant","Down,Not Significant,Up,Not Significant,Not Significant","Category_6"
"TAD_7","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_8","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_9","Down,Not Significant,Not Significant,Not Significant,Not Significant","Down","Not Significant","Not Significant","Not Significant","Not Significant","Down,Not Significant,Not Significant,Not Significant,Not Significant","Category_3"
"TAD_11","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
"TAD_12","Not Significant,Not Significant,Up,Not Significant,Not Significant","Not Significant","Not Significant","Up","Not Significant","Not Significant","Not Significant,Not Significant,Up,Not Significant,Not Significant","Category_27"
"TAD_13","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
"TAD_15","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
"TAD_16","Down,Up,Not Significant,Up,Not Significant","Down","Up","Not Significant","Up","Not Significant","Down,Up,Not Significant,Up,Not Significant","Category_13"
"TAD_17","Not Significant,Down,Up,Not Significant,Not Significant","Not Significant","Down","Up","Not Significant","Not Significant","Not Significant,Down,Up,Not Significant,Not Significant","Category_18"
"TAD_18","Down,Up,Not Significant,Not Significant,Not Significant","Down","Up","Not Significant","Not Significant","Not Significant","Down,Up,Not Significant,Not Significant,Not Significant","Category_10"
