# BUSCO version is: 5.2.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2024-01-08, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	HiC_scaffold_13	3688714	3694515	+	1504.7	1414	https://v10-1.orthodb.org/?query=302at33634	S1 domain
693at33634	Complete	HiC_scaffold_4	4507164	4510655	-	1641.5	926	https://v10-1.orthodb.org/?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	HiC_scaffold_5	1700028	1703195	-	1377.1	788	https://v10-1.orthodb.org/?query=723at33634	Aminoacyl-tRNA synthetase, class Ia
971at33634	Complete	HiC_scaffold_15	2109075	2112599	-	1513.3	853	https://v10-1.orthodb.org/?query=971at33634	Aminoacyl-tRNA synthetase, class Ia
1102at33634	Complete	HiC_scaffold_1	8687032	8692446	-	1813.9	1239	https://v10-1.orthodb.org/?query=1102at33634	RNA polymerase Rpb1, domain 4
1326at33634	Complete	HiC_scaffold_8	2916871	2920581	-	792.6	771	https://v10-1.orthodb.org/?query=1326at33634	MIF4G-like domain superfamily
1342at33634	Complete	HiC_scaffold_5	3904629	3907619	+	1205.5	760	https://v10-1.orthodb.org/?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	HiC_scaffold_11	2777218	2779995	-	769.5	572	https://v10-1.orthodb.org/?query=1803at33634	Aminoacyl-tRNA synthetase, class Ia
2880at33634	Complete	HiC_scaffold_2	603527	606116	-	894.5	581	https://v10-1.orthodb.org/?query=2880at33634	AP complex subunit beta
3405at33634	Complete	HiC_scaffold_15	3099091	3101970	+	1057.2	691	https://v10-1.orthodb.org/?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	HiC_scaffold_7	3376143	3378596	-	1079.7	616	https://v10-1.orthodb.org/?query=3528at33634	Helicase, C-terminal
3786at33634	Complete	HiC_scaffold_17	2290048	2291997	-	1044.7	547	https://v10-1.orthodb.org/?query=3786at33634	Heat shock protein 70 family
3834at33634	Complete	HiC_scaffold_7	301132	302994	-	710.2	481	https://v10-1.orthodb.org/?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	HiC_scaffold_3	1495762	1497609	-	851.0	510	https://v10-1.orthodb.org/?query=3835at33634	Methylglyoxal synthase-like domain
3892at33634	Complete	HiC_scaffold_12	3833794	3835893	+	783.3	544	https://v10-1.orthodb.org/?query=3892at33634	Sda1
4148at33634	Duplicated	HiC_scaffold_2	235700	238613	-	760.7	475	https://v10-1.orthodb.org/?query=4148at33634	Translation initiation factor IF- 2
4148at33634	Duplicated	HiC_scaffold_2	193586	196498	-	760.4	475	https://v10-1.orthodb.org/?query=4148at33634	Translation initiation factor IF- 2
4166at33634	Complete	HiC_scaffold_10	1173401	1175107	+	722.1	418	https://v10-1.orthodb.org/?query=4166at33634	EF-hand domain
4406at33634	Complete	HiC_scaffold_2	5020174	5028160	-	695.2	447	https://v10-1.orthodb.org/?query=4406at33634	WD40-repeat-containing domain
5074at33634	Duplicated	HiC_scaffold_8	210112	211647	+	667.4	418	https://v10-1.orthodb.org/?query=5074at33634	Carbohydrate kinase, FGGY
5074at33634	Duplicated	HiC_scaffold_8	363654	365189	-	665.7	418	https://v10-1.orthodb.org/?query=5074at33634	Carbohydrate kinase, FGGY
5144at33634	Complete	HiC_scaffold_11	1636991	1638523	-	727.3	419	https://v10-1.orthodb.org/?query=5144at33634	Signal recognition particle, SRP54 subunit
5145at33634	Complete	HiC_scaffold_8	2629757	2631577	-	504.3	289	https://v10-1.orthodb.org/?query=5145at33634	WD40-repeat-containing domain
5578at33634	Complete	HiC_scaffold_1	5925834	5927285	+	741.2	374	https://v10-1.orthodb.org/?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	HiC_scaffold_14	64754	68464	-	796.9	517	https://v10-1.orthodb.org/?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
5964at33634	Complete	HiC_scaffold_11	3374359	3376080	-	534.6	417	https://v10-1.orthodb.org/?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	HiC_scaffold_1	1787958	1789472	-	844.6	450	https://v10-1.orthodb.org/?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	HiC_scaffold_5	4452316	4454112	+	789.4	408	https://v10-1.orthodb.org/?query=6436at33634	RNA helicase
6684at33634	Complete	HiC_scaffold_5	3067331	3069068	-	734.1	436	https://v10-1.orthodb.org/?query=6684at33634	GroEL-like apical domain superfamily
6933at33634	Complete	HiC_scaffold_6	2485635	2487146	-	609.0	361	https://v10-1.orthodb.org/?query=6933at33634	Nop domain
6981at33634	Complete	HiC_scaffold_3	2447566	2451074	+	1327.0	869	https://v10-1.orthodb.org/?query=6981at33634	Exportin-1, C-terminal
6989at33634	Duplicated	HiC_scaffold_7	617964	619928	+	737.1	526	https://v10-1.orthodb.org/?query=6989at33634	Pescadillo
6989at33634	Duplicated	HiC_scaffold_7	766929	768821	+	704.6	505	https://v10-1.orthodb.org/?query=6989at33634	Pescadillo
7485at33634	Complete	HiC_scaffold_5	3396038	3398362	-	467.3	385	https://v10-1.orthodb.org/?query=7485at33634	RNA helicase
8142at33634	Complete	HiC_scaffold_14	3303577	3305296	-	312.2	234	https://v10-1.orthodb.org/?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	HiC_scaffold_4	4279272	4281266	-	362.4	335	https://v10-1.orthodb.org/?query=8760at33634	DNA glycosylase
8842at33634	Complete	HiC_scaffold_13	1850528	1856621	+	608.0	365	https://v10-1.orthodb.org/?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Duplicated	HiC_scaffold_8	1012105	1013395	+	217.2	211	https://v10-1.orthodb.org/?query=9201at33634	Programmed cell death protein 2
9201at33634	Duplicated	HiC_scaffold_8	1131006	1132302	+	213.1	261	https://v10-1.orthodb.org/?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	HiC_scaffold_3	433523	435000	-	658.7	377	https://v10-1.orthodb.org/?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	HiC_scaffold_1	7308784	7309875	-	448.5	307	https://v10-1.orthodb.org/?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	HiC_scaffold_13	618470	619978	-	460.0	327	https://v10-1.orthodb.org/?query=9413at33634	DNA primase
9731at33634	Complete	HiC_scaffold_6	3065520	3069675	-	853.8	556	https://v10-1.orthodb.org/?query=9731at33634	AP-3 complex subunit delta
9939at33634	Complete	HiC_scaffold_1	2981372	2983216	-	537.6	405	https://v10-1.orthodb.org/?query=9939at33634	Glycerol-3-phosphate dehydrogenase
10123at33634	Complete	HiC_scaffold_13	3570055	3571530	-	354.4	281	https://v10-1.orthodb.org/?query=10123at33634	ALG11 mannosyltransferase
