Chromosome1	Start1	End1	Chromosome2	Start2	End2	OE_value	log2OE	Region1	Region2	Interaction_type	Compartment1	Compartment2	Compartment_interaction	TAD_or_Boundary1	TAD_or_Boundary2	TAD_Boundary_interaction
HiC_scaffold_1	0	10000	HiC_scaffold_2	5800000	5810000	69.74636840820312	6.12404619475572	T	O	T-O	B	A	B-A	NA	TAD_36	NA-TAD_36
HiC_scaffold_1	40000	50000	HiC_scaffold_2	5810000	5820000	89.10588073730469	6.477448743588279	T	O	T-O	B	B	B-B	NA	TAD_36	NA-TAD_36
HiC_scaffold_1	200000	210000	HiC_scaffold_2	190000	200000	43.568546295166016	5.445215072089424	O	O	O-O	A	B	A-B	TAD_1	NA	TAD_1-NA
HiC_scaffold_1	270000	280000	HiC_scaffold_2	1160000	1170000	65.76634216308594	6.039277526602191	O	O	O-O	B	B	B-B	TAD_1	TAD_25	TAD_1-TAD_25
HiC_scaffold_1	280000	290000	HiC_scaffold_2	1270000	1280000	33.785282135009766	5.078322997752574	O	O	O-O	B	B	B-B	B00030	TAD_25	B00030-TAD_25
HiC_scaffold_1	360000	370000	HiC_scaffold_2	5490000	5500000	32.24721145629883	5.011102505280398	O	O	O-O	A	A	A-A	TAD_2	TAD_36	TAD_2-TAD_36
HiC_scaffold_1	420000	430000	HiC_scaffold_2	100000	110000	1215.9466552734375	10.247864222439802	O	O	O-O	A	A	A-A	TAD_2	NA	TAD_2-NA
HiC_scaffold_1	420000	430000	HiC_scaffold_2	990000	1000000	38.90013885498047	5.281703399842639	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	400000	410000	50.316036224365234	5.652946369555059	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	520000	530000	34.21922302246094	5.096735097427477	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	570000	580000	66.1111068725586	6.046820764258119	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	980000	990000	52.66136932373047	5.71867313034029	O	O	O-O	A	B	A-B	TAD_2	TAD_24	TAD_2-TAD_24
HiC_scaffold_1	430000	440000	HiC_scaffold_2	5250000	5260000	63.71027374267578	5.993454131144103	O	O	O-O	A	A	A-A	TAD_2	TAD_36	TAD_2-TAD_36
HiC_scaffold_1	430000	440000	HiC_scaffold_2	5920000	5930000	32.697391510009766	5.031103641752029	O	O	O-O	A	A	A-A	TAD_2	NA	TAD_2-NA
HiC_scaffold_1	560000	570000	HiC_scaffold_2	4120000	4130000	42.1876220703125	5.398747866396971	O	O	O-O	B	A	B-A	TAD_3	TAD_32	TAD_3-TAD_32
HiC_scaffold_1	590000	600000	HiC_scaffold_2	1570000	1580000	90.14085388183594	6.494109211295809	O	O	O-O	A	B	A-B	TAD_3	TAD_25	TAD_3-TAD_25
HiC_scaffold_1	730000	740000	HiC_scaffold_2	370000	380000	46.02042007446289	5.524202247431948	O	O	O-O	B	B	B-B	TAD_4	TAD_24	TAD_4-TAD_24
HiC_scaffold_1	730000	740000	HiC_scaffold_2	600000	610000	56.36970520019531	5.816848117443152	O	O	O-O	B	B	B-B	TAD_4	TAD_24	TAD_4-TAD_24
HiC_scaffold_1	730000	740000	HiC_scaffold_2	990000	1000000	102.62934112548828	6.681299437724252	O	O	O-O	B	B	B-B	TAD_4	TAD_24	TAD_4-TAD_24
HiC_scaffold_1	730000	740000	HiC_scaffold_2	3360000	3370000	43.341064453125	5.437662681230496	O	O	O-O	B	A	B-A	TAD_4	TAD_29	TAD_4-TAD_29
HiC_scaffold_1	730000	740000	HiC_scaffold_2	3670000	3680000	58.16470336914063	5.862072029429918	O	O	O-O	B	A	B-A	TAD_4	TAD_29	TAD_4-TAD_29
HiC_scaffold_1	730000	740000	HiC_scaffold_2	4560000	4570000	33.28556442260742	5.056824727099961	O	O	O-O	B	A	B-A	TAD_4	TAD_33	TAD_4-TAD_33
HiC_scaffold_1	730000	740000	HiC_scaffold_2	5350000	5360000	34.93472671508789	5.126589949388597	O	O	O-O	B	A	B-A	TAD_4	TAD_36	TAD_4-TAD_36
HiC_scaffold_1	730000	740000	HiC_scaffold_2	5920000	5930000	45.53318405151367	5.508846442773213	O	O	O-O	B	A	B-A	TAD_4	NA	TAD_4-NA
HiC_scaffold_1	740000	750000	HiC_scaffold_2	0	10000	51.67845916748047	5.69149115051181	O	T	O-T	B	B	B-B	TAD_4	NA	TAD_4-NA
HiC_scaffold_1	740000	750000	HiC_scaffold_2	4970000	4980000	48.90353775024414	5.611866930414917	O	O	O-O	B	A	B-A	TAD_4	TAD_35	TAD_4-TAD_35
HiC_scaffold_1	740000	750000	HiC_scaffold_2	5240000	5250000	38.82719039916992	5.278995410069983	O	O	O-O	B	A	B-A	TAD_4	TAD_36	TAD_4-TAD_36
HiC_scaffold_1	760000	770000	HiC_scaffold_2	5020000	5030000	38.34657287597656	5.261025741304796	O	O	O-O	B	A	B-A	TAD_4	B01501	TAD_4-B01501
HiC_scaffold_1	760000	770000	HiC_scaffold_2	5720000	5730000	36.44703674316406	5.187729618637769	O	O	O-O	B	A	B-A	TAD_4	TAD_36	TAD_4-TAD_36
HiC_scaffold_1	770000	780000	HiC_scaffold_2	1250000	1260000	68.1383285522461	6.090394653138156	O	O	O-O	B	B	B-B	TAD_4	TAD_25	TAD_4-TAD_25
HiC_scaffold_1	1150000	1160000	HiC_scaffold_2	5770000	5780000	32.88862609863281	5.039516836654796	O	O	O-O	B	B	B-B	TAD_5	TAD_36	TAD_5-TAD_36
HiC_scaffold_1	1230000	1240000	HiC_scaffold_2	5810000	5820000	32.6453857421875	5.0288071835256725	O	O	O-O	A	B	A-B	TAD_5	TAD_36	TAD_5-TAD_36
HiC_scaffold_1	1490000	1500000	HiC_scaffold_2	1160000	1170000	114.95896911621094	6.844975219507955	O	O	O-O	A	B	A-B	TAD_5	TAD_25	TAD_5-TAD_25
HiC_scaffold_1	1660000	1670000	HiC_scaffold_2	100000	110000	274.81842041015625	8.102334897510556	O	O	O-O	B	A	B-A	B00166	NA	B00166-NA
HiC_scaffold_1	1670000	1680000	HiC_scaffold_2	1580000	1590000	48.520111083984375	5.600510948316312	O	O	O-O	B	B	B-B	B00166	TAD_25	B00166-TAD_25
HiC_scaffold_1	1710000	1720000	HiC_scaffold_2	60000	70000	39.35442352294922	5.298453901800425	O	O	O-O	B	B	B-B	TAD_6	NA	TAD_6-NA
HiC_scaffold_1	1710000	1720000	HiC_scaffold_2	110000	120000	100.90229034423828	6.65681511179851	O	O	O-O	B	B	B-B	TAD_6	NA	TAD_6-NA
HiC_scaffold_1	1770000	1780000	HiC_scaffold_2	1570000	1580000	102.99839782714844	6.686478085777344	O	O	O-O	A	B	A-B	TAD_6	TAD_25	TAD_6-TAD_25
HiC_scaffold_1	1870000	1880000	HiC_scaffold_2	950000	960000	53.51042175292969	5.7417479947566	O	O	O-O	B	B	B-B	TAD_7	TAD_24	TAD_7-TAD_24
HiC_scaffold_1	1980000	1990000	HiC_scaffold_2	240000	250000	34.19345474243164	5.095648288000244	O	O	O-O	B	B	B-B	TAD_7	NA	TAD_7-NA
HiC_scaffold_1	1980000	1990000	HiC_scaffold_2	5270000	5280000	40.4470329284668	5.337961969696182	O	O	O-O	B	A	B-A	TAD_7	TAD_36	TAD_7-TAD_36
HiC_scaffold_1	2310000	2320000	HiC_scaffold_2	1380000	1390000	40.73163986206055	5.348077993521293	O	O	O-O	A	B	A-B	TAD_8	TAD_25	TAD_8-TAD_25
HiC_scaffold_1	2390000	2400000	HiC_scaffold_2	1010000	1020000	53.18743133544922	5.733013459179343	O	O	O-O	B	B	B-B	TAD_9	TAD_24	TAD_9-TAD_24
HiC_scaffold_1	2460000	2470000	HiC_scaffold_2	1380000	1390000	33.54566955566406	5.068054634373934	O	O	O-O	A	B	A-B	TAD_9	TAD_25	TAD_9-TAD_25
HiC_scaffold_1	4090000	4100000	HiC_scaffold_2	3750000	3760000	33.8457145690918	5.080901271041816	O	O	O-O	B	B	B-B	TAD_12	TAD_29	TAD_12-TAD_29
HiC_scaffold_1	4090000	4100000	HiC_scaffold_2	4050000	4060000	42.8394889831543	5.420869365688271	O	O	O-O	B	A	B-A	TAD_12	TAD_31	TAD_12-TAD_31
HiC_scaffold_1	4200000	4210000	HiC_scaffold_2	3790000	3800000	33.00883865356445	5.0447804761555695	O	O	O-O	A	A	A-A	TAD_13	TAD_29	TAD_13-TAD_29
HiC_scaffold_1	4230000	4240000	HiC_scaffold_2	4320000	4330000	37.72901153564453	5.237602398287328	O	O	O-O	B	A	B-A	TAD_13	TAD_33	TAD_13-TAD_33
HiC_scaffold_1	4240000	4250000	HiC_scaffold_2	260000	270000	51.74880599975586	5.693453670579452	O	O	O-O	B	B	B-B	TAD_13	NA	TAD_13-NA
HiC_scaffold_1	4240000	4250000	HiC_scaffold_2	760000	770000	52.80454635620117	5.722590242713125	O	O	O-O	B	B	B-B	TAD_13	TAD_24	TAD_13-TAD_24
HiC_scaffold_1	4240000	4250000	HiC_scaffold_2	2020000	2030000	59.00132369995117	5.882675416716637	O	O	O-O	B	A	B-A	TAD_13	TAD_26	TAD_13-TAD_26
HiC_scaffold_1	4260000	4270000	HiC_scaffold_2	870000	880000	47.46500015258789	5.568792182679425	O	O	O-O	A	B	A-B	TAD_13	TAD_24	TAD_13-TAD_24
HiC_scaffold_1	4260000	4270000	HiC_scaffold_2	4110000	4120000	37.96685409545898	5.246668558187085	O	O	O-O	A	A	A-A	TAD_13	TAD_32	TAD_13-TAD_32
HiC_scaffold_1	4370000	4380000	HiC_scaffold_2	4120000	4130000	49.984676361083984	5.643413975250456	O	O	O-O	A	A	A-A	TAD_13	TAD_32	TAD_13-TAD_32
HiC_scaffold_1	4460000	4470000	HiC_scaffold_2	1580000	1590000	37.08076477050781	5.212599093954397	O	O	O-O	A	B	A-B	TAD_13	TAD_25	TAD_13-TAD_25
HiC_scaffold_1	4510000	4520000	HiC_scaffold_2	1210000	1220000	69.1161880493164	6.110951745924617	O	O	O-O	A	B	A-B	TAD_13	TAD_25	TAD_13-TAD_25
HiC_scaffold_1	4510000	4520000	HiC_scaffold_2	3530000	3540000	37.5960807800293	5.23251037024985	O	O	O-O	A	A	A-A	TAD_13	TAD_29	TAD_13-TAD_29
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	890000	900000	64.68468475341797	6.015352263893301	O	O	O-O	A	B	A-B	TAD_13	TAD_24	TAD_13-TAD_24
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	3220000	3230000	103.95790100097656	6.699855599743524	O	O	O-O	A	A	A-A	TAD_13	TAD_29	TAD_13-TAD_29
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	3450000	3460000	36.41814041137695	5.186585351969312	O	O	O-O	A	A	A-A	TAD_13	TAD_29	TAD_13-TAD_29
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	3470000	3480000	41.23197555541992	5.365691681888915	O	O	O-O	A	B	A-B	TAD_13	TAD_29	TAD_13-TAD_29
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	40000	50000	77.7754898071289	6.281243670344104	O	T	O-T	B	B	B-B	TAD_13	NA	TAD_13-NA
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	390000	400000	32.453582763671875	5.020305850463418	O	O	O-O	B	B	B-B	TAD_13	TAD_24	TAD_13-TAD_24
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	430000	440000	67.46320343017578	6.07602891995999	O	O	O-O	B	B	B-B	TAD_13	TAD_24	TAD_13-TAD_24
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	1730000	1740000	34.94477462768555	5.127004837116679	O	O	O-O	B	B	B-B	TAD_13	TAD_25	TAD_13-TAD_25
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	2260000	2270000	34.24650573730469	5.097884888431048	O	O	O-O	B	A	B-A	TAD_13	TAD_26	TAD_13-TAD_26
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	3750000	3760000	77.81038665771484	6.281890843664345	O	O	O-O	B	B	B-B	TAD_13	TAD_29	TAD_13-TAD_29
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	3840000	3850000	42.88115310668945	5.422271796367162	O	O	O-O	B	A	B-A	TAD_13	B01384	TAD_13-B01384
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	4340000	4350000	32.97524642944336	5.043311535901936	O	O	O-O	B	B	B-B	TAD_13	TAD_33	TAD_13-TAD_33
HiC_scaffold_1	4540000	4550000	HiC_scaffold_2	370000	380000	65.39311981201172	6.031066948726252	O	O	O-O	B	B	B-B	TAD_13	TAD_24	TAD_13-TAD_24
HiC_scaffold_1	4540000	4550000	HiC_scaffold_2	2380000	2390000	68.86061096191406	6.105607076082925	O	O	O-O	B	A	B-A	TAD_13	B01238	TAD_13-B01238
HiC_scaffold_1	4550000	4560000	HiC_scaffold_2	1080000	1090000	47.27484130859375	5.56300071025565	O	O	O-O	A	B	A-B	TAD_13	TAD_24	TAD_13-TAD_24
HiC_scaffold_1	4550000	4560000	HiC_scaffold_2	1360000	1370000	58.87590408325195	5.879605403437152	O	O	O-O	A	B	A-B	TAD_13	TAD_25	TAD_13-TAD_25
HiC_scaffold_1	4550000	4560000	HiC_scaffold_2	3470000	3480000	39.77946090698242	5.313951819724353	O	O	O-O	A	B	A-B	TAD_13	TAD_29	TAD_13-TAD_29
HiC_scaffold_1	4680000	4690000	HiC_scaffold_2	1570000	1580000	83.4780044555664	6.383324208125063	O	O	O-O	A	B	A-B	TAD_14	TAD_25	TAD_14-TAD_25
HiC_scaffold_1	4690000	4700000	HiC_scaffold_2	1380000	1390000	52.24432373046875	5.707202393884602	O	O	O-O	A	B	A-B	TAD_14	TAD_25	TAD_14-TAD_25
HiC_scaffold_1	4880000	4890000	HiC_scaffold_2	4120000	4130000	53.181373596191406	5.732849135242427	O	O	O-O	A	A	A-A	TAD_15	TAD_32	TAD_15-TAD_32
HiC_scaffold_1	5090000	5100000	HiC_scaffold_2	1380000	1390000	33.978755950927734	5.086561127624841	O	O	O-O	A	B	A-B	TAD_16	TAD_25	TAD_16-TAD_25
HiC_scaffold_1	5110000	5120000	HiC_scaffold_2	1120000	1130000	38.73089218139648	5.275412829686393	O	O	O-O	B	B	B-B	TAD_16	B01113	TAD_16-B01113
