anchor_location1	start1	end1	anchor1_annotation	anchor_location1	start2	end2	anchor2_annotation	loop_type	loop_size
HiC_scaffold_1	610000	620000	TAD_3	HiC_scaffold_1	8020000	8030000	TAD_20	Inter-TAD	7410000
HiC_scaffold_1	1740000	1745000	TAD_6	HiC_scaffold_1	7695000	7700000	TAD_19	Inter-TAD	5955000
HiC_scaffold_1	1750000	1760000	TAD_6	HiC_scaffold_1	2000000	2010000	TAD_7	Inter-TAD	250000
HiC_scaffold_1	1855000	1860000	TAD_7	HiC_scaffold_1	5240000	5245000	TAD_16	Inter-TAD	3385000
HiC_scaffold_1	2900000	2905000	TAD_11	HiC_scaffold_1	7705000	7710000	TAD_19	Inter-TAD	4805000
HiC_scaffold_1	2920000	2925000	TAD_11	HiC_scaffold_1	7750000	7755000	TAD_19	Inter-TAD	4830000
HiC_scaffold_1	5660000	5665000	TAD_16	HiC_scaffold_1	6565000	6570000	TAD_18	Inter-TAD	905000
HiC_scaffold_1	6930000	6940000	TAD_18	HiC_scaffold_1	8020000	8030000	TAD_20	Inter-TAD	1090000
HiC_scaffold_1	7775000	7780000	TAD_19	HiC_scaffold_1	8070000	8075000	TAD_20	Inter-TAD	295000
HiC_scaffold_1	8020000	8030000	TAD_20	HiC_scaffold_1	8930000	8940000	TAD_22	Inter-TAD	910000
HiC_scaffold_1	8020000	8030000	TAD_20	HiC_scaffold_1	9340000	9350000	None	Inter-TAD	1320000
HiC_scaffold_1	8020000	8030000	TAD_20	HiC_scaffold_1	9410000	9420000	None	Inter-TAD	1390000
HiC_scaffold_10	205000	210000	None	HiC_scaffold_10	1675000	1680000	TAD_100	Inter-TAD	1470000
HiC_scaffold_10	450000	460000	TAD_99	HiC_scaffold_10	2880000	2890000	TAD_105	Inter-TAD	2430000
HiC_scaffold_10	1965000	1970000	TAD_102	HiC_scaffold_10	2065000	2070000	TAD_103	Inter-TAD	100000
HiC_scaffold_13	1465000	1470000	TAD_131	HiC_scaffold_13	3625000	3630000	TAD_135	Inter-TAD	2160000
HiC_scaffold_13	2380000	2390000	TAD_133	HiC_scaffold_13	2910000	2920000	TAD_134	Inter-TAD	530000
HiC_scaffold_15	485000	490000	None	HiC_scaffold_15	1620000	1625000	TAD_144	Inter-TAD	1135000
HiC_scaffold_3	920000	925000	TAD_39	HiC_scaffold_3	2600000	2605000	TAD_44	Inter-TAD	1680000
HiC_scaffold_3	4050000	4055000	TAD_46	HiC_scaffold_3	4540000	4545000	TAD_47	Inter-TAD	490000
HiC_scaffold_3	4280000	4290000	TAD_46	HiC_scaffold_3	4480000	4490000	TAD_47	Inter-TAD	200000
HiC_scaffold_3	4360000	4365000	TAD_46	HiC_scaffold_3	4540000	4545000	TAD_47	Inter-TAD	180000
HiC_scaffold_4	1120000	1130000	TAD_49	HiC_scaffold_4	1740000	1750000	TAD_50	Inter-TAD	620000
HiC_scaffold_5	330000	340000	None	HiC_scaffold_5	3630000	3640000	TAD_65	Inter-TAD	3300000
HiC_scaffold_5	620000	625000	TAD_56	HiC_scaffold_5	2565000	2570000	TAD_62	Inter-TAD	1945000
HiC_scaffold_5	690000	695000	TAD_56	HiC_scaffold_5	4025000	4030000	None	Inter-TAD	3335000
HiC_scaffold_5	1280000	1290000	TAD_57	HiC_scaffold_5	1420000	1430000	TAD_58	Inter-TAD	140000
HiC_scaffold_6	1090000	1095000	TAD_68	HiC_scaffold_6	4140000	4145000	TAD_74	Inter-TAD	3050000
HiC_scaffold_6	1250000	1260000	TAD_68	HiC_scaffold_6	3980000	3990000	TAD_74	Inter-TAD	2730000
HiC_scaffold_7	750000	760000	TAD_76	HiC_scaffold_7	3690000	3700000	TAD_83	Inter-TAD	2940000
HiC_scaffold_7	1380000	1390000	TAD_78	HiC_scaffold_7	1630000	1640000	TAD_79	Inter-TAD	250000
HiC_scaffold_7	1510000	1520000	TAD_78	HiC_scaffold_7	1790000	1800000	TAD_79	Inter-TAD	280000
HiC_scaffold_7	2300000	2305000	TAD_79	HiC_scaffold_7	2400000	2405000	TAD_80	Inter-TAD	100000
HiC_scaffold_8	1510000	1520000	TAD_84	HiC_scaffold_8	2730000	2740000	TAD_87	Inter-TAD	1220000
HiC_scaffold_8	2410000	2420000	TAD_86	HiC_scaffold_8	3120000	3130000	TAD_87	Inter-TAD	710000
HiC_scaffold_9	1000000	1005000	TAD_90	HiC_scaffold_9	1395000	1400000	TAD_91	Inter-TAD	395000
