,chr,start,end,zoospore,germinating cyst,mycelia_48h,mycelia_96,Early infection,Late infection,compartment
g22,HiC_scaffold_1,49788,52023,5.926801886,73.52688957,71.85270832,51.42764029,39.49750965,45.01151135,B
g23,HiC_scaffold_1,54051,55521,0.258838519,55.73959937,31.43994566,3.134133702,1.812297788,2.818898677,A
g24,HiC_scaffold_1,55701,56793,1.376196021,0.072594193,0.13171186,1.185559847,0.320572451,2.818614114,A
g25,HiC_scaffold_1,56858,59304,3.616154445,11.02369267,13.83878477,46.57446889,29.36818986,100.2077468,A
g26,HiC_scaffold_1,59438,62359,25.74248731,14.91873974,13.05708129,35.54076284,30.1389378,39.73368252,A
g27,HiC_scaffold_1,62544,63977,54.32000683,34.01670806,49.1311646,56.469456,41.36857358,76.10895416,A
g28,HiC_scaffold_1,64263,65791,20.26034748,16.72398249,12.97596367,24.71122159,19.24849035,20.80036387,A
g29,HiC_scaffold_1,66095,74779,15.65435114,52.80700139,75.68156401,26.6198848,37.84510785,37.68216642,A
g30,HiC_scaffold_1,75049,76995,6.041736323,1.808517163,7.185502932,7.363313949,6.286626147,10.18472579,A
g31,HiC_scaffold_1,77130,79292,20.62761043,29.83673465,46.10234962,42.93435164,38.97782514,39.77565557,A
g32,HiC_scaffold_1,81414,82590,52.34284773,11.62221689,15.50537458,24.49714914,23.70419501,47.78145164,A
g33,HiC_scaffold_1,82804,83770,26.17800263,8.477872682,5.496385484,10.4785121,9.333729222,11.31409187,A
g34,HiC_scaffold_1,84604,86728,0.036648186,0,0,0.011734746,0.012446528,0,A
g36,HiC_scaffold_1,90014,90896,0,0.361077742,0.280827799,0,0,0,A
g37,HiC_scaffold_1,91244,91478,30.32126709,29.7620352,18.69837541,0,0,0,A
g39,HiC_scaffold_1,94821,95427,0,0.399267287,0.178006622,0,0,0,A
g41,HiC_scaffold_1,99227,99833,0.064225038,0.198495745,0.527400651,0,0,0,A
g42,HiC_scaffold_1,100181,100679,4.709069256,4.265413696,3.005160543,0,0,0,A
g44,HiC_scaffold_1,103485,104367,0.044127407,0.271199217,0.240059843,0,0,0,A
g45,HiC_scaffold_1,104715,104949,33.5658954,27.14025796,20.08134994,0,0,0,A
g46,HiC_scaffold_1,107715,108695,22.16529785,139.6616129,89.69150392,347.796862,213.5114063,229.8709143,A
g47,HiC_scaffold_1,109255,110404,265.2686512,34.53656882,36.40163802,27.32731314,32.32664609,86.964975,A
g48,HiC_scaffold_1,110572,111859,13.05932624,44.73383663,37.18020841,37.03056249,36.25760374,36.00801021,A
g49,HiC_scaffold_1,112267,114023,116.8738176,216.5073147,58.82451117,96.59839932,80.36485618,50.49445542,A
g50,HiC_scaffold_1,114204,114966,24.60172399,10.93781833,12.48454895,25.00911997,21.41016257,20.60640058,A
g51,HiC_scaffold_1,115035,116648,11.04884937,5.099636706,8.554283464,8.997457654,6.732639212,4.847190635,A
g52,HiC_scaffold_1,116723,118835,8.730036713,3.422742895,6.256617304,3.226423172,2.79236517,2.075145358,A
g53,HiC_scaffold_1,118957,121944,6.161179128,3.825159486,9.737271278,6.235204413,7.697093571,5.432448656,A
g54,HiC_scaffold_1,122218,123997,4.522837799,2.298361789,6.468533424,2.000173772,6.361453917,1.402007431,A
